hour,load_kw
0,2140.3
1,2130.7
2,2119.3
3,2118.9
4,2128.6
5,2170.1
6,2200.4
7,2234.4
8,2139.9
9,2126.5
10,2051.3
11,2028.2
12,2134.4
13,2130.2
14,2123.1
15,2185.7
16,2223.5
17,2239.9
18,2247.4
19,2215.9
20,2177.7
21,2198.3
22,2186.9
23,2177.7
24,2168.5
25,2166.4
26,2158.8
27,2141.6
28,2141.6
29,2175.6
30,2234.8
31,2232.7
32,2158.8
33,2018.9
34,1892.5
35,1852.6
36,1787.9
37,1799.7
38,1970.2
39,2145.4
40,2206.3
41,2221.4
42,2223.1
43,2202.5
44,2189.0
45,2207.5
46,2202.5
47,2186.9
48,2175.6
49,2170.1
50,2160.9
51,2160.9
52,2168.0
53,2194.5
54,2219.3
55,2232.3
56,2131.9
57,1941.2
58,1832.0
59,1761.9
60,1748.9
61,1822.4
62,1992.5
63,2162.6
64,2196.6
65,2247.4
66,2246.2
67,2204.2
68,2185.7
69,2187.4
70,2190.7
71,2194.5
72,2192.8
73,2183.6
74,2168.5
75,2166.4
76,2169.7
77,2210.0
78,2310.0
79,2421.3
80,2459.5
81,2325.1
82,2176.0
83,2108.0
84,2083.2
85,2115.5
86,2273.9
87,2448.2
88,2465.0
89,2453.6
90,2412.5
91,2385.6
92,2353.7
93,2338.1
94,2298.7
95,2266.3
96,2264.6
97,2268.4
98,2257.1
99,2242.0
100,2224.7
101,2311.7
102,2381.8
103,2480.1
104,2441.9
105,2342.3
106,2223.1
107,2134.4
108,2123.1
109,2156.7
110,2285.2
111,2446.1
112,2474.6
113,2451.5
114,2417.9
115,2379.7
116,2340.2
117,2318.0
118,2278.1
119,2255.0
120,2223.5
121,2243.6
122,2217.2
123,2160.9
124,2185.7
125,2249.9
126,2338.1
127,2421.7
128,2391.5
129,2281.9
130,2155.0
131,2087.0
132,2073.5
133,2073.5
134,2196.6
135,2372.6
136,2400.7
137,2387.3
138,2352.0
139,2355.4
140,2302.4
141,2257.1
142,2123.1
143,2097.9
144,2071.9
145,2082.8
146,2170.1
147,2168.0
148,2164.7
149,2207.9
150,2294.9
151,2419.6
152,2397.4
153,2274.3
154,2204.2
155,2221.0
156,2249.9
157,2284.0
158,2311.7
159,2368.4
160,2394.8
161,2385.6
162,2345.7
163,2306.6
164,2256.7
165,2219.3
166,2194.9
167,2173.9
168,2168.0
169,2173.5
170,2170.6
171,2166.4
172,2185.3
173,2219.3
174,2276.0
175,2366.7
176,2362.9
177,2336.5
178,2274.3
179,2202.5
180,2126.5
181,2304.1
182,2500.7
183,2544.4
184,2540.2
185,2423.4
186,2327.2
187,2283.5
188,2232.7
189,2194.9
190,2173.9
191,2172.2
192,2160.9
193,2152.9
194,2135.7
195,2124.8
196,2118.9
197,2147.0
198,2205.8
199,2202.5
200,2147.5
201,2124.8
202,2122.7
203,2134.4
204,2179.4
205,2154.6
206,2185.3
207,2198.3
208,2218.9
209,2223.1
210,2219.3
211,2200.4
212,2189.0
213,2055.1
214,2050.9
215,2126.5
216,2137.8
217,2117.2
218,2115.1
219,2094.5
220,2096.2
221,2135.7
222,2160.9
223,2198.3
224,2372.2
225,2710.7
226,2822.4
227,2877.0
228,2793.4
229,2631.3
230,2642.6
231,2675.0
232,2582.6
233,2582.2
234,2434.7
235,2203.7
236,2172.2
237,2171.8
238,2153.3
239,2136.1
240,2141.6
241,2123.1
242,2142.0
243,2155.0
244,1502.8
245,2050.9
246,2264.6
247,2378.0
248,2365.0
249,2226.8
250,2137.8
251,2092.9
252,2073.5
253,2077.3
254,2191.1
255,2385.6
256,2435.2
257,2414.2
258,2366.7
259,2344.4
260,2298.7
261,2281.4
262,2249.5
263,2232.3
264,2194.9
265,2147.5
266,2168.0
267,2168.0
268,2194.9
269,2242.0
270,2311.7
271,2394.8
272,2387.7
273,2319.7
274,2209.6
275,2272.2
276,2260.9
277,2338.6
278,2381.8
279,2427.2
280,2400.7
281,2368.4
282,2319.2
283,2291.1
284,2281.9
285,2251.2
286,2236.5
287,2221.4
288,2192.8
289,2183.6
290,2179.8
291,2176.0
292,2192.8
293,2228.5
294,2326.8
295,2434.7
296,2398.6
297,2252.9
298,2138.2
299,2077.3
300,2070.2
301,2102.1
302,2213.8
303,2428.9
304,2453.6
305,2432.6
306,2396.9
307,2361.2
308,2298.2
309,2298.7
310,2266.3
311,2232.7
312,2194.9
313,2192.4
314,2170.1
315,2162.6
316,2160.9
317,2207.9
318,2291.1
319,2417.5
320,2417.9
321,2362.9
322,2257.1
323,2103.8
324,2226.8
325,2109.2
326,2331.0
327,2436.4
328,2425.1
329,2372.6
330,2326.8
331,2279.8
332,2242.0
333,2221.4
334,2211.7
335,2189.5
336,2192.8
337,2191.1
338,2171.8
339,2165.9
340,2189.5
341,2230.6
342,2294.9
343,2404.5
344,2376.4
345,2275.6
346,2172.2
347,2145.4
348,2145.8
349,2209.6
350,2317.6
351,2378.0
352,2366.7
353,2319.2
354,2302.4
355,2259.2
356,2213.4
357,2092.4
358,2060.5
359,2018.5
360,2074.0
361,2047.5
362,2069.8
363,2056.7
364,2058.8
365,2083.2
366,2124.8
367,1990.8
368,1901.8
369,2032.4
370,1924.4
371,1756.0
372,1739.6
373,1960.1
374,2039.5
375,2143.7
376,2158.8
377,2174.3
378,2162.6
379,2143.7
380,2130.7
381,2115.5
382,2102.1
383,2081.1
384,2073.5
385,2069.8
386,2058.8
387,2049.2
388,2070.2
389,2094.5
390,2128.6
391,2152.9
392,2113.9
393,2113.9
394,2107.6
395,2111.3
396,2117.2
397,2139.5
398,2157.1
399,2238.6
400,2226.8
401,2232.7
402,2217.2
403,2215.5
404,2181.5
405,2171.8
406,2149.1
407,2141.6
408,2145.8
409,2139.9
410,2128.6
411,2121.0
412,2134.0
413,2181.5
414,2281.4
415,2380.1
416,2387.7
417,2285.2
418,2162.6
419,2085.3
420,2030.3
421,2062.2
422,2143.7
423,2374.7
424,2436.8
425,2432.6
426,2400.7
427,2362.9
428,2317.6
429,2293.2
430,2240.3
431,2242.0
432,2213.8
433,2207.5
434,2197.0
435,2185.3
436,2194.9
437,2236.1
438,2330.6
439,2447.8
440,2423.0
441,2285.6
442,2149.6
443,2042.0
444,2041.6
445,2092.4
446,2183.6
447,2415.8
448,2470.9
449,2447.8
450,2408.3
451,2381.8
452,2241.5
453,2198.3
454,2187.4
455,2160.5
456,2158.8
457,2207.9
458,2194.9
459,2177.7
460,2179.8
461,2225.2
462,2317.6
463,2420.0
464,2376.4
465,2219.3
466,2160.9
467,2192.8
468,2100.4
469,2209.6
470,2359.1
471,2444.4
472,2464.6
473,2428.9
474,2391.1
475,2361.2
476,2325.1
477,2304.1
478,2268.0
479,2236.1
480,2215.5
481,2198.7
482,2192.8
483,2185.3
484,2196.6
485,2249.1
486,2320.9
487,2425.1
488,2391.5
489,2251.2
490,2098.7
491,2045.8
492,2013.1
493,2117.6
494,2273.9
495,2365.0
496,2455.3
497,2431.0
498,2387.3
499,2370.5
500,2347.8
501,2302.4
502,2290.7
503,2259.2
504,2241.5
505,2226.8
506,2223.1
507,2205.8
508,2224.7
509,2278.1
510,2355.8
511,2448.2
512,2457.0
513,2359.6
514,2249.5
515,2194.5
516,2342.3
517,2404.5
518,2462.9
519,2468.8
520,2461.2
521,2417.9
522,2385.6
523,2353.3
524,2298.7
525,2280.2
526,2257.1
527,2226.8
528,2222.6
529,2206.3
530,2204.2
531,2179.4
532,2191.1
533,2215.5
534,2276.0
535,2283.5
536,2293.2
537,2275.6
538,2272.2
539,2266.3
540,2272.2
541,2273.9
542,2273.9
543,2285.6
544,2292.8
545,2296.6
546,2300.3
