hour,load_kw
0,8932.0
1,10300.0
2,9182.0
3,9586.0
4,9518.0
5,8878.0
6,10686.0
7,9338.0
8,10286.0
9,9224.0
10,10376.0
11,8724.0
12,9702.0
13,10592.0
14,9112.0
15,10484.0
16,9102.0
17,10528.0
18,9338.0
19,9974.0
20,9788.0
21,9094.0
22,10412.0
23,8820.0
24,10204.0
25,9520.0
26,9070.0
27,9130.0
28,9774.0
29,8880.0
30,10480.0
31,9044.0
32,10602.0
33,9092.0
34,10494.0
35,9352.0
36,10582.0
37,9260.0
38,10506.0
39,9260.0
40,9066.0
41,10726.0
42,9092.0
43,10444.0
44,9100.0
45,10274.0
46,9044.0
47,10032.0
48,9080.0
49,9172.0
50,9902.0
51,8824.0
52,10160.0
53,9108.0
54,10402.0
55,9224.0
56,9194.0
57,10692.0
58,9162.0
59,10632.0
60,9508.0
61,9258.0
62,10974.0
63,9230.0
64,10278.0
65,10050.0
66,9300.0
67,10824.0
68,9266.0
69,10532.0
70,9312.0
71,8930.0
72,10532.0
73,8966.0
74,10262.0
75,9166.0
76,10254.0
77,9250.0
78,9228.0
79,11262.0
80,9990.0
81,11878.0
82,10812.0
83,12138.0
84,10758.0
85,11080.0
86,11814.0
87,10404.0
88,11928.0
89,9838.0
90,11224.0
91,9410.0
92,10642.0
93,9368.0
94,10452.0
95,9198.0
96,9264.0
97,10104.0
98,8894.0
99,10408.0
100,8878.0
101,10308.0
102,9874.0
103,9856.0
104,11558.0
105,10684.0
106,10698.0
107,12404.0
108,10748.0
109,12242.0
110,10760.0
111,10978.0
112,11430.0
113,9916.0
114,11216.0
115,9728.0
116,10378.0
117,9212.0
118,10540.0
119,8888.0
120,10480.0
121,8852.0
122,10314.0
123,8810.0
124,10214.0
125,9036.0
126,10842.0
127,10148.0
128,10198.0
129,12398.0
130,10274.0
131,12672.0
132,10900.0
133,12584.0
134,10708.0
135,12402.0
136,10574.0
137,11666.0
138,10066.0
139,11006.0
140,9664.0
141,9472.0
142,10766.0
143,9208.0
144,10792.0
145,9076.0
146,10622.0
147,9098.0
148,10426.0
149,9418.0
150,10896.0
151,10048.0
152,11366.0
153,10390.0
154,11368.0
155,11254.0
156,10698.0
157,12418.0
158,10596.0
159,12354.0
160,10334.0
161,11628.0
162,9690.0
163,10912.0
164,9612.0
165,10634.0
166,9266.0
167,10306.0
168,9126.0
169,9610.0
170,9650.0
171,8926.0
172,10206.0
173,8938.0
174,10816.0
175,9630.0
176,11620.0
177,10238.0
178,12110.0
179,10702.0
180,12096.0
181,10908.0
182,12238.0
183,10720.0
184,11806.0
185,10224.0
186,10082.0
187,10538.0
188,9624.0
189,10194.0
190,9316.0
191,10060.0
192,8916.0
193,10374.0
194,8844.0
195,10208.0
196,8950.0
197,9248.0
198,10240.0
199,9208.0
200,10820.0
201,9502.0
202,10974.0
203,9482.0
204,10802.0
205,9550.0
206,10892.0
207,9622.0
208,10940.0
209,9638.0
210,10708.0
211,9578.0
212,9334.0
213,10842.0
214,9110.0
215,10664.0
216,8960.0
217,10592.0
218,9046.0
219,10364.0
220,9228.0
221,10356.0
222,9330.0
223,10556.0
224,9436.0
225,10732.0
226,9636.0
227,10380.0
228,10224.0
229,9434.0
230,10986.0
231,9424.0
232,11020.0
233,9620.0
234,11178.0
235,9506.0
236,10670.0
237,9620.0
238,10582.0
239,9356.0
240,10494.0
241,9228.0
242,9432.0
243,10144.0
244,9054.0
245,10606.0
246,9378.0
247,11378.0
248,10256.0
249,12622.0
250,11094.0
251,12622.0
252,11312.0
253,12406.0
254,11188.0
255,12486.0
256,10478.0
257,11922.0
258,9688.0
259,11064.0
260,10518.0
261,9236.0
262,10614.0
263,9368.0
264,10616.0
265,9138.0
266,10392.0
267,9012.0
268,10544.0
269,9054.0
270,10986.0
271,10036.0
272,11644.0
273,11990.0
274,11180.0
275,13478.0
276,11766.0
277,9606.0
278,13214.0
279,12130.0
280,13176.0
281,11024.0
282,10632.0
283,10108.0
284,12044.0
285,9972.0
286,9874.0
287,11538.0
288,9916.0
289,9616.0
290,9746.0
291,11302.0
292,9844.0
293,9592.0
294,9950.0
295,12620.0
296,10212.0
297,12522.0
298,11548.0
299,11268.0
300,11320.0
301,13614.0
302,11306.0
303,11208.0
304,13390.0
305,10530.0
306,10166.0
307,11368.0
308,9708.0
309,9530.0
310,10542.0
311,9720.0
312,10634.0
313,9138.0
314,9040.0
315,10624.0
316,9230.0
317,8946.0
318,11404.0
319,9854.0
320,12036.0
321,10976.0
322,11034.0
323,11244.0
324,13658.0
325,12286.0
326,12234.0
327,12202.0
328,11832.0
329,11352.0
330,11634.0
331,11870.0
332,10494.0
333,10044.0
334,9724.0
335,9528.0
336,11094.0
337,9646.0
338,9308.0
339,9388.0
340,9322.0
341,9470.0
342,11488.0
343,10626.0
344,10982.0
345,11416.0
346,11478.0
347,11522.0
348,13782.0
349,11954.0
350,11826.0
351,11420.0
352,11356.0
353,10892.0
354,12344.0
355,10570.0
356,10122.0
357,10060.0
358,9858.0
359,11326.0
360,9998.0
361,9666.0
362,9586.0
363,9472.0
364,9442.0
365,11246.0
366,9988.0
367,10038.0
368,10178.0
369,10146.0
370,12160.0
371,10706.0
372,10554.0
373,10506.0
374,10624.0
375,11058.0
376,11698.0
377,10846.0
378,10458.0
379,10222.0
380,10232.0
381,12010.0
382,10006.0
383,10098.0
384,9820.0
385,9538.0
386,9528.0
387,11174.0
388,9750.0
389,9600.0
390,9830.0
391,9924.0
392,11876.0
393,10588.0
394,10256.0
395,10276.0
396,10506.0
397,12486.0
398,11062.0
399,10666.0
400,10868.0
401,10786.0
402,10608.0
403,12454.0
404,10546.0
405,10968.0
406,10376.0
407,10216.0
408,10092.0
409,11694.0
410,10186.0
411,10206.0
412,9806.0
413,9896.0
414,10142.0
415,12350.0
416,11002.0
417,10920.0
418,10866.0
419,10956.0
420,11158.0
421,13050.0
422,11628.0
423,11122.0
424,11330.0
425,11302.0
426,11850.0
427,12324.0
428,11166.0
429,10876.0
430,10570.0
431,10356.0
432,11974.0
433,10350.0
434,9858.0
435,9858.0
436,10014.0
437,11722.0
438,10786.0
439,10934.0
440,11578.0
441,12332.0
442,12498.0
443,13012.0
444,14958.0
445,13192.0
446,12806.0
447,12780.0
448,12402.0
449,14424.0
450,12430.0
451,11650.0
452,11364.0
453,11170.0
454,12698.0
455,10924.0
456,10358.0
457,10264.0
458,10084.0
459,10042.0
460,11612.0
461,10454.0
462,10462.0
463,10688.0
464,11372.0
