hour,load_kw
0,34.3
1,38.2
2,34.2
3,38.1
4,34.2
5,38.1
6,34.0
7,38.0
8,29.3
9,33.5
10,29.6
11,33.6
12,29.6
13,33.7
14,29.7
15,33.6
16,34.5
17,38.3
18,34.1
19,38.1
20,34.0
21,38.0
22,34.0
23,38.0
24,34.0
25,38.0
26,34.0
27,38.0
28,34.0
29,38.0
30,34.0
31,38.0
32,29.0
33,33.0
34,29.0
35,33.2
36,29.2
37,33.2
38,29.0
39,33.1
40,34.0
41,38.0
42,34.0
43,38.0
44,34.0
45,38.0
46,34.0
47,38.0
48,34.0
49,38.0
50,34.0
51,38.0
52,34.0
53,38.0
54,38.0
55,42.0
56,51.5
57,55.5
58,53.0
59,57.0
60,51.5
61,55.5
62,53.0
63,57.0
64,56.5
65,60.5
66,56.5
67,38.3
68,34.2
69,38.2
70,34.3
71,38.2
72,34.1
73,38.1
74,34.1
75,38.1
76,34.1
77,38.1
78,38.1
79,42.1
80,51.5
81,55.5
82,53.0
83,57.0
84,51.4
85,55.4
86,52.9
87,57.0
88,56.5
89,60.5
90,56.5
91,38.3
92,34.0
93,38.0
94,34.0
95,38.0
96,34.0
97,38.0
98,34.0
99,38.0
100,34.0
101,38.0
102,38.0
103,42.0
104,52.6
105,56.6
106,54.0
107,57.9
108,52.2
109,56.2
110,53.6
111,57.7
112,57.2
113,61.3
114,57.3
115,38.0
116,34.0
117,38.0
118,34.0
119,38.0
120,34.0
121,38.0
122,34.0
123,38.0
124,34.0
125,38.0
126,38.0
127,42.0
128,52.5
129,56.3
130,53.7
131,57.7
132,52.0
133,56.0
134,53.6
135,57.7
136,57.2
137,61.2
138,57.3
139,38.0
140,34.0
141,38.0
142,34.0
143,38.0
144,34.0
145,38.0
146,34.0
147,38.0
148,34.0
149,38.0
150,34.0
151,38.0
152,29.0
153,33.0
154,29.0
155,33.0
156,29.0
157,33.0
158,29.0
159,33.0
160,34.0
161,38.0
162,34.0
163,38.0
164,34.0
165,38.0
166,34.0
167,38.0
168,34.0
169,38.0
170,34.0
171,38.0
172,34.0
173,38.0
174,34.0
175,38.0
176,29.0
177,33.0
178,29.0
179,33.0
180,29.0
181,33.0
182,29.0
183,33.0
184,34.0
185,38.0
186,34.0
187,38.0
188,34.0
189,38.0
190,34.0
191,38.0
192,34.0
193,38.0
194,34.0
195,38.0
196,34.0
197,38.0
198,38.0
199,42.0
200,53.5
201,57.4
202,54.8
203,58.7
204,53.2
205,57.2
206,54.6
207,58.5
208,58.0
209,62.1
210,58.1
211,38.0
212,34.0
213,38.0
214,34.0
215,38.0
216,34.0
217,38.0
218,34.0
219,38.0
220,34.0
221,38.0
222,38.0
223,42.0
224,53.1
225,56.8
226,54.1
227,57.9
228,52.3
229,56.3
230,53.4
231,57.3
232,56.8
233,60.8
234,56.7
235,38.0
236,34.0
237,38.1
238,34.3
239,38.3
240,34.1
241,38.1
242,34.1
243,38.3
244,34.3
245,38.3
246,38.2
247,42.1
248,51.5
249,55.5
250,53.0
251,57.0
252,51.5
253,55.5
254,52.9
255,56.9
256,56.5
257,60.5
258,56.5
259,38.7
260,34.7
261,38.6
262,34.5
263,38.5
264,34.5
265,38.5
266,34.7
267,38.8
268,34.8
269,38.8
270,38.9
271,42.9
272,51.4
273,55.4
274,52.5
275,56.7
276,51.3
277,55.3
278,53.0
279,56.9
280,56.3
281,60.4
282,56.3
283,40.1
284,36.0
285,40.0
286,35.9
287,39.7
288,35.3
289,39.3
290,35.2
291,39.1
292,35.0
293,38.8
294,38.8
295,42.8
296,51.5
297,55.5
298,53.0
299,57.0
300,51.5
301,55.5
302,53.0
303,57.0
304,56.5
305,60.6
306,56.8
307,38.0
308,34.0
309,38.0
310,34.0
311,38.0
312,34.0
313,38.0
314,34.0
315,38.0
316,34.0
317,38.0
318,34.0
319,38.0
320,29.0
321,33.0
322,29.0
323,33.0
324,29.0
325,33.0
326,29.0
327,33.0
328,34.0
329,38.0
330,34.0
331,38.0
332,34.0
333,38.0
334,34.0
335,38.0
336,34.0
337,38.0
338,34.0
339,38.0
340,34.0
341,38.0
342,34.0
343,38.0
344,29.0
345,33.0
346,29.0
347,33.0
348,29.0
349,33.0
350,29.1
351,33.0
352,34.0
353,38.0
354,34.0
355,38.0
356,34.0
357,38.0
358,34.0
359,38.0
360,34.0
361,38.0
362,34.0
363,38.0
364,34.0
365,38.0
366,38.0
367,42.0
368,52.1
369,55.9
370,53.3
371,57.0
372,51.5
373,55.5
374,53.0
375,57.0
376,56.5
377,60.5
378,56.5
379,38.1
380,34.0
381,38.0
382,34.0
383,38.0
384,34.0
385,38.0
386,34.0
387,38.0
388,34.0
389,38.0
390,38.0
391,42.0
392,51.5
393,55.6
394,53.1
395,57.2
396,51.7
397,55.6
398,53.1
399,57.0
400,56.5
401,60.5
402,56.5
403,38.0
404,34.1
405,38.0
406,34.0
407,38.0
408,34.0
409,38.0
410,34.0
411,38.0
412,34.0
413,38.0
414,38.0
415,42.0
416,51.5
417,55.5
418,53.0
419,57.0
420,51.5
421,55.5
422,53.0
423,57.0
424,56.5
425,60.5
426,56.5
427,38.2
428,34.0
429,38.1
430,34.1
431,38.0
432,34.0
433,38.0
434,34.0
435,38.0
436,34.1
437,38.0
438,38.0
439,42.0
440,51.5
441,55.5
442,53.0
443,57.0
444,51.5
445,55.5
446,53.0
447,57.0
448,56.5
449,60.5
450,56.5
451,38.3
452,34.2
453,38.0
454,34.0
455,38.1
456,34.0
457,38.0
458,34.1
459,38.1
460,34.1
461,38.1
462,38.1
463,42.1
464,51.5
465,55.5
466,53.0
467,57.0
468,51.5
469,55.5
470,53.0
471,57.0
472,56.5
473,60.5
474,56.5
475,38.2
476,34.2
477,38.2
478,34.2
479,38.2
480,34.1
481,38.1
482,34.1
483,38.2
484,34.1
485,38.2
486,34.2
487,38.2
488,29.2
489,33.3
490,29.3
491,33.3
492,29.4
493,33.4
494,29.5
495,33.5
496,34.5
497,38.4
498,34.5
499,38.5
500,34.4
501,38.3
502,34.3
503,38.3
504,34.3
505,38.3
506,34.3
507,38.3
508,34.3
509,38.3
510,34.3
511,38.3
512,29.3
513,33.4
514,29.5
515,33.4
516,29.6
517,33.6
518,29.6
519,33.6
520,34.6
521,38.6
522,34.6
523,38.6
524,34.7
525,38.6
526,34.5
527,38.4
528,34.3
529,38.3
530,34.3
531,38.2
532,34.2
533,38.2
534,38.2
535,42.1
536,51.5
537,55.5
538,53.0
539,57.0
540,51.5
541,55.5
542,53.0
543,57.0
544,56.6
545,60.7
546,56.7
547,38.0
548,34.0
549,38.0
550,34.0
551,38.0
552,34.0
553,38.0
554,34.0
555,38.0
556,34.0
557,38.0
558,38.0
559,42.0
560,51.8
561,55.8
562,53.2
563,57.2
564,51.8
565,55.8
566,53.2
567,57.1
568,56.6
569,60.5
570,56.5
571,38.1
572,34.0
573,38.0
574,34.0
575,38.0
576,34.0
577,38.0
578,34.0
579,38.0
580,34.0
581,38.0
582,38.0
583,42.0
584,51.5
585,55.5
586,53.0
587,57.0
588,51.5
589,55.5
590,52.9
591,56.9
592,56.4
593,60.5
594,56.5
595,38.8
596,34.7
597,38.5
598,34.6
599,38.6
600,34.4
601,38.4
602,34.3
603,38.3
604,34.4
605,38.4
606,38.3
607,42.3
608,51.5
609,55.5
610,53.0
611,57.0
612,51.4
613,55.4
614,52.9
615,57.0
616,56.5
617,60.5
618,56.5
619,38.3
620,34.3
621,38.3
622,34.3
623,38.2
624,34.1
625,38.1
626,34.1
627,38.1
628,34.1
629,38.1
630,38.1
631,42.1
632,51.5
633,55.5
634,53.0
635,57.0
636,51.5
637,55.5
638,53.0
639,57.0
640,56.5
641,60.5
642,56.5
643,38.0
644,34.0
645,38.0
646,34.0
647,38.0
648,34.0
649,38.0
650,34.0
651,38.0
652,34.0
653,38.0
654,34.0
655,38.0
656,29.0
657,33.0
658,29.0
659,33.0
660,29.0
661,33.0
662,29.0
663,33.0
664,34.0
665,38.0
666,34.0
667,38.0
668,34.0
669,38.0
670,34.0
671,38.0
672,34.0
673,38.0
674,34.0
675,38.0
676,34.0
677,38.0
678,34.0
679,38.0
680,29.0
681,33.0
682,29.0
683,33.2
684,29.3
685,33.3
686,29.3
687,33.2
688,34.1
689,38.0
690,34.0
691,38.0
692,34.0
693,38.0
694,34.0
695,38.0
696,34.0
697,38.0
698,34.0
699,38.0
700,34.0
701,38.0
702,38.0
703,42.0
704,52.1
705,56.0
706,53.4
707,57.3
708,51.8
709,55.8
710,53.0
711,57.3
712,56.8
713,60.9
714,57.0
715,38.0
716,34.0
717,38.0
718,34.0
719,38.0
720,34.0
721,38.0
722,34.0
723,38.0
724,34.0
725,38.0
726,38.0
727,42.0
728,52.5
729,56.4
730,54.1
731,58.1
732,52.4
733,56.4
734,53.8
735,57.7
736,57.3
737,61.3
738,57.3
739,38.0
740,34.0
741,38.0
742,34.0
743,38.0
744,34.0
745,38.0
746,34.0
747,38.0
748,34.0
749,38.0
750,38.0
751,37.0
752,51.5
753,55.5
754,53.0
755,57.0
756,51.5
757,55.5
758,53.0
759,57.0
760,51.5
761,60.5
762,56.5
763,38.3
764,34.1
765,38.1
766,34.0
767,38.0
768,34.0
769,38.0
770,34.0
771,38.0
772,34.0
773,38.0
774,38.0
775,37.0
776,51.8
777,55.5
778,53.0
779,57.0
780,51.5
781,55.5
782,53.0
783,57.0
784,51.5
785,60.5
786,56.7
787,38.0
788,34.0
789,38.0
790,34.0
791,38.0
792,34.0
793,38.0
794,34.0
795,38.0
796,34.0
797,38.0
798,38.0
799,37.0
800,52.6
801,56.5
802,54.0
803,57.8
804,52.2
805,56.2
806,53.5
807,57.5
808,52.1
809,61.2
810,57.2
811,38.0
812,34.0
813,38.0
814,34.0
815,38.0
816,34.0
817,38.0
818,34.0
819,38.0
820,34.0
821,38.0
822,34.0
823,33.0
824,29.0
825,33.0
826,29.0
827,33.0
828,29.0
829,33.0
830,29.0
831,33.0
832,29.0
833,38.0
834,34.0
835,38.0
836,34.0
837,38.0
838,34.0
839,38.0
840,34.0
841,38.0
842,34.0
843,38.0
844,34.0
845,38.0
846,34.0
847,33.0
848,29.0
849,33.0
850,29.0
851,33.0
852,29.0
853,33.0
854,29.1
855,33.1
856,29.1
857,38.0
858,34.0
859,38.0
860,34.0
861,38.0
862,34.1
863,38.0
864,34.0
865,38.0
866,34.1
867,38.0
868,34.0
869,38.0
870,38.0
871,37.0
872,51.5
873,55.5
874,53.0
875,57.0
876,51.5
877,55.5
878,53.0
879,56.9
880,51.5
881,60.5
882,56.5
883,38.2
884,34.0
885,38.0
886,34.0
887,38.0
888,34.0
889,38.0
890,34.0
891,38.0
892,34.0
893,38.0
894,38.0
895,37.0
896,51.8
897,55.7
898,53.1
899,57.1
900,51.5
901,55.5
902,53.1
903,57.1
904,51.7
905,60.7
906,56.6
907,38.0
908,34.0
909,38.0
910,34.0
911,38.0
912,34.0
913,38.0
914,34.0
915,38.0
916,34.0
917,38.0
918,38.1
919,37.1
920,51.5
921,55.5
922,52.9
923,56.7
924,51.3
925,55.3
926,52.6
927,56.9
928,51.4
929,60.4
930,56.5
931,38.9
932,34.7
933,38.6
934,34.4
935,38.3
936,34.1
937,38.1
938,34.0
939,38.0
940,34.0
941,38.0
942,38.0
943,37.0
944,52.4
945,56.5
946,54.1
947,58.0
948,52.5
949,56.5
950,54.1
951,58.1
952,52.8
953,61.9
954,58.1
955,38.0
956,34.0
957,38.0
958,34.0
959,38.0
960,34.0
961,38.0
962,34.0
963,38.0
964,34.0
965,38.0
966,38.0
967,37.0
968,52.9
969,56.7
970,54.1
971,57.9
972,52.3
973,56.3
974,53.8
975,57.8
976,52.4
977,61.5
978,57.5
979,38.0
980,34.0
981,38.0
982,34.0
983,38.0
984,34.0
985,38.0
986,34.0
987,38.0
988,34.0
989,38.0
990,34.0
991,33.0
992,29.0
993,33.0
994,29.0
995,33.1
996,29.2
997,33.2
998,29.1
999,33.5
1000,29.5
1001,38.3
1002,34.2
1003,38.2
1004,34.0
1005,38.0
1006,34.0
1007,38.0
1008,34.0
1009,38.0
1010,34.0
1011,38.0
1012,34.0
1013,38.0
1014,34.0
1015,33.0
1016,29.0
1017,33.0
1018,29.0
1019,33.0
1020,29.0
1021,33.0
1022,29.0
1023,33.0
1024,29.0
1025,38.0
1026,34.0
1027,38.0
1028,34.0
1029,38.0
1030,34.0
1031,38.0
1032,34.0
1033,38.0
1034,34.0
1035,38.0
1036,34.0
1037,38.0
1038,38.0
1039,37.0
1040,51.9
1041,55.8
1042,53.3
1043,57.3
1044,51.8
1045,55.8
1046,53.3
1047,57.3
1048,51.8
1049,60.9
1050,57.1
1051,38.0
1052,34.0
1053,38.0
1054,34.0
1055,38.0
1056,34.0
1057,38.0
1058,34.0
1059,38.0
1060,34.0
1061,38.0
1062,38.0
1063,37.0
1064,52.3
1065,56.2
1066,53.6
1067,57.6
1068,51.8
1069,55.8
1070,53.0
1071,57.0
1072,51.5
1073,60.5
1074,56.5
1075,38.0
1076,34.0
1077,38.0
1078,34.0
1079,38.0
1080,34.0
1081,38.0
1082,34.0
1083,38.0
1084,34.0
1085,38.0
1086,38.0
1087,37.0
1088,51.8
1089,55.7
1090,53.0
1091,57.0
1092,51.5
1093,55.5
1094,52.9
1095,57.0
1096,51.5
1097,60.6
1098,56.7
1099,38.0
1100,34.0
1101,38.0
1102,34.0
1103,38.0
1104,34.0
1105,38.0
1106,34.0
1107,38.0
1108,34.0
1109,38.0
1110,38.0
1111,37.0
1112,52.1
1113,56.0
1114,53.3
1115,57.3
1116,51.7
1117,55.7
1118,53.2
1119,57.3
1120,52.0
1121,61.1
1122,57.2
1123,38.0
1124,34.0
1125,38.0
1126,34.0
1127,38.0
1128,34.0
1129,38.0
1130,34.0
1131,38.0
1132,34.0
1133,38.0
1134,38.0
1135,37.0
1136,52.3
1137,56.1
1138,53.3
1139,57.2
1140,51.5
1141,55.5
1142,53.0
1143,57.0
1144,51.5
1145,60.5
1146,56.5
1147,38.0
1148,34.0
1149,38.0
1150,34.0
1151,38.0
1152,34.0
1153,38.0
1154,34.0
1155,38.0
1156,34.0
1157,38.0
1158,34.0
1159,33.0
1160,29.0
1161,33.4
1162,29.7
1163,34.1
1164,30.3
1165,34.3
1166,30.7
1167,34.6
1168,30.6
1169,39.4
1170,35.2
1171,39.2
1172,35.2
1173,38.9
1174,34.8
1175,38.8
1176,34.7
1177,38.7
1178,34.8
1179,38.6
1180,34.6
1181,38.5
1182,34.8
1183,33.8
1184,30.1
1185,34.4
1186,30.5
1187,34.7
1188,30.8
1189,34.8
1190,30.9
1191,34.8
1192,30.7
1193,39.6
1194,35.5
1195,39.6
1196,35.3
1197,39.1
1198,35.0
1199,39.0
1200,34.8
1201,38.8
1202,34.6
1203,38.5
1204,34.3
1205,38.3
1206,38.3
1207,37.3
1208,51.5
1209,55.5
1210,52.9
1211,56.9
1212,51.4
1213,55.4
1214,52.9
1215,56.9
1216,51.4
1217,60.4
1218,56.5
1219,38.4
1220,34.1
1221,38.0
1222,34.0
1223,38.0
1224,34.0
1225,38.0
1226,34.0
1227,38.0
1228,34.0
1229,38.0
1230,38.0
1231,37.0
1232,51.8
1233,55.5
1234,53.0
1235,57.0
1236,51.5
1237,55.5
1238,53.0
1239,57.0
1240,51.5
1241,60.5
1242,56.5
1243,38.3
1244,34.2
1245,38.2
1246,34.2
1247,38.1
1248,34.1
1249,38.1
1250,34.1
1251,38.1
1252,34.1
1253,38.1
1254,38.1
1255,37.1
1256,51.5
1257,55.5
1258,53.0
1259,57.0
1260,51.4
1261,55.4
1262,52.9
1263,56.9
1264,51.4
1265,60.4
1266,56.4
1267,39.2
1268,34.9
1269,38.9
1270,34.8
1271,38.8
1272,34.6
1273,38.6
1274,34.4
1275,38.4
1276,34.2
1277,38.3
1278,38.3
1279,37.3
1280,51.5
1281,55.5
1282,52.9
1283,56.9
1284,51.4
1285,55.4
1286,52.9
1287,57.0
1288,51.1
1289,60.4
1290,56.4
1291,39.6
1292,35.6
1293,39.6
1294,35.6
1295,39.3
1296,35.2
1297,39.2
1298,35.0
1299,39.0
1300,35.0
1301,39.0
1302,38.9
1303,37.9
1304,51.1
1305,55.5
1306,53.2
1307,57.5
1308,52.1
1309,56.1
1310,53.3
1311,57.3
1312,51.7
1313,60.6
1314,56.4
1315,40.2
1316,35.8
1317,39.8
1318,35.7
1319,39.6
1320,35.3
1321,39.3
1322,35.2
1323,38.9
1324,34.8
1325,38.7
1326,34.7
1327,33.6
1328,29.7
1329,34.1
1330,30.2
1331,34.7
1332,30.7
1333,34.7
1334,30.8
1335,34.7
1336,30.5
1337,39.4
1338,35.5
1339,39.1
1340,34.7
1341,38.7
1342,34.6
1343,38.4
1344,34.3
1345,38.3
1346,34.1
1347,38.1
1348,34.0
1349,38.0
1350,34.0
1351,33.0
1352,29.0
1353,33.0
1354,29.1
1355,33.1
1356,29.2
1357,33.2
1358,29.3
1359,33.2
1360,29.1
1361,38.0
1362,34.0
1363,38.0
1364,34.0
1365,38.0
1366,34.0
1367,38.0
1368,34.0
1369,38.0
1370,34.0
1371,38.0
1372,34.0
1373,38.0
1374,38.0
1375,37.0
1376,51.6
1377,55.5
1378,53.0
1379,56.9
1380,51.4
1381,55.4
1382,52.9
