hour,load_kw
0,53.5
1,53.8
2,57.1
3,57.4
4,58.0
5,58.9
6,59.2
7,58.5
8,57.8
9,57.6
10,58.0
11,58.0
12,56.0
13,55.6
14,55.6
15,56.5
16,56.0
17,53.8
18,53.5
19,53.1
20,53.5
21,58.3
22,58.0
23,66.1
24,66.6
25,67.0
26,69.3
27,71.1
28,70.4
29,70.4
30,69.7
31,69.7
32,70.0
33,69.8
34,69.8
35,69.5
36,68.4
37,61.0
38,59.4
39,59.9
40,59.4
41,57.8
42,57.8
43,57.1
44,57.6
45,58.1
46,57.8
47,58.1
48,67.3
49,92.0
50,89.6
51,90.4
52,89.8
53,91.6
54,105.1
55,144.2
56,191.0
57,196.0
58,199.6
59,199.1
60,199.6
61,193.7
62,190.6
63,166.0
64,128.2
65,120.8
66,94.9
67,91.8
68,93.8
69,93.1
70,88.0
71,65.9
72,53.6
73,53.6
74,56.2
75,56.9
76,56.7
77,82.3
78,104.0
79,153.2
80,191.9
81,204.3
82,201.4
83,201.8
84,196.0
85,187.7
86,184.1
87,163.4
88,134.6
89,124.2
90,92.9
91,85.3
92,87.3
93,88.9
94,90.4
95,68.2
96,63.4
97,65.2
98,66.8
99,68.0
100,68.0
101,82.6
102,99.4
103,153.4
104,191.9
105,205.9
106,203.4
107,195.3
108,192.4
109,189.4
110,187.4
111,164.5
112,132.7
113,122.2
114,102.1
115,95.2
116,101.0
117,97.6
118,102.2
119,87.7
120,82.4
121,82.4
122,85.0
123,84.2
124,78.7
125,81.7
126,101.7
127,145.4
128,181.8
129,192.8
130,185.6
131,189.2
132,179.8
133,174.1
134,178.2
135,159.1
136,139.7
137,132.8
138,115.2
139,108.0
140,104.2
141,103.3
142,104.2
143,84.4
144,70.0
145,69.7
146,72.0
147,70.4
148,66.1
149,66.1
150,66.6
151,73.1
152,88.7
153,97.7
154,99.7
155,86.6
156,75.4
157,69.5
158,69.8
159,69.7
160,67.9
161,66.1
162,65.9
163,77.9
164,81.4
165,81.0
166,80.6
167,80.8
168,82.1
169,83.2
170,84.1
171,84.8
172,85.3
173,85.3
174,93.8
175,94.9
176,85.7
177,84.1
178,84.4
179,83.7
180,81.9
181,82.4
182,81.7
183,81.5
184,80.1
185,73.3
186,69.8
187,79.9
188,79.9
189,80.6
190,80.3
191,80.5
192,72.7
193,68.6
194,84.4
195,98.8
196,102.6
197,110.9
198,112.7
199,158.6
200,198.2
201,209.7
202,188.5
203,175.1
204,195.3
205,194.4
206,161.5
207,130.3
208,111.6
209,108.5
210,100.6
211,101.5
212,98.3
213,102.8
214,110.5
215,87.3
216,87.7
217,95.6
218,97.9
219,99.2
220,99.2
221,99.7
222,110.7
223,160.4
224,199.6
225,187.0
226,173.7
227,189.5
228,199.8
229,181.6
230,166.5
231,142.9
232,121.0
233,113.9
234,104.6
235,100.4
236,101.5
237,92.2
238,86.6
239,72.5
240,61.6
241,61.7
242,67.9
243,63.5
244,94.0
245,92.2
246,107.6
247,148.7
248,182.3
249,192.6
250,173.3
251,159.3
252,161.5
253,156.6
254,150.7
255,136.4
256,107.5
257,95.4
258,92.7
259,86.0
260,81.0
261,79.6
262,85.0
263,68.2
264,58.0
265,59.0
266,61.0
267,60.3
268,90.5
269,93.8
270,108.0
271,138.1
272,178.6
273,196.9
274,167.0
275,169.6
276,149.4
277,143.6
278,137.9
279,115.0
280,88.7
281,80.3
282,75.8
283,72.9
284,73.8
285,73.1
286,76.7
287,64.4
288,72.4
289,74.7
290,76.3
291,76.5
292,93.6
293,102.1
294,115.9
295,139.1
296,170.1
297,170.6
298,155.5
299,176.2
300,173.3
301,162.5
302,155.3
303,131.8
304,104.8
305,99.0
306,98.6
307,93.6
308,88.7
309,79.4
310,70.7
311,68.4
312,63.4
313,63.5
314,65.5
315,66.1
316,65.9
317,66.8
318,65.7
319,65.3
320,67.9
321,90.5
322,88.0
323,81.4
324,75.2
325,67.5
326,65.7
327,66.6
328,65.2
329,62.8
330,62.5
331,62.3
332,61.9
333,62.5
334,62.1
335,62.8
336,63.0
337,63.2
338,66.1
339,66.4
340,66.1
341,66.4
342,66.1
343,66.6
344,65.9
345,65.0
346,66.2
347,65.9
348,65.2
349,64.6
350,63.5
351,63.2
352,62.3
353,61.2
354,79.0
355,84.8
356,87.3
357,73.6
358,62.1
359,62.8
360,63.0
361,63.2
362,65.0
363,66.6
364,66.6
365,72.9
366,81.7
367,77.8
368,67.0
369,66.2
370,67.5
371,68.6
372,65.7
373,65.7
374,56.3
375,54.5
376,54.2
377,52.7
378,59.9
379,63.4
380,76.3
381,76.3
382,78.8
383,77.0
384,71.3
385,61.4
386,78.1
387,78.1
388,94.1
389,96.8
390,110.0
391,133.7
392,174.1
393,188.6
394,167.6
395,162.4
396,182.9
397,184.3
398,164.7
399,136.8
400,104.9
401,93.6
402,88.2
403,88.0
404,93.4
405,87.7
406,69.7
407,64.1
408,60.7
409,58.3
410,59.6
411,60.1
412,96.3
413,99.7
414,113.9
415,141.5
416,178.2
417,198.4
418,176.6
419,182.2
420,169.2
421,163.3
422,158.9
423,137.0
424,102.4
425,92.0
426,89.1
427,88.9
428,96.1
429,91.4
430,91.3
431,71.1
432,61.2
433,60.3
434,62.5
435,63.7
436,99.5
437,104.6
438,118.3
439,144.2
440,180.9
441,198.7
442,175.1
443,165.8
444,164.3
445,159.8
446,151.6
447,130.3
448,100.1
449,91.3
450,84.8
451,92.9
452,86.4
453,82.3
454,74.2
455,69.7
456,72.5
457,73.1
458,74.0
459,75.8
460,98.5
461,101.2
462,115.9
463,143.1
464,191.9
465,197.8
466,185.4
467,179.6
468,177.8
469,172.6
470,171.0
471,142.0
472,111.2
473,101.7
474,94.0
475,91.4
476,84.1
477,77.9
478,71.3
479,68.2
480,58.9
481,59.8
482,61.6
483,62.3
484,62.3
485,61.9
486,62.1
487,61.6
488,63.7
489,82.1
490,86.0
491,80.3
492,66.2
493,65.2
494,59.9
495,59.6
496,58.9
497,57.2
498,58.0
499,57.2
500,56.9
501,57.1
502,57.1
503,57.8
504,58.0
505,57.8
506,59.8
507,61.0
508,61.4
509,73.8
510,65.5
511,59.9
512,60.7
513,59.8
514,59.9
515,59.8
516,58.7
517,68.4
518,67.0
519,58.3
520,57.6
521,68.4
522,70.4
523,69.7
524,70.4
525,70.7
526,70.9
527,71.5
528,72.0
529,63.9
530,66.2
531,101.7
532,103.3
533,112.1
534,123.7
535,142.6
536,179.1
537,187.9
538,173.2
539,172.1
540,190.6
541,187.6
542,163.8
543,128.3
544,106.6
545,94.1
546,82.8
547,90.0
548,95.6
549,96.3
550,78.1
551,93.2
552,96.1
553,95.0
554,84.2
555,96.8
556,111.2
557,101.9
558,118.3
559,148.9
560,196.6
561,204.8
562,177.7
563,179.3
564,202.5
565,203.0
566,165.8
567,140.9
568,114.5
569,102.2
570,98.1
571,87.5
572,91.1
573,93.4
574,93.1
575,78.3
576,75.1
577,74.2
578,79.9
579,77.0
580,103.3
581,102.8
582,117.2
583,151.2
584,187.9
585,202.7
586,178.9
587,177.1
588,174.4
589,169.6
590,163.8
591,133.6
592,98.8
593,89.5
594,88.6
595,86.0
596,91.8
597,92.7
598,93.4
599,78.3
600,66.4
601,67.5
602,67.0
603,62.6
604,98.8
605,103.3
606,118.4
607,152.1
608,194.8
609,205.0
610,176.0
611,169.6
612,173.5
613,165.6
614,159.5
615,138.4
616,106.6
617,95.0
618,92.7
619,99.4
620,95.6
621,92.7
622,95.6
623,87.8
624,80.1
625,79.9
626,82.1
627,78.1
628,99.2
629,101.5
630,118.1
631,148.5
632,193.3
633,211.7
634,196.4
635,189.0
636,191.2
637,184.0
638,173.2
639,144.2
640,114.7
641,101.5
642,97.2
643,91.3
644,86.9
645,86.8
646,91.4
647,91.1
648,74.7
649,74.0
650,75.6
651,76.5
652,76.7
653,76.7
654,76.3
655,74.7
656,77.2
657,83.3
658,84.1
659,74.3
660,62.8
661,61.9
662,59.8
663,59.4
664,58.9
665,58.0
666,57.4
667,56.7
668,56.5
669,72.5
670,82.6
671,71.3
672,65.7
673,67.9
674,69.3
675,84.4
676,76.1
677,66.6
678,66.4
679,67.0
680,79.7
681,75.2
682,60.5
683,63.9
684,58.0
685,61.9
686,68.6
687,73.4
688,72.9
689,86.0
690,56.9
691,56.7
692,57.1
693,61.9
694,66.1
695,73.8
696,84.8
697,79.4
698,104.2
699,102.6
700,110.3
701,111.8
702,125.1
703,151.9
704,196.0
705,199.8
706,191.0
707,185.2
708,206.5
709,199.6
710,161.8
711,131.4
712,107.6
713,107.1
714,99.2
715,97.6
716,95.9
717,96.1
718,97.2
719,83.3
720,74.5
721,75.2
722,78.1
723,79.7
724,101.0
725,100.1
726,120.8
727,147.2
728,188.6
729,202.3
730,178.6
731,172.6
732,193.7
733,191.2
734,168.7
735,148.9
736,124.4
737,113.8
738,106.9
739,103.9
740,104.4
741,102.6
742,100.3
743,75.6
744,69.7
745,69.1
746,71.5
747,77.2
748,101.3
749,100.3
750,120.2
751,143.8
752,187.4
753,200.9
754,176.9
755,170.6
756,163.3
757,154.4
758,153.7
759,140.4
760,107.3
761,92.0
762,89.5
763,90.5
764,92.0
765,93.4
766,98.1
767,84.1
768,65.7
769,69.7
770,72.9
771,77.8
772,102.4
773,101.3
774,120.8
775,143.1
776,182.2
777,199.4
778,176.9
779,168.3
780,167.8
781,160.7
782,159.1
783,145.6
784,115.9
785,101.3
786,94.7
787,95.8
788,104.8
789,95.4
790,98.3
791,96.7
792,83.3
793,83.5
794,83.5
795,87.1
796,101.5
797,99.5
798,119.2
799,145.6
800,179.8
801,194.6
802,175.1
803,171.5
804,172.4
805,162.7
806,162.7
807,137.9
808,120.1
809,110.7
810,106.2
811,106.7
812,99.2
813,101.5
814,95.6
815,79.6
816,72.0
817,71.8
818,72.0
819,72.4
820,71.6
821,71.5
822,69.7
823,74.3
824,80.6
825,80.5
826,86.8
827,87.1
828,86.4
829,84.1
830,74.3
831,71.5
832,68.4
833,67.5
834,75.6
835,74.5
836,70.4
837,70.4
838,74.5
839,81.2
840,71.8
841,71.5
842,77.2
843,81.5
844,71.6
845,70.9
846,76.9
847,75.2
848,68.2
849,67.1
850,73.6
851,74.0
852,66.2
853,66.2
854,65.0
855,67.3
856,76.3
857,84.6
858,60.5
859,59.8
860,61.6
861,61.7
862,61.7
863,71.1
864,71.5
865,69.7
866,102.4
867,101.3
868,108.9
869,109.8
870,112.3
871,142.7
872,188.1
873,192.1
874,176.0
875,173.2
876,189.4
877,178.6
878,155.9
879,129.1
880,95.9
881,93.8
882,86.6
883,88.0
884,89.8
885,95.0
886,97.2
887,87.5
888,71.6
889,70.6
890,70.9
891,76.0
892,101.5
893,99.7
894,118.3
895,146.7
896,185.0
897,187.2
898,173.7
899,166.3
900,191.7
901,188.3
902,158.8
903,132.1
904,112.5
905,104.6
906,101.9
907,99.9
908,102.4
909,106.2
910,107.5
911,92.2
912,77.6
913,78.8
914,77.4
915,70.9
916,101.9
917,100.4
918,118.6
919,143.5
920,185.0
921,191.3
922,167.4
923,160.9
924,158.0
925,153.4
926,148.5
927,117.2
928,95.2
929,87.8
930,83.3
931,87.7
932,91.1
933,88.0
934,84.8
935,68.4
936,61.6
937,62.3
938,62.3
939,68.2
940,101.2
941,100.1
942,110.2
943,130.1
944,102.8
945,89.8
946,89.6
947,89.8
948,92.3
949,90.4
950,90.7
951,80.6
952,67.7
953,70.4
954,78.5
955,97.9
956,99.4
957,93.1
958,88.9
959,93.8
960,102.1
961,110.5
962,110.9
963,110.9
964,113.0
965,112.9
966,129.4
967,139.9
968,140.9
969,149.8
970,186.5
971,190.8
972,189.0
973,186.5
974,178.2
975,143.8
976,124.0
977,112.9
978,112.0
979,108.0
980,104.6
981,102.4
982,108.7
983,89.5
984,72.5
985,71.8
986,72.0
987,71.6
988,72.2
989,71.3
990,70.0
991,68.0
992,67.9
993,72.5
994,75.2
995,71.6
996,67.0
997,66.8
998,65.9
999,64.4
1000,63.9
1001,62.8
1002,70.4
1003,63.9
1004,62.1
1005,62.3
1006,62.1
1007,62.8
1008,73.3
1009,69.3
1010,62.6
1011,65.3
1012,71.3
1013,86.6
1014,76.3
1015,70.2
1016,69.3
1017,77.0
1018,74.9
1019,68.8
1020,68.8
1021,77.6
1022,71.8
1023,67.3
1024,79.0
1025,88.9
1026,66.4
1027,68.6
1028,69.3
1029,77.8
1030,76.3
1031,68.8
1032,69.7
1033,74.2
1034,96.8
1035,96.8
1036,104.4
1037,105.5
1038,112.9
1039,128.5
1040,140.2
1041,147.6
1042,171.2
1043,187.0
1044,191.5
1045,197.8
1046,175.0
1047,142.7
1048,115.2
1049,99.4
1050,96.7
1051,97.6
1052,98.8
1053,102.4
1054,90.7
1055,76.9
1056,72.4
1057,72.2
1058,72.5
1059,79.2
1060,96.8
1061,98.5
1062,109.1
1063,147.8
1064,187.2
1065,193.5
1066,184.9
1067,180.5
1068,189.4
1069,183.1
1070,173.0
1071,148.7
1072,120.8
1073,104.0
1074,101.2
1075,103.1
1076,105.8
1077,88.2
1078,86.8
1079,77.2
1080,72.4
1081,72.2
1082,71.5
1083,74.5
1084,87.7
1085,98.3
1086,108.0
1087,143.1
1088,183.1
1089,193.0
1090,183.1
1091,183.2
1092,192.1
1093,187.4
1094,178.4
1095,146.5
1096,113.6
1097,94.1
1098,93.4
1099,100.3
1100,102.4
1101,105.3
1102,100.8
1103,86.9
1104,76.1
1105,75.8
1106,76.7
1107,79.4
1108,92.9
1109,103.5
1110,111.2
1111,150.5
1112,191.3
1113,198.4
1114,189.0
1115,189.5
1116,192.8
1117,174.1
1118,122.0
1119,112.3
1120,103.1
1121,103.5
1122,109.3
1123,112.0
1124,115.9
1125,108.0
1126,85.5
1127,83.3
1128,85.3
1129,84.6
1130,84.4
1131,87.8
1132,100.3
1133,100.1
1134,108.7
1135,148.9
1136,196.0
