hour,load_kw
0,209.0
1,211.1
2,211.1
3,211.8
4,210.3
5,215.0
6,220.5
7,211.8
8,196.1
9,193.7
10,193.7
11,194.5
12,192.9
13,194.5
14,195.3
15,196.1
16,202.4
17,216.6
18,218.1
19,215.0
20,218.1
21,222.1
22,213.4
23,212.6
24,211.8
25,214.2
26,213.4
27,222.9
28,226.8
29,252.0
30,284.3
31,287.4
32,307.9
33,313.4
34,317.4
35,318.9
36,318.9
37,317.4
38,318.2
39,313.4
40,306.3
41,310.3
42,275.6
43,267.8
44,267.8
45,255.9
46,230.7
47,209.5
48,213.4
49,211.8
50,211.8
51,214.2
52,211.1
53,241.8
54,337.1
55,436.3
56,455.2
57,487.5
58,489.0
59,478.0
60,493.8
61,485.9
62,485.1
63,472.5
64,466.2
65,471.7
66,370.1
67,326.0
68,315.8
69,286.7
70,234.7
71,217.4
72,221.3
73,215.8
74,218.1
75,229.2
76,233.9
77,261.5
78,353.6
79,448.1
80,480.4
81,505.6
82,488.3
83,495.3
84,483.5
85,487.5
86,478.8
87,471.7
88,475.7
89,481.2
90,387.5
91,363.8
92,337.8
93,304.0
94,244.1
95,230.0
96,230.7
97,226.0
98,226.8
99,226.8
100,226.0
101,256.7
102,344.1
103,443.4
104,482.0
105,500.9
106,507.9
107,499.3
108,488.3
109,479.6
110,476.4
111,464.6
112,454.4
113,465.4
114,382.7
115,372.5
116,332.3
117,296.1
118,240.2
119,229.2
120,229.2
121,226.0
122,227.6
123,237.0
124,245.7
125,270.9
126,352.8
127,434.7
128,465.4
129,482.0
130,486.7
131,489.0
132,496.1
133,478.8
134,461.5
135,447.3
136,438.6
137,443.4
138,364.6
139,343.4
140,347.3
141,296.9
142,235.5
143,230.7
144,230.0
145,229.2
146,229.2
147,228.4
148,230.0
149,233.1
150,239.4
151,231.5
152,234.7
153,250.4
154,253.6
155,248.1
156,255.2
157,252.0
158,256.7
159,270.1
160,266.2
161,273.3
162,252.0
163,252.0
164,252.8
165,249.6
166,229.2
167,220.5
168,223.7
169,224.4
170,222.1
171,222.1
172,222.9
173,226.8
174,232.3
175,226.0
176,205.5
177,206.3
178,207.1
179,204.8
180,206.3
181,209.5
182,223.7
183,239.4
184,233.1
185,249.6
186,245.7
187,229.2
188,229.2
189,231.5
190,222.9
191,222.1
192,222.1
193,225.2
194,224.4
195,232.3
196,244.1
197,290.6
198,360.7
199,445.7
200,465.4
201,511.9
202,509.5
203,504.8
204,494.6
205,505.6
206,496.1
207,481.2
208,477.2
209,479.6
210,405.6
211,367.0
212,341.0
213,322.1
214,264.6
215,251.2
216,235.5
217,270.9
218,303.2
219,315.8
220,314.2
221,318.9
222,356.7
223,430.8
224,467.0
225,503.2
226,496.9
227,486.7
228,494.6
229,500.9
230,492.2
231,478.8
232,473.3
233,478.0
234,389.8
235,363.8
236,341.0
237,304.0
238,266.2
239,261.5
240,231.5
241,229.2
242,232.3
243,239.4
244,246.5
245,275.6
246,356.7
247,455.2
248,478.8
249,500.1
250,504.0
251,478.8
252,494.6
253,479.6
254,481.2
255,459.1
256,444.2
257,462.3
258,375.6
259,351.2
260,333.9
261,302.4
262,254.4
263,248.1
264,220.5
265,224.4
266,219.7
267,219.7
268,216.6
269,262.2
270,344.1
271,430.0
272,478.0
273,488.3
274,499.3
275,501.6
276,537.1
277,517.4
278,517.4
279,486.7
280,481.2
281,488.3
282,386.7
283,341.8
284,334.7
285,315.0
286,252.0
287,237.8
288,243.3
289,223.7
290,220.5
291,230.0
292,240.2
293,277.2
294,355.2
295,431.6
296,448.1
297,463.8
298,470.1
299,475.7
300,479.6
301,482.7
302,480.4
303,457.5
304,448.1
305,437.1
306,360.7
307,337.1
308,337.1
309,322.9
310,253.6
311,232.3
312,233.9
313,238.6
314,234.7
315,241.0
316,233.9
317,240.2
318,243.3
319,235.5
320,231.5
321,235.5
322,237.0
323,248.1
324,258.3
325,257.5
326,244.1
327,246.5
328,253.6
329,257.5
330,249.6
331,247.3
332,248.1
333,245.7
334,226.8
335,222.1
336,219.7
337,218.9
338,218.9
339,219.7
340,218.9
341,222.9
342,229.2
343,220.5
344,202.4
345,204.8
346,202.4
347,200.8
348,200.0
349,217.4
350,221.3
351,223.7
352,221.3
353,244.9
354,246.5
355,244.1
356,234.7
357,226.8
358,219.7
359,222.1
360,219.7
361,218.9
362,220.5
363,230.0
364,239.4
365,302.4
366,357.5
367,422.1
368,470.1
369,475.7
370,475.7
371,463.1
372,463.1
373,459.1
374,449.7
375,437.1
376,422.1
377,429.2
378,358.3
379,331.5
380,315.0
381,286.7
382,234.7
383,221.3
384,219.7
385,221.3
386,218.9
387,218.1
388,218.9
389,254.4
390,336.3
391,417.4
392,460.7
393,477.2
394,476.4
395,483.5
396,479.6
397,480.4
398,484.3
399,462.3
400,449.7
401,452.8
402,364.6
403,329.2
404,325.2
405,298.5
406,237.8
407,217.4
408,215.0
409,215.8
410,215.8
411,222.1
412,230.7
413,264.6
414,342.6
415,403.2
416,458.3
417,478.0
418,478.8
419,468.6
420,475.7
421,484.3
422,487.5
423,465.4
424,445.7
425,460.7
426,370.9
427,335.5
428,323.7
429,285.1
430,230.7
431,222.9
432,218.9
433,218.1
434,219.7
435,217.4
436,221.3
437,240.2
438,307.1
439,404.0
440,462.3
441,483.5
442,496.9
443,523.7
444,505.6
445,496.9
446,487.5
447,463.8
448,452.0
449,464.6
450,382.7
451,348.9
452,335.5
453,310.3
454,254.4
455,248.1
456,230.0
457,224.4
458,226.8
459,232.3
460,241.8
461,259.9
462,334.7
463,409.5
464,448.9
465,482.0
466,475.7
467,473.3
468,467.8
469,478.0
470,472.5
471,455.2
472,439.4
473,449.7
474,379.6
475,359.9
476,342.6
477,283.5
478,239.4
479,230.7
480,232.3
481,231.5
482,237.0
483,232.3
484,230.0
485,233.9
486,241.0
487,227.6
488,255.2
489,270.9
490,272.5
491,277.2
492,273.3
493,256.7
494,246.5
495,236.3
496,241.8
497,260.7
498,263.8
499,255.2
500,255.2
501,252.0
502,249.6
503,230.0
504,230.0
505,232.3
506,237.8
507,232.3
508,233.9
509,239.4
510,237.8
511,228.4
512,213.4
513,216.6
514,234.7
515,232.3
516,222.1
517,217.4
518,220.5
519,213.4
520,213.4
521,243.3
522,243.3
523,237.0
524,233.9
525,241.8
526,230.0
527,231.5
528,232.3
529,237.0
530,232.3
531,240.2
532,252.8
533,299.3
534,351.2
535,427.6
536,472.5
537,493.0
538,492.2
539,494.6
540,489.8
541,492.2
542,465.4
543,455.2
544,441.8
545,454.4
546,378.0
547,362.3
548,333.9
549,300.0
550,244.1
551,231.5
552,230.0
553,230.7
554,229.2
555,228.4
556,227.6
557,256.7
558,333.1
559,422.9
560,462.3
561,482.0
562,525.3
563,493.0
564,488.3
565,485.9
566,479.6
567,472.5
568,459.9
569,467.0
570,383.5
571,350.4
572,344.9
573,311.1
574,244.9
575,233.9
576,233.1
577,231.5
578,233.1
579,240.2
580,248.1
581,279.6
582,338.6
583,446.5
584,480.4
585,486.7
586,482.7
587,478.8
588,494.6
589,478.0
590,481.2
591,463.8
592,458.3
593,462.3
594,374.9
595,332.3
596,329.2
597,300.8
598,246.5
599,232.3
600,230.7
601,231.5
602,231.5
603,233.9
604,230.0
605,264.6
606,332.3
607,425.3
608,461.5
609,477.2
610,474.9
611,508.7
612,488.3
613,507.2
614,495.3
615,469.4
616,452.8
617,453.6
618,381.9
619,344.1
620,337.8
621,304.0
622,242.6
623,232.3
624,233.1
625,240.2
626,230.7
627,240.2
628,246.5
629,274.8
630,330.8
631,407.1
632,465.4
633,475.7
634,491.4
635,513.5
636,484.3
637,488.3
638,472.5
639,480.4
640,463.8
641,448.9
642,365.4
643,353.6
644,332.3
645,288.2
646,233.9
647,216.6
648,218.9
649,217.4
650,215.8
651,216.6
652,216.6
653,221.3
654,224.4
655,220.5
656,237.0
657,257.5
658,274.8
659,273.3
660,274.8
661,271.7
662,280.4
663,270.9
664,252.0
665,235.5
666,238.6
667,237.8
668,237.8
669,237.0
670,218.1
671,206.3
672,209.5
673,207.1
674,207.9
675,209.5
676,207.9
677,211.8
678,216.6
679,208.7
680,198.5
681,210.3
682,233.9
683,232.3
684,231.5
685,228.4
686,232.3
687,230.7
688,209.5
689,213.4
690,216.6
691,216.6
692,215.8
693,216.6
694,211.1
695,208.7
696,211.1
697,209.5
698,209.5
699,222.9
700,230.7
701,273.3
702,330.0
703,406.4
704,438.6
705,457.5
706,451.2
707,448.9
708,463.1
709,459.9
710,454.4
711,448.1
712,433.9
713,433.9
714,356.7
715,326.8
716,322.9
717,289.0
718,228.4
719,214.2
720,213.4
721,214.2
722,213.4
723,211.1
724,214.2
725,241.8
726,309.5
727,391.4
728,429.2
729,452.0
730,455.2
731,437.9
732,450.5
733,458.3
734,463.1
735,452.0
736,441.0
737,444.2
738,366.2
739,335.5
740,329.2
741,308.7
742,248.1
743,238.6
744,237.0
745,237.0
746,235.5
747,247.3
748,252.8
749,273.3
750,332.3
751,393.0
752,439.4
753,459.1
754,448.1
755,447.3
756,479.6
757,481.2
758,452.0
759,448.1
760,437.9
761,441.0
762,365.4
763,330.8
764,322.9
765,296.9
766,232.3
767,217.4
768,215.8
769,216.6
770,216.6
771,215.8
772,217.4
773,246.5
774,317.4
775,396.1
776,431.6
777,456.8
778,472.5
779,453.6
780,453.6
781,457.5
782,465.4
783,449.7
784,435.5
785,437.1
786,353.6
787,325.2
788,315.8
789,285.1
790,221.3
791,214.2
792,209.5
793,211.8
794,212.6
795,219.7
796,230.7
797,253.6
798,316.6
799,379.6
