hour,load_kw
0,3.0
1,3.0
2,3.0
3,3.0
4,3.0
5,3.0
6,3.0
7,26.7
8,21.0
9,21.0
10,1.0
11,1.0
12,21.0
13,21.0
14,1.0
15,1.0
16,23.0
17,3.0
18,3.0
19,3.0
20,3.0
21,6.9
22,7.1
23,7.3
24,7.6
25,7.6
26,7.3
27,7.6
28,7.4
29,7.3
30,7.1
31,27.1
32,25.1
33,25.0
34,4.7
35,1.0
36,21.0
37,21.0
38,1.0
39,1.0
40,23.0
41,3.0
42,6.7
43,6.7
44,3.0
45,3.0
46,6.7
47,6.7
48,3.0
49,3.0
50,6.7
51,6.7
52,6.7
53,3.0
54,3.0
55,23.0
56,21.0
57,21.0
58,1.0
59,1.0
60,21.0
61,21.0
62,1.0
63,1.0
64,23.0
65,3.0
66,3.0
67,3.0
68,3.0
69,3.0
70,3.0
71,3.0
72,3.0
73,3.0
74,3.0
75,3.0
76,3.0
77,3.0
78,3.0
79,23.0
80,21.0
81,21.0
82,1.0
83,1.0
84,21.0
85,21.0
86,1.0
87,1.0
88,23.0
89,3.0
90,3.0
91,3.0
92,6.9
93,7.1
94,7.3
95,7.6
96,7.7
97,7.7
98,8.1
99,8.1
100,8.3
101,8.4
102,8.6
103,28.6
104,26.4
105,26.3
106,6.1
107,6.0
108,25.7
109,25.7
110,5.6
111,5.7
112,27.7
113,7.9
114,7.9
115,7.9
116,7.7
117,7.9
118,7.9
119,8.0
120,8.1
121,8.3
122,8.3
123,8.4
124,8.3
125,8.3
126,8.3
127,28.1
128,26.1
129,25.9
130,5.7
131,5.7
132,25.4
133,25.4
134,5.6
135,5.7
136,27.7
137,7.7
138,7.9
139,7.9
140,8.3
141,8.4
142,8.6
143,8.7
144,8.7
145,8.7
146,8.9
147,8.9
148,8.9
149,8.9
150,9.0
151,29.0
152,27.0
153,27.0
154,7.3
155,7.4
156,27.4
157,27.4
158,7.4
159,7.3
160,29.3
161,9.3
162,9.3
163,9.3
164,9.1
165,9.1
166,9.1
167,9.3
168,9.4
169,9.4
170,9.7
171,9.7
172,9.9
173,10.0
174,10.0
175,30.0
176,27.7
177,27.6
178,7.3
179,7.1
180,27.0
181,27.0
182,6.7
183,6.7
184,29.0
185,9.1
186,9.3
187,9.3
188,9.4
189,9.6
190,9.7
191,9.9
192,10.0
193,10.0
194,10.4
195,10.6
196,10.6
197,10.4
198,10.4
199,30.4
200,27.9
201,27.7
202,7.4
203,7.3
204,27.3
205,27.3
206,7.1
207,7.0
208,29.0
209,9.1
210,9.1
211,9.1
212,9.6
213,9.7
214,9.6
215,9.9
216,9.9
217,9.9
218,9.7
219,9.7
220,9.9
221,9.7
222,9.4
223,29.4
224,27.1
225,26.7
226,6.3
227,6.0
228,25.9
229,25.9
230,5.3
231,5.0
232,27.0
233,7.0
234,6.9
235,6.9
236,3.0
237,3.0
238,3.0
239,3.0
240,3.0
241,3.0
242,3.0
243,3.0
244,3.0
245,3.0
246,3.0
247,23.0
248,21.0
249,21.0
250,1.0
251,1.0
252,21.0
253,21.0
254,1.0
255,1.0
256,23.0
257,3.0
258,3.0
259,3.0
260,3.0
261,3.0
262,3.0
263,3.0
264,3.0
265,3.0
266,3.0
267,3.0
268,3.0
269,3.0
270,3.0
271,23.0
272,21.0
273,21.0
274,1.0
275,1.0
276,21.0
277,21.0
278,1.0
279,1.0
280,23.0
281,3.0
282,3.0
283,3.0
284,3.0
285,3.0
286,3.0
287,3.0
288,3.0
289,3.0
290,3.0
291,3.0
292,3.0
293,3.0
294,3.0
295,23.0
296,21.0
297,21.0
298,1.0
299,1.0
300,21.0
301,21.0
302,1.0
303,1.0
304,23.0
305,6.7
306,7.0
307,7.0
308,7.3
309,7.4
310,7.6
311,7.6
312,7.7
313,7.7
314,7.7
315,7.9
316,8.1
317,8.3
318,8.3
319,28.3
320,26.0
321,25.9
322,5.6
323,5.6
324,25.6
325,25.6
326,5.7
327,6.1
328,28.1
329,8.1
330,8.0
331,8.0
332,7.9
333,7.9
334,7.7
335,7.9
336,7.7
337,7.7
338,7.7
339,7.9
340,8.0
341,7.9
342,8.1
343,28.1
344,25.7
345,25.4
346,5.3
347,5.0
348,24.7
349,24.7
350,1.0
351,1.0
352,27.0
353,7.0
354,7.1
355,7.1
356,7.4
357,7.7
358,7.7
359,7.7
360,8.0
361,8.0
362,8.4
363,8.7
364,8.4
365,8.4
366,8.6
367,28.6
368,25.6
369,25.3
370,5.0
371,1.0
372,21.0
373,21.0
374,1.0
375,1.0
376,23.0
377,3.0
378,3.0
379,3.0
380,3.0
381,3.0
382,3.0
383,3.0
384,3.0
385,3.0
386,6.7
387,3.0
388,6.7
389,6.7
390,6.7
391,26.7
392,21.0
393,24.7
394,4.7
395,4.9
396,24.9
397,24.7
398,4.7
399,1.0
400,23.0
401,3.0
402,3.0
403,3.0
404,3.0
405,3.0
406,6.7
407,6.7
408,6.7
409,6.7
410,6.7
411,6.9
412,6.9
413,6.7
414,6.7
415,26.7
416,21.0
417,21.0
418,1.0
419,1.0
420,21.0
421,21.0
422,1.0
423,1.0
424,23.0
425,3.0
426,3.0
427,3.0
428,3.0
429,3.0
430,3.0
431,3.0
432,3.0
433,3.0
434,6.7
435,3.0
436,3.0
437,3.0
438,6.7
439,26.7
440,21.0
441,21.0
442,1.0
443,1.0
444,21.0
445,21.0
446,1.0
447,1.0
448,23.0
449,3.0
450,3.0
451,3.0
452,3.0
453,6.7
454,3.0
455,3.0
456,3.0
457,3.0
458,3.0
459,3.0
460,3.0
461,3.0
462,3.0
463,23.0
464,21.0
465,21.0
466,1.0
467,1.0
468,21.0
469,21.0
470,1.0
471,1.0
472,23.0
473,3.0
474,3.0
475,3.0
476,3.0
477,3.0
478,3.0
479,3.0
480,3.0
481,3.0
482,3.0
483,3.0
484,3.0
485,3.0
486,3.0
487,23.0
488,21.0
489,21.0
490,1.0
491,1.0
492,21.0
493,21.0
494,1.0
495,1.0
496,23.0
497,3.0
498,3.0
499,3.0
500,3.0
501,3.0
502,3.0
503,3.0
504,3.0
505,3.0
506,3.0
507,3.0
508,3.0
509,3.0
510,3.0
511,23.0
512,21.0
513,21.0
514,1.0
515,1.0
516,21.0
517,21.0
518,1.0
519,1.0
520,23.0
521,3.0
522,3.0
523,3.0
524,3.0
525,3.0
526,3.0
527,3.0
528,3.0
529,3.0
530,3.0
531,3.0
532,3.0
533,3.0
534,3.0
535,23.0
536,21.0
537,21.0
538,1.0
539,1.0
540,21.0
541,21.0
542,1.0
543,1.0
544,26.7
545,6.9
546,6.9
547,6.9
548,7.0
549,6.9
550,6.9
551,6.9
