hour,load_kw
0,433.4
1,408.3
2,414.5
3,399.0
4,405.5
5,387.6
6,399.7
7,440.7
8,443.0
9,434.0
10,443.0
11,439.3
12,439.2
13,441.0
14,448.6
15,434.6
16,446.7
17,438.9
18,443.8
19,448.5
20,450.9
21,440.9
22,449.8
23,448.3
24,449.8
25,416.7
26,426.7
27,415.7
28,417.9
29,399.3
30,404.1
31,464.0
32,476.5
33,467.0
34,473.1
35,471.6
36,467.6
37,467.2
38,473.1
39,463.4
40,468.5
41,462.8
42,474.7
43,460.0
44,464.6
45,442.4
46,459.0
47,455.6
48,435.8
49,400.4
50,405.3
51,399.6
52,405.3
53,384.0
54,406.0
55,452.1
56,453.1
57,445.1
58,457.4
59,455.4
60,449.9
61,446.8
62,456.2
63,447.5
64,456.3
65,450.9
66,456.9
67,454.4
68,449.8
69,436.0
70,442.1
71,442.4
72,435.6
73,403.5
74,414.3
75,406.7
76,413.3
77,399.3
78,402.6
79,445.2
80,453.5
81,449.3
82,460.3
83,457.1
84,459.6
85,460.8
86,464.8
87,454.5
88,465.2
89,453.6
90,459.9
91,457.9
92,451.7
93,434.5
94,447.9
95,446.3
96,440.7
97,411.0
98,415.3
99,412.5
100,416.7
101,399.1
102,407.0
103,457.3
104,463.5
105,456.9
106,465.1
107,459.9
108,458.1
109,461.5
110,471.9
111,455.3
112,464.5
113,462.6
114,468.8
115,459.2
116,455.8
117,444.1
118,455.3
119,452.4
120,451.7
121,420.2
122,427.3
123,419.9
124,427.0
125,413.5
126,429.4
127,466.7
128,477.2
129,474.0
130,481.9
131,480.1
132,478.0
133,479.0
134,475.1
135,465.9
136,470.5
137,460.3
138,460.7
139,458.1
140,452.2
141,433.7
142,445.3
143,438.2
144,426.9
145,399.4
146,406.6
147,399.1
148,403.3
149,385.7
150,395.6
151,443.6
152,446.5
153,434.2
154,449.4
155,441.5
156,434.9
157,436.1
158,443.9
159,436.8
160,446.9
161,441.0
162,450.3
163,433.9
164,425.9
165,411.7
166,430.7
167,419.2
168,421.4
169,397.2
170,406.3
171,393.2
172,400.5
173,385.0
174,393.9
175,436.2
176,440.1
177,437.0
178,452.8
179,444.2
180,441.9
181,442.2
182,449.3
183,440.4
184,450.4
185,445.2
186,455.0
187,445.8
188,439.6
189,424.2
190,429.3
191,435.6
192,431.3
193,404.7
194,408.5
195,400.0
196,407.4
197,393.4
198,400.3
199,446.2
200,449.0
201,444.8
202,459.1
203,453.9
204,447.5
205,445.3
206,454.0
207,444.0
208,453.6
209,445.9
210,451.7
211,449.1
212,442.3
213,428.6
214,437.7
215,434.1
216,434.4
217,414.0
218,416.3
219,403.7
220,412.3
221,399.7
222,403.0
223,445.6
224,452.1
225,448.2
226,457.4
227,452.4
228,449.4
229,452.4
230,457.5
231,442.2
232,451.3
233,447.6
234,455.8
235,459.9
236,452.0
237,432.8
238,442.8
239,441.6
240,439.0
241,413.9
242,421.3
243,413.6
244,416.7
245,403.6
246,410.0
247,452.2
248,457.3
249,449.7
250,466.8
251,461.0
252,465.3
253,471.3
254,474.6
255,464.6
256,473.8
257,467.5
258,474.5
259,468.9
260,461.8
261,444.4
262,459.0
263,455.1
264,451.6
265,429.9
266,433.5
267,417.8
268,424.8
269,402.0
270,412.3
271,455.3
272,457.7
273,451.4
274,461.5
275,453.6
276,452.3
277,452.1
278,457.2
279,447.8
280,458.9
281,447.3
282,455.8
283,447.7
284,442.1
285,430.1
286,442.5
287,439.5
288,440.9
289,416.2
290,416.5
291,400.3
292,411.2
293,396.1
294,402.9
295,438.5
296,448.5
297,442.0
298,454.9
299,440.7
300,435.3
301,453.1
302,458.8
303,453.8
304,469.4
305,454.6
306,459.9
307,460.8
308,449.3
309,429.6
310,447.3
311,444.5
312,442.2
313,414.7
314,412.1
315,392.7
316,408.7
317,391.9
318,403.8
319,454.7
320,452.5
321,449.6
322,462.3
323,456.1
324,452.9
325,461.2
326,467.6
327,456.7
328,467.9
329,455.1
330,457.3
331,451.3
332,453.4
333,437.0
334,446.9
335,441.5
336,440.5
337,411.8
338,413.8
339,400.0
340,411.0
341,393.8
342,398.4
343,453.9
344,454.7
345,445.0
346,452.7
347,446.9
348,444.3
349,448.7
350,459.4
351,444.3
352,457.2
353,448.4
354,455.8
355,449.1
356,444.3
357,431.2
358,437.3
359,440.0
360,440.9
361,420.4
362,418.3
363,400.1
364,409.3
365,394.6
366,409.0
367,445.3
368,449.3
369,439.8
370,451.5
371,444.2
372,448.2
373,453.3
374,459.6
375,446.4
376,453.3
377,446.9
378,453.7
379,449.2
380,440.1
381,425.3
382,440.1
383,441.3
384,440.1
385,407.8
386,412.1
387,398.2
388,403.5
389,389.8
390,395.8
391,432.8
392,441.7
393,431.2
394,446.5
395,445.0
396,441.8
397,449.9
398,454.4
399,446.7
400,456.5
401,444.7
402,453.9
403,456.5
404,447.2
405,429.2
406,444.6
407,440.6
408,445.6
409,417.4
410,417.5
411,405.3
412,414.5
413,398.4
414,408.8
415,454.2
416,445.9
417,440.7
418,449.2
419,447.0
420,450.7
421,455.2
422,456.1
423,444.1
424,454.8
425,441.9
426,447.8
427,446.8
428,445.7
429,425.9
430,438.6
431,439.0
432,447.7
433,413.2
434,407.2
435,401.7
436,411.2
437,392.4
438,405.1
439,439.6
440,444.0
441,435.5
442,451.4
443,448.7
444,440.1
445,442.2
446,451.7
447,439.5
448,453.4
449,446.4
450,449.1
451,440.4
452,441.1
453,428.7
454,444.8
455,444.6
456,435.2
457,406.5
458,411.9
459,399.7
460,410.1
461,394.4
462,406.0
463,443.7
464,448.9
465,441.9
466,453.2
467,449.5
468,436.0
469,456.3
470,459.1
471,449.4
472,460.3
473,455.9
474,460.6
475,456.7
476,451.7
477,435.3
478,445.0
479,446.9
480,439.8
481,416.9
482,418.0
483,402.5
484,402.8
485,395.2
486,412.4
487,441.0
488,445.8
489,443.1
490,458.4
491,448.7
492,441.3
493,444.2
494,451.4
495,439.3
496,451.3
497,442.5
498,442.8
499,446.0
500,437.5
501,424.2
502,432.4
503,433.1
504,420.6
505,403.1
506,414.5
507,403.5
508,409.6
509,386.7
510,397.7
511,445.1
512,443.4
513,430.7
514,441.2
515,438.9
516,428.5
517,438.7
518,447.2
519,434.4
520,448.2
521,439.8
522,447.6
523,446.8
524,437.6
525,419.2
526,433.1
527,438.8
528,433.2
529,408.0
530,411.7
531,402.2
532,405.6
533,390.6
534,399.2
535,440.0
536,448.5
537,439.6
538,456.8
539,447.3
540,442.0
541,443.8
542,451.5
543,440.7
544,449.7
545,442.9
546,454.3
547,450.3
548,443.9
549,427.2
550,439.2
551,443.3
552,439.0
553,417.9
554,424.6
555,407.5
556,415.7
557,396.1
558,401.5
559,440.7
560,449.4
561,439.8
562,456.3
563,446.6
564,444.6
565,448.4
566,462.0
567,451.6
568,460.1
569,448.8
570,460.5
571,456.9
572,454.3
573,434.5
574,443.8
575,447.8
576,448.0
577,423.7
578,427.3
579,410.3
580,410.4
581,399.5
582,404.7
583,448.6
584,455.6
585,444.8
586,453.9
587,447.2
588,447.3
589,453.9
590,459.5
591,448.8
592,458.9
593,448.4
594,456.5
595,457.3
596,445.7
597,429.6
598,444.1
599,440.7
600,440.2
601,425.6
602,425.0
603,409.5
604,414.2
605,398.5
606,407.3
607,446.3
608,454.7
609,445.6
610,456.2
611,450.6
612,448.5
613,452.6
614,455.7
615,452.1
616,459.5
617,450.3
618,457.2
619,449.2
620,447.3
621,431.4
622,447.0
623,441.0
624,443.3
625,413.3
626,418.5
627,404.0
628,415.9
629,402.4
630,412.7
631,455.1
632,451.5
633,448.2
634,459.7
635,453.1
636,456.8
637,462.3
638,464.4
639,454.0
640,461.7
641,451.4
642,457.5
643,456.1
644,451.3
645,430.5
646,443.1
647,440.8
648,438.3
649,409.1
650,414.4
651,405.1
652,413.7
653,397.7
654,410.9
655,453.6
656,445.5
657,434.3
658,445.5
659,446.3
660,440.3
661,447.6
662,450.2
663,430.1
664,439.1
665,430.2
666,439.6
667,432.0
668,431.1
669,413.7
670,428.1
671,421.0
672,410.3
673,390.2
674,395.0
675,391.9
676,400.5
677,396.5
678,415.1
679,456.6
680,451.7
681,446.3
682,454.9
683,451.0
684,445.9
685,453.4
686,457.6
687,450.4
688,444.0
689,457.3
690,461.0
691,456.0
692,452.3
693,437.8
694,446.7
695,446.0
696,438.1
697,417.3
698,430.4
699,416.4
700,424.6
701,407.2
702,415.6
703,452.9
704,462.4
705,450.5
706,464.9
707,460.0
708,465.3
709,458.7
710,462.5
711,458.7
712,475.5
713,461.7
714,468.6
715,458.4
716,458.0
717,443.1
718,456.7
719,450.1
720,446.7
721,413.2
722,418.9
723,412.8
724,427.4
725,413.7
726,422.3
727,463.2
728,466.1
729,464.3
730,473.6
731,469.3
732,466.3
733,470.5
734,474.5
735,462.0
736,477.2
737,468.1
738,479.4
