hour,load_kw
0,4171.2
1,4173.1
2,4188.2
3,4167.5
4,4152.3
5,4152.3
6,4161.8
7,4192.0
8,4186.4
9,4122.1
10,4012.5
11,3931.2
12,3944.4
13,3906.6
14,3999.2
15,4018.1
16,4063.5
17,4133.4
18,4190.1
19,4193.9
20,4195.8
21,4210.9
22,4212.8
23,4199.6
24,4229.8
25,4275.2
26,4335.7
27,4367.8
28,4331.9
29,4309.2
30,4195.8
31,4152.3
32,4158.0
33,4080.5
34,3953.9
35,3846.2
36,3781.9
37,3800.8
38,3853.7
39,3972.8
40,3772.4
41,3831.0
42,3857.5
43,3861.3
44,3897.2
45,3978.5
46,3914.2
47,3895.3
48,3955.8
49,3978.5
50,3993.6
51,3952.0
52,3953.9
53,3933.1
54,3919.9
55,3921.8
56,3885.8
57,3804.6
58,3670.4
59,3543.8
60,3504.1
61,3483.3
62,3477.6
63,3585.3
64,3687.4
65,3628.8
66,3721.4
67,3842.4
68,3834.8
69,3851.8
70,3865.1
71,3872.6
72,3859.4
73,3842.4
74,3738.4
75,3740.3
76,3829.1
77,3814.0
78,3848.0
79,3866.9
80,3866.9
81,3825.4
82,3564.5
83,3371.8
84,3437.9
85,3454.9
86,3585.3
87,3592.9
88,3693.1
89,3727.1
90,3793.2
91,3808.4
92,3798.9
93,3783.8
94,3751.7
95,3846.2
96,3880.2
97,3815.9
98,3772.4
99,3797.0
100,3798.9
101,3787.6
102,3834.8
103,3914.2
104,3927.4
105,3861.3
106,3916.1
107,3729.0
108,3558.9
109,3545.6
110,3555.1
111,3687.4
112,3774.3
113,3831.0
114,3855.6
115,3904.7
116,4199.6
117,4375.4
118,4384.8
119,4394.3
120,4411.3
121,4420.7
122,4399.9
123,4401.8
124,4358.3
125,4377.2
126,4330.0
127,4301.6
128,4331.9
129,4358.3
130,4159.9
131,3861.3
132,3764.9
133,3706.3
134,3651.5
135,3778.1
136,3819.7
137,3857.5
138,3919.9
139,3889.6
140,3868.8
141,3885.8
142,3868.8
143,3846.2
144,3866.9
145,3859.4
146,3870.7
147,3851.8
148,3800.8
149,3797.0
150,3923.6
151,3957.7
152,3933.1
153,3815.9
154,3855.6
155,3952.0
156,3904.7
157,3948.2
158,3946.3
159,3993.6
160,3893.4
161,3906.6
162,3936.9
163,3931.2
164,3925.5
165,3935.0
166,3961.4
167,3982.2
168,3952.0
169,3974.7
170,3957.7
171,3969.0
172,3957.7
173,3908.5
174,3908.5
175,3935.0
176,3931.2
177,3976.6
178,4216.6
179,4210.9
180,4004.9
181,3993.6
182,3972.8
183,3942.5
184,3925.5
185,4006.8
186,3931.2
187,3948.2
188,3980.3
189,3940.7
190,3942.5
191,3929.3
192,3904.7
193,3891.5
194,3914.2
195,3891.5
196,3889.6
197,3885.8
198,3865.1
199,3863.2
200,3855.6
201,3874.5
202,3908.5
203,3929.3
204,3863.2
205,3902.9
206,3810.2
207,3804.6
208,3827.3
209,3834.8
210,3876.4
211,3865.1
212,3882.1
213,3885.8
214,3889.6
215,3889.6
216,3908.5
217,3978.5
218,3986.0
219,3935.0
220,3923.6
221,3925.5
222,3931.2
223,3935.0
224,3919.9
225,3876.4
226,3791.3
227,3742.2
228,3687.4
229,3723.3
230,3730.9
231,3768.7
232,3815.9
233,3895.3
234,3984.1
235,4021.9
236,4044.6
237,4042.7
238,4052.2
239,4084.3
240,4154.2
241,4195.8
242,4201.5
243,4201.5
244,4193.9
245,4182.6
246,4192.0
247,4209.0
248,4184.5
249,4158.0
250,4018.1
251,3872.6
252,3857.5
253,3878.3
254,4044.6
255,4248.7
256,4301.6
257,4279.0
258,4326.2
259,4335.7
260,4343.2
261,4333.8
262,4341.3
263,4399.9
264,4443.4
265,4536.0
266,4513.3
267,4520.9
268,4441.5
269,4392.4
270,4331.9
271,4326.2
272,4069.2
273,3895.3
274,3870.7
275,3810.2
276,3679.8
277,3755.4
278,4006.8
279,4044.6
280,4050.3
281,4054.1
282,4114.5
283,4080.5
284,4027.6
285,4175.0
286,4209.0
287,4239.3
288,4241.2
289,4197.7
290,4182.6
291,4284.6
292,4265.7
293,4250.6
294,4231.7
295,4171.2
296,4227.9
297,4322.4
298,4135.3
299,4078.6
300,4042.7
301,3989.8
302,3965.2
303,4065.4
304,4235.5
305,4282.7
306,4220.4
307,4108.9
308,4214.7
309,4197.7
310,4214.7
311,4197.7
312,4192.0
313,4141.0
314,4311.1
315,4322.4
316,4280.9
317,4209.0
318,4105.1
319,4192.0
320,4210.9
321,4175.0
322,4048.4
323,3787.6
324,3851.8
325,3897.2
326,3999.2
327,4014.4
328,4097.5
329,4163.7
330,4173.1
331,4226.0
332,4250.6
333,4246.8
334,4275.2
335,4284.6
336,4290.3
337,4252.5
338,4218.5
339,4214.7
340,4203.4
341,4176.9
342,4216.6
343,4222.3
344,4258.2
345,4262.0
346,4131.5
347,4063.5
348,4065.4
349,4099.4
350,4122.1
351,4129.7
352,4124.0
353,4133.4
354,4150.4
355,4142.9
356,4127.8
357,4152.3
358,4131.5
359,4158.0
360,4158.0
361,4139.1
362,4154.2
363,4159.9
364,4129.7
365,4125.9
366,4099.4
367,4090.0
368,4101.3
369,4116.4
370,3948.2
371,3834.8
372,3849.9
373,3948.2
374,4008.7
375,4023.8
376,4125.9
377,4186.4
378,4260.1
379,4277.1
380,4311.1
381,4286.5
382,4280.9
383,4244.9
384,4254.4
385,4241.2
386,4265.7
387,4246.8
388,4250.6
389,4227.9
390,4233.6
391,4246.8
392,4229.8
393,4207.1
394,4193.9
395,4178.8
396,4195.8
397,4037.0
398,3935.0
399,3980.3
400,3938.8
401,3986.0
402,4042.7
403,4069.2
404,4042.7
405,4050.3
406,4050.3
407,4065.4
408,4040.8
409,4027.6
410,4035.2
411,4016.3
412,4050.3
413,4055.9
414,4103.2
415,4127.8
416,4093.7
417,4063.5
418,3978.5
419,3919.9
420,3823.5
421,3846.2
422,3916.1
423,4112.6
424,4205.3
425,4233.6
426,4271.4
427,4337.6
428,4320.5
429,4299.8
430,4299.8
431,4303.5
432,4314.9
433,4301.6
434,4290.3
435,4290.3
436,4284.6
437,4258.2
438,4297.9
439,4309.2
440,4296.0
441,4258.2
442,4184.5
443,3957.7
444,3925.5
445,3851.8
446,3893.4
447,4048.4
448,4122.1
449,4175.0
450,4241.2
451,4248.7
452,4263.8
453,4260.1
454,4271.4
455,4178.8
456,4118.3
457,4207.1
458,4182.6
459,4178.8
460,4156.1
461,4165.6
462,4163.7
463,4105.1
464,4190.1
465,4176.9
466,4139.1
467,4099.4
468,3946.3
469,3874.5
470,4093.7
471,4186.4
472,4263.8
473,4371.6
474,4254.4
475,4326.2
476,4330.0
477,4348.9
478,4343.2
479,4339.4
480,4341.3
481,4318.7
482,4330.0
483,4301.6
484,4197.7
485,4246.8
486,4288.4
487,4292.2
488,4290.3
489,4135.3
490,4099.4
491,3825.4
492,3793.2
493,3891.5
494,3893.4
495,4052.2
496,4071.1
497,4057.8
498,4199.6
499,4239.3
500,4124.0
501,4167.5
502,4256.3
503,4244.9
504,4133.4
505,4237.4
506,4263.8
507,4218.5
508,4122.1
509,4201.5
510,4222.3
511,4116.4
512,4131.5
513,4142.9
514,4142.9
515,3919.9
516,4052.2
517,4105.1
518,4052.2
519,4129.7
520,4269.5
521,4280.9
522,4286.5
523,4214.7
524,4358.3
525,4301.6
526,4343.2
527,4246.8
528,4345.1
529,4365.9
530,4330.0
531,4218.5
532,4046.5
533,4080.5
534,4090.0
535,4071.1
536,4025.7
537,3912.3
538,3967.1
539,3972.8
540,3969.0
541,3884.0
542,4021.9
543,4035.2
544,4063.5
545,4073.0
546,4018.1
547,4101.3
548,4103.2
549,4091.9
550,4074.8
551,4001.1
552,4033.3
553,4042.7
554,4035.2
555,4027.6
556,3935.0
557,4044.6
558,4205.3
559,4218.5
560,4082.4
561,4197.7
562,4235.5
563,4210.9
564,4127.8
565,4231.7
566,4190.1
567,4142.9
568,3935.0
569,3969.0
570,3946.3
571,3840.5
572,3865.1
573,3963.3
574,3978.5
575,3969.0
576,3935.0
577,3997.4
578,4042.7
579,3980.3
580,3955.8
581,4040.8
582,4016.3
583,3969.0
584,3974.7
585,4037.0
586,3967.1
587,3889.6
588,3783.8
589,3849.9
590,3874.5
591,3851.8
592,3857.5
593,4055.9
594,4173.1
595,4244.9
596,4256.3
597,4258.2
598,4084.3
599,4209.0
600,4193.9
601,4218.5
602,4173.1
603,4114.5
604,4192.0
605,4173.1
606,4159.9
607,4084.3
608,4016.3
609,4082.4
