hour,load_kw
0,142.5
1,172.5
2,142.5
3,172.5
4,142.5
5,172.5
6,142.5
7,172.5
8,409.7
9,492.3
10,620.0
11,648.4
12,456.9
13,486.1
14,615.3
15,645.3
16,466.1
17,441.9
18,411.9
19,442.7
20,412.7
21,443.4
22,414.2
23,445.0
24,142.5
25,172.5
26,142.5
27,172.5
28,142.5
29,172.5
30,142.5
31,172.5
32,403.4
33,485.3
34,613.8
35,643.0
36,452.2
37,481.4
38,612.2
39,643.0
40,464.5
41,440.3
42,411.1
43,441.9
44,412.7
45,444.2
46,414.2
47,446.6
48,142.5
49,172.5
50,142.5
51,172.5
52,142.5
53,172.5
54,142.5
55,172.5
56,132.5
57,162.5
58,137.5
59,167.5
60,132.5
61,162.5
62,137.5
63,167.5
64,142.5
65,172.5
66,142.5
67,172.5
68,142.5
69,172.5
70,142.5
71,172.5
72,142.5
73,172.5
74,148.9
75,172.5
76,142.5
77,179.1
78,149.2
79,179.4
80,139.5
81,169.5
82,145.0
83,175.0
84,144.5
85,174.7
86,149.7
87,180.2
88,155.2
89,185.2
90,155.2
91,185.0
92,155.2
93,180.2
94,150.0
95,179.4
96,142.5
97,172.5
98,142.5
99,172.5
100,142.5
101,172.5
102,142.5
103,172.5
104,401.1
105,486.1
106,616.9
107,646.1
108,458.4
109,486.1
110,617.7
111,650.0
112,471.6
113,447.3
114,418.1
115,450.5
116,421.3
117,452.8
118,423.6
119,455.2
120,142.5
121,172.5
122,142.5
123,172.5
124,142.5
125,172.5
126,142.5
127,172.5
128,416.7
129,501.7
130,631.7
131,660.9
132,470.9
133,499.4
134,629.4
135,659.4
136,480.2
137,455.9
138,425.9
139,456.7
140,426.7
141,456.7
142,426.7
143,459.8
144,142.5
145,172.5
146,142.5
147,172.5
148,142.5
149,172.5
150,142.5
151,172.5
152,414.4
153,498.6
154,627.0
155,657.8
156,467.0
157,497.0
158,630.9
159,660.9
160,481.7
161,458.3
162,429.8
163,462.2
164,433.0
165,463.8
166,434.5
167,464.5
168,142.5
169,172.5
170,142.5
171,172.5
172,142.5
173,172.5
174,142.5
175,172.5
176,422.2
177,504.8
178,633.3
179,661.7
180,470.9
181,500.2
182,630.2
183,660.9
184,481.7
185,458.3
186,429.1
187,459.1
188,429.1
189,459.8
190,428.3
191,457.5
192,142.5
193,172.5
194,142.5
195,172.5
196,142.5
197,172.5
198,142.5
199,172.5
200,414.4
201,497.0
202,625.5
203,651.6
204,461.6
205,490.8
206,621.6
207,652.3
208,473.1
209,448.1
210,418.9
211,449.7
212,421.3
213,452.0
214,422.8
215,454.4
216,142.5
217,172.5
218,142.5
219,172.5
220,142.5
221,172.5
222,142.5
223,172.5
224,132.5
225,162.5
226,137.5
227,167.5
228,132.5
229,162.5
230,137.5
231,167.5
232,142.5
233,172.5
234,142.5
235,172.5
236,142.5
237,172.5
238,142.5
239,172.5
240,142.5
241,172.5
242,142.5
243,172.5
244,142.5
245,172.5
246,142.5
247,172.5
248,132.5
249,162.5
250,137.5
251,167.5
252,132.5
253,162.5
254,137.5
255,167.5
256,142.5
257,172.5
258,142.5
259,172.5
260,142.5
261,172.5
262,142.5
263,172.5
264,142.5
265,172.5
266,142.5
267,172.5
268,142.5
269,172.5
270,142.5
271,172.5
272,405.0
273,489.2
274,619.2
275,649.2
276,458.4
277,487.7
278,617.7
279,647.7
280,467.7
281,441.9
282,411.9
283,439.5
284,411.1
285,441.1
286,411.9
287,441.9
288,142.5
289,172.5
290,142.5
291,172.5
292,142.5
293,172.5
294,142.5
295,172.5
296,408.9
297,494.7
298,624.7
299,654.7
300,464.7
301,494.7
302,626.3
303,657.8
304,479.4
305,455.2
306,425.9
307,456.7
308,428.3
309,458.3
310,429.1
311,459.8
312,142.5
313,172.5
314,142.5
315,172.5
316,142.5
317,172.5
318,142.5
319,172.5
320,418.3
321,499.4
322,626.3
323,656.3
324,462.3
325,492.3
326,621.6
327,652.3
328,472.3
329,447.3
330,418.1
331,448.1
332,417.3
333,447.3
334,417.3
335,448.1
336,142.5
337,172.5
338,142.5
339,172.5
340,142.5
341,172.5
342,142.5
343,172.5
344,409.7
345,494.7
346,623.1
347,650.8
348,459.2
349,488.4
350,618.4
351,649.2
352,470.8
353,445.8
354,417.3
355,448.1
356,418.1
357,448.1
358,419.7
359,449.7
360,142.5
361,172.5
362,142.5
363,172.5
364,142.5
365,172.5
366,142.5
367,172.5
368,407.3
369,488.4
370,616.1
371,643.8
372,453.8
373,483.0
374,616.1
375,646.1
376,470.0
377,447.3
378,418.9
379,450.5
380,422.0
381,453.6
382,425.2
383,455.9
384,142.5
385,172.5
386,142.5
387,172.5
388,142.5
389,172.5
390,142.5
391,172.5
392,132.5
393,162.5
394,137.5
395,167.5
396,132.5
397,162.5
398,137.5
399,167.5
400,142.5
401,172.5
402,142.5
403,172.5
404,142.5
405,172.5
406,142.5
407,172.5
408,142.5
409,172.5
410,142.5
411,172.5
412,142.5
413,172.5
414,142.5
415,172.5
416,132.5
417,162.5
418,137.5
419,167.5
420,132.5
421,162.5
422,137.5
423,167.5
424,142.5
425,172.5
426,142.5
427,172.5
428,142.5
429,172.5
430,142.5
431,172.5
432,142.5
433,172.5
434,142.5
435,172.5
436,142.5
437,172.5
438,142.5
439,172.5
440,401.9
441,485.3
442,614.5
443,643.0
444,454.5
445,483.0
446,613.8
447,644.5
448,464.5
449,440.3
450,410.3
451,440.3
452,411.1
453,440.3
454,411.1
455,441.1
456,142.5
457,172.5
458,142.5
459,172.5
460,142.5
461,172.5
462,142.5
463,172.5
464,403.4
465,486.9
466,615.3
467,643.8
468,454.5
469,484.5
470,613.8
471,644.5
472,465.3
473,441.1
474,411.1
475,441.9
476,413.4
477,445.0
478,415.0
479,445.8
480,142.5
481,172.5
482,142.5
483,172.5
484,142.5
485,172.5
486,142.5
487,172.5
488,411.3
489,494.7
490,623.9
491,652.3
492,460.0
493,490.0
494,619.2
495,649.2
496,470.0
497,444.2
498,415.8
499,445.0
500,415.0
501,446.6
502,416.6
503,445.8
504,142.5
505,172.5
506,142.5
507,172.5
508,142.5
509,172.5
510,142.5
511,172.5
512,405.0
513,490.8
514,619.2
515,648.4
516,456.1
517,486.1
518,615.3
519,645.3
520,466.1
521,441.9
522,412.7
523,443.4
524,415.0
525,445.8
526,416.6
527,447.3
528,142.5
529,172.5
530,142.5
531,172.5
532,142.5
533,172.5
534,142.5
535,172.5
536,407.3
537,490.8
538,619.2
539,647.7
540,456.1
541,485.3
542,615.3
543,646.1
544,466.9
545,442.7
546,411.9
547,442.7
548,412.7
549,442.7
550,413.4
551,443.4
552,142.5
553,172.5
554,142.5
555,172.5
556,142.5
557,172.5
558,142.5
559,172.5
560,132.5
561,162.5
562,137.5
563,167.5
564,132.5
565,162.5
566,137.5
567,167.5
568,142.5
569,172.5
570,142.5
571,172.5
572,142.5
573,172.5
574,142.5
575,172.5
576,142.5
577,172.5
578,142.5
579,172.5
580,142.5
581,172.5
582,142.5
583,172.5
584,132.5
585,162.5
586,137.5
587,167.5
588,132.5
589,162.5
590,137.5
591,167.5
592,142.5
593,172.5
594,142.5
595,172.5
596,142.5
597,172.5
598,142.5
599,172.5
600,142.5
601,172.5
602,142.5
603,172.5
604,142.5
605,172.5
606,142.5
607,172.5
608,411.3
609,496.3
610,626.3
611,656.3
612,467.8
613,497.8
614,629.4
615,658.6
616,479.4
617,451.3
618,421.3
619,451.3
620,420.5
621,451.3
622,421.3
623,452.8
624,142.5
625,172.5
626,142.5
627,172.5
628,142.5
629,172.5
630,142.5
631,172.5
632,414.4
633,497.0
634,626.3
635,654.7
636,464.7
637,493.1
638,623.1
639,653.9
640,473.9
641,449.7
642,420.5
643,451.3
644,422.8
645,454.4
646,425.2
647,455.9
648,142.5
649,172.5
650,142.5
651,172.5
652,142.5
653,172.5
654,142.5
655,172.5
656,415.2
657,497.8
658,626.3
659,653.9
660,463.1
661,491.6
662,620.0
663,650.8
664,470.8
665,447.3
666,418.1
667,448.9
668,418.9
669,451.3
670,421.3
671,452.8
672,142.5
673,172.5
674,142.5
675,172.5
676,142.5
677,172.5
678,142.5
679,172.5
680,416.7
681,497.8
682,624.7
683,653.1
684,463.1
685,492.3
686,622.3
687,652.3
688,471.6
689,445.8
690,415.8
691,445.8
692,415.8
693,445.8
694,415.8
695,445.8
696,142.5
697,172.5
698,142.5
699,172.5
700,142.5
701,172.5
702,142.5
703,172.5
704,407.3
705,490.8
706,618.4
707,648.4
708,457.7
709,486.9
710,616.1
711,647.7
712,470.0
713,447.3
714,419.7
715,452.8
716,425.2
717,455.9
718,426.7
719,456.7
720,142.5
721,172.5
722,142.5
723,172.5
724,142.5
725,172.5
726,142.5
727,172.5
728,132.5
729,162.5
730,137.5
731,167.5
732,132.5
733,162.5
734,137.5
735,167.5
736,142.5
737,172.5
738,142.5
739,172.5
740,142.5
741,172.5
742,142.5
743,172.5
744,142.5
745,172.5
746,142.5
747,172.5
748,142.5
749,172.5
750,142.5
751,162.5
752,132.5
753,162.5
754,137.5
755,167.5
756,132.5
757,162.5
758,137.5
759,167.5
760,132.5
761,172.5
762,142.5
763,172.5
764,142.5
765,172.5
766,142.5
767,172.5
768,142.5
769,172.5
770,142.5
771,172.5
772,142.5
773,172.5
774,142.5
775,162.5
776,407.3
777,492.3
778,622.3
779,653.9
780,464.7
781,494.7
782,626.3
783,656.3
784,466.3
785,451.3
786,423.6
787,455.2
788,427.5
789,459.1
790,429.8
791,459.8
792,142.5
793,172.5
794,142.5
795,172.5
796,142.5
797,172.5
798,142.5
799,162.5
800,417.5
801,501.7
802,630.9
803,659.4
804,467.8
805,497.0
806,627.0
807,657.0
808,467.0
809,452.8
810,423.6
811,455.2
812,425.9
813,455.9
814,425.2
815,454.4
816,142.5
817,172.5
818,142.5
819,172.5
820,142.5
821,172.5
822,142.5
823,162.5
824,409.7
825,492.3
826,620.8
827,650.0
828,459.2
829,487.7
830,616.9
831,645.3
832,456.1
833,441.9
834,411.9
835,441.1
836,411.9
837,440.3
838,411.1
839,441.9
840,142.5
841,172.5
842,142.5
843,172.5
844,142.5
845,172.5
846,142.5
847,162.5
848,408.1
849,493.9
850,623.9
851,653.9
852,463.9
853,490.8
854,620.8
855,653.1
856,465.5
857,453.6
858,425.9
