hour,load_kw
0,125.0
1,155.0
2,125.0
3,155.0
4,125.0
5,155.0
6,125.0
7,155.0
8,385.3
9,441.4
10,540.0
11,569.1
12,408.1
13,437.7
14,537.2
15,567.2
16,417.7
17,420.6
18,390.6
19,421.1
20,391.1
21,421.6
22,392.0
23,422.5
24,125.0
25,155.0
26,125.0
27,155.0
28,125.0
29,155.0
30,125.0
31,155.0
32,381.6
33,437.2
34,537.9
35,569.0
36,410.2
37,441.3
38,540.2
39,569.0
40,416.7
41,419.7
42,390.2
43,420.6
44,391.1
45,422.0
46,392.0
47,423.4
48,125.0
49,155.0
50,125.0
51,155.0
52,125.0
53,155.0
54,125.0
55,155.0
56,115.0
57,145.0
58,115.0
59,145.0
60,115.0
61,145.0
62,115.0
63,145.0
64,125.0
65,155.0
66,125.0
67,155.0
68,125.0
69,155.0
70,125.0
71,155.0
72,125.0
73,155.0
74,131.4
75,155.0
76,125.0
77,162.9
78,135.6
79,165.8
80,128.5
81,158.5
82,131.6
83,162.9
84,139.9
85,172.8
86,142.8
87,175.8
88,157.1
89,187.1
90,157.1
91,184.3
92,155.8
93,176.9
94,146.7
95,173.5
96,132.8
97,161.5
98,128.9
99,157.6
100,126.3
101,155.0
102,125.0
103,155.0
104,380.2
105,437.7
106,538.1
107,567.7
108,409.1
109,437.7
110,538.6
111,570.0
112,420.9
113,423.9
114,394.4
115,425.8
116,396.3
117,427.2
118,397.7
119,428.6
120,125.0
121,155.0
122,125.0
123,155.0
124,125.0
125,155.0
126,125.0
127,155.0
128,389.5
129,447.0
130,547.0
131,576.6
132,416.6
133,445.6
134,545.6
135,575.6
136,426.1
137,429.1
138,399.1
139,429.5
140,399.5
141,429.5
142,399.5
143,431.4
144,125.0
145,155.0
146,125.0
147,155.0
148,125.0
149,155.0
150,125.0
151,155.0
152,388.1
153,445.2
154,544.2
155,574.7
156,414.2
157,444.2
158,546.6
159,576.6
160,427.0
161,430.5
162,401.4
163,432.8
164,403.3
165,433.8
166,404.2
167,434.2
168,125.0
169,155.0
170,125.0
171,155.0
172,125.0
173,155.0
174,125.0
175,155.0
176,392.8
177,448.9
178,548.0
179,577.0
180,416.6
181,446.1
182,546.1
183,576.6
184,427.0
185,430.5
186,400.9
187,430.9
188,400.9
189,431.4
190,400.5
191,430.0
192,125.0
193,155.0
194,125.0
195,155.0
196,125.0
197,155.0
198,125.0
199,155.0
200,388.1
201,444.2
202,543.3
203,570.9
204,410.9
205,440.5
206,540.9
207,571.4
208,421.9
209,424.4
210,394.8
211,425.3
212,396.3
213,426.7
214,397.2
215,428.1
216,125.0
217,155.0
218,125.0
219,155.0
220,125.0
221,155.0
222,125.0
223,155.0
224,115.0
225,145.0
226,115.0
227,145.0
228,115.0
229,145.0
230,115.0
231,145.0
232,125.0
233,155.0
234,125.0
235,155.0
236,125.0
237,155.0
238,125.0
239,155.0
240,125.0
241,155.0
242,125.0
243,155.0
244,125.0
245,155.0
246,125.0
247,155.0
248,115.0
249,145.0
250,115.0
251,145.0
252,115.0
253,145.0
254,115.0
255,145.0
256,125.0
257,155.0
258,125.0
259,155.0
260,125.0
261,155.0
262,125.0
263,155.0
264,125.0
