hour,load_kw
0,27.4
1,28.6
2,27.4
3,28.6
4,27.4
5,28.6
6,27.4
7,28.6
8,107.3
9,115.8
10,125.9
11,126.6
12,113.0
13,113.9
14,124.5
15,125.7
16,35.4
17,28.6
18,27.4
19,28.6
20,27.4
21,28.6
22,27.4
23,28.6
24,27.4
25,28.6
26,27.4
27,28.6
28,27.4
29,28.6
30,27.4
31,28.6
32,105.4
33,113.7
34,124.0
35,125.0
36,111.6
37,112.6
38,123.6
39,125.0
40,35.4
41,28.6
42,27.4
43,28.6
44,27.4
45,28.6
46,27.4
47,28.6
48,27.4
49,28.6
50,27.4
51,28.6
52,27.4
53,28.6
54,27.4
55,28.6
56,17.4
57,18.6
58,17.4
59,18.6
60,17.4
61,18.6
62,17.4
63,18.6
64,27.4
65,28.6
66,27.4
67,28.6
68,27.4
69,28.6
70,27.4
71,28.6
72,27.4
73,28.6
74,37.0
75,28.6
76,27.4
77,38.4
78,37.5
79,38.9
80,28.0
81,29.2
82,28.7
83,29.9
84,35.4
85,37.0
86,35.8
87,37.7
88,46.5
89,47.7
90,46.5
91,47.3
92,46.5
93,40.1
94,38.7
95,38.9
96,27.4
97,28.6
98,27.4
99,28.6
100,27.4
101,28.6
102,27.4
103,28.6
104,104.7
105,113.9
106,125.0
107,125.9
108,113.4
109,113.9
110,125.2
111,127.1
112,35.4
113,28.6
114,27.4
115,28.6
116,27.4
117,28.6
118,27.4
119,28.6
120,27.4
121,28.6
122,27.4
123,28.6
124,27.4
125,28.6
126,27.4
127,28.6
128,109.4
129,118.6
130,129.4
131,130.4
132,117.2
133,117.9
134,128.7
135,129.9
136,35.4
137,28.6
138,27.4
139,28.6
140,27.4
141,28.6
142,27.4
143,28.6
144,27.4
145,28.6
146,27.4
147,28.6
148,27.4
149,28.6
150,27.4
151,28.6
152,108.7
153,117.7
154,128.0
155,129.4
156,116.0
157,117.2
158,129.2
159,130.4
160,35.4
161,28.6
162,27.4
163,28.6
164,27.4
165,28.6
166,27.4
167,28.6
168,27.4
169,28.6
170,27.4
171,28.6
172,27.4
173,28.6
174,27.4
175,28.6
176,111.1
177,119.6
178,129.9
179,130.6
180,117.2
181,118.1
182,128.9
183,130.4
184,35.4
185,28.6
186,27.4
187,28.6
188,27.4
189,28.6
190,27.4
191,28.6
192,27.4
193,28.6
194,27.4
195,28.6
196,27.4
197,28.6
198,27.4
199,28.6
200,108.7
201,117.2
202,127.5
203,127.6
204,114.4
205,115.3
206,126.4
207,127.8
208,35.4
209,28.6
210,27.4
211,28.6
212,27.4
213,28.6
214,27.4
215,28.6
216,27.4
217,28.6
218,27.4
219,28.6
220,27.4
221,28.6
222,27.4
223,28.6
224,17.4
225,18.6
226,17.4
227,18.6
228,17.4
229,18.6
230,17.4
231,18.6
232,27.4
233,28.6
234,27.4
235,28.6
236,27.4
237,28.6
238,27.4
239,28.6
240,27.4
241,28.6
242,27.4
243,28.6
244,27.4
245,28.6
246,27.4
247,28.6
248,17.4
249,18.6
250,17.4
251,18.6
252,17.4
253,18.6
254,17.4
255,18.6
256,27.4
257,28.6
258,27.4
259,28.6
260,27.4
261,28.6
262,27.4
263,28.6
264,27.4
265,28.6
266,27.4
267,28.6
268,27.4
269,28.6
270,27.4
271,28.6
272,105.9
273,114.9
274,125.7
275,126.9
276,113.4
277,114.4
278,125.2
279,126.4
280,35.4
281,28.6
282,27.4
283,28.6
284,27.4
285,28.6
286,27.4
287,28.6
288,27.4
289,28.6
290,27.4
291,28.6
292,27.4
293,28.6
294,27.4
295,28.6
296,107.1
297,116.5
298,127.3
299,128.5
300,115.3
301,116.5
302,127.8
303,129.4
304,35.4
305,28.6
306,27.4
307,28.6
308,27.4
309,28.6
310,27.4
311,28.6
312,27.4
313,28.6
314,27.4
315,28.6
316,27.4
317,28.6
318,27.4
319,28.6
320,109.9
321,117.9
322,127.8
323,129.0
324,114.6
325,115.8
326,126.4
327,127.8
328,35.4
329,28.6
330,27.4
331,28.6
332,27.4
333,28.6
334,27.4
335,28.6
336,27.4
337,28.6
338,27.4
339,28.6
340,27.4
341,28.6
342,27.4
343,28.6
344,107.3
345,116.5
346,126.8
347,127.3
348,113.7
349,114.6
350,125.4
351,126.9
352,35.4
353,28.6
354,27.4
355,28.6
356,27.4
357,28.6
358,27.4
359,28.6
360,27.4
361,28.6
362,27.4
363,28.6
364,27.4
365,28.6
366,27.4
367,28.6
368,106.6
369,114.6
370,124.7
371,125.2
372,112.0
373,113.0
374,124.7
375,125.9
376,35.4
377,28.6
378,27.4
379,28.6
380,27.4
381,28.6
382,27.4
383,28.6
384,27.4
385,28.6
386,27.4
387,28.6
388,27.4
389,28.6
390,27.4
391,28.6
392,17.4
393,18.6
394,17.4
395,18.6
396,17.4
397,18.6
398,17.4
399,18.6
400,27.4
401,28.6
402,27.4
403,28.6
404,27.4
405,28.6
406,27.4
407,28.6
408,27.4
409,28.6
410,27.4
411,28.6
412,27.4
413,28.6
414,27.4
415,28.6
416,17.4
417,18.6
418,17.4
419,18.6
420,17.4
421,18.6
422,17.4
423,18.6
424,27.4
425,28.6
426,27.4
427,28.6
428,27.4
429,28.6
430,27.4
431,28.6
432,27.4
433,28.6
434,27.4
435,28.6
436,27.4
437,28.6
438,27.4
439,28.6
440,105.0
441,113.7
442,124.3
443,125.0
444,112.3
445,113.0
446,124.0
447,125.5
448,35.4
449,28.6
450,27.4
451,28.6
452,27.4
453,28.6
454,27.4
455,28.6
456,27.4
457,28.6
458,27.4
459,28.6
460,27.4
461,28.6
462,27.4
463,28.6
464,105.4
465,114.2
466,124.5
467,125.2
468,112.3
469,113.5
470,124.0
471,125.5
472,35.4
473,28.6
474,27.4
475,28.6
476,27.4
477,28.6
478,27.4
479,28.6
480,27.4
481,28.6
482,27.4
483,28.6
484,27.4
485,28.6
486,27.4
487,28.6
488,107.8
489,116.5
490,127.1
491,127.8
492,113.9
493,115.1
494,125.7
495,126.9
496,35.4
497,28.6
498,27.4
499,28.6
500,27.4
501,28.6
502,27.4
503,28.6
504,27.4
505,28.6
506,27.4
507,28.6
508,27.4
509,28.6
510,27.4
511,28.6
512,105.9
513,115.3
514,125.7
515,126.6
516,112.7
517,113.9
518,124.5
519,125.7
520,35.4
521,28.6
522,27.4
523,28.6
524,27.4
525,28.6
526,27.4
527,28.6
528,27.4
529,28.6
530,27.4
531,28.6
532,27.4
533,28.6
534,27.4
535,28.6
536,106.6
537,115.3
538,125.7
539,126.4
540,112.7
541,113.7
542,124.5
543,125.9
544,35.4
545,28.6
546,27.4
547,28.6
548,27.4
549,28.6
550,27.4
551,28.6
552,27.4
553,28.6
554,27.4
555,28.6
556,27.4
557,28.6
558,27.4
559,28.6
560,17.4
561,18.6
562,17.4
563,18.6
564,17.4
565,18.6
566,17.4
567,18.6
568,27.4
569,28.6
570,27.4
571,28.6
572,27.4
573,28.6
574,27.4
575,28.6
576,27.4
577,28.6
578,27.4
579,28.6
580,27.4
581,28.6
582,27.4
583,28.6
584,17.4
585,18.6
586,17.4
587,18.6
588,17.4
589,18.6
590,17.4
591,18.6
592,27.4
593,28.6
594,27.4
595,28.6
596,27.4
597,28.6
598,27.4
599,28.6
600,27.4
601,28.6
602,27.4
603,28.6
604,27.4
605,28.6
606,27.4
607,28.6
608,107.8
609,117.0
610,127.8
611,129.0
612,116.2
613,117.4
614,128.7
615,129.7
616,35.4
617,28.6
618,27.4
619,28.6
620,27.4
621,28.6
622,27.4
623,28.6
624,27.4
625,28.6
626,27.4
627,28.6
628,27.4
629,28.6
630,27.4
631,28.6
632,108.7
633,117.2
634,127.8
635,128.5
636,115.3
637,116.0
638,126.8
639,128.3
640,35.4
641,28.6
642,27.4
643,28.6
644,27.4
645,28.6
646,27.4
647,28.6
648,27.4
649,28.6
650,27.4
651,28.6
652,27.4
653,28.6
654,27.4
655,28.6
656,108.9
657,117.4
658,127.8
659,128.3
660,114.8
661,115.6
662,125.9
663,127.3
664,35.4
665,28.6
666,27.4
667,28.6
668,27.4
669,28.6
670,27.4
671,28.6
672,27.4
673,28.6
674,27.4
675,28.6
676,27.4
677,28.6
678,27.4
679,28.6
680,109.4
681,117.4
682,127.3
683,128.0
684,114.8
685,115.8
686,126.6
687,127.8
688,35.4
689,28.6
690,27.4
691,28.6
692,27.4
693,28.6
694,27.4
695,28.6
696,27.4
697,28.6
698,27.4
699,28.6
700,27.4
701,28.6
702,27.4
703,28.6
704,106.6
705,115.3
706,125.4
707,126.6
708,113.2
709,114.2
710,124.7
711,126.4
712,35.4
713,28.6
714,27.4
715,28.6
716,27.4
717,28.6
718,27.4
719,28.6
720,27.4
721,28.6
722,27.4
723,28.6
724,27.4
725,28.6
726,27.4
727,28.6
728,17.4
729,18.6
730,17.4
731,18.6
732,17.4
733,18.6
734,17.4
735,18.6
736,27.4
737,28.6
738,27.4
739,28.6
740,27.4
741,28.6
742,27.4
743,28.6
744,27.4
745,28.6
746,27.4
747,28.6
748,27.4
749,28.6
750,27.4
751,18.6
752,17.4
