hour,load_kw
0,1271.1
1,1361.1
2,1273.4
3,1361.1
4,1271.1
5,1361.1
6,1275.8
7,1365.8
8,1189.1
9,1334.5
10,1622.5
11,1707.8
12,1228.1
13,1315.8
14,1608.4
15,1698.4
16,1300.8
17,1330.6
18,1240.6
19,1333.0
20,1243.0
21,1335.3
22,1247.7
23,1340.0
24,1250.0
25,1342.3
26,1252.3
27,1342.3
28,1252.3
29,1342.3
30,1252.3
31,1340.0
32,1170.3
33,1313.4
34,1603.8
35,1691.4
36,1214.1
37,1302.5
38,1599.1
39,1691.4
40,1296.1
41,1325.9
42,1238.3
43,1330.6
44,1243.0
45,1337.7
46,1247.7
47,1344.7
48,1252.3
49,1351.7
50,1252.3
51,1344.7
52,1254.7
53,1349.4
54,1264.1
55,1340.0
56,1170.3
57,1258.0
58,1475.6
59,1565.6
60,1165.6
61,1255.6
62,1482.7
63,1575.0
64,1247.7
65,1330.6
66,1240.6
67,1330.6
68,1238.3
69,1330.6
70,1235.9
71,1325.9
72,1235.9
73,1325.9
74,1412.8
75,1325.9
76,1235.9
77,1504.9
78,1414.7
79,1509.2
80,1347.1
81,1437.1
82,1670.6
83,1760.6
84,1486.0
85,1582.7
86,1802.7
87,1906.2
88,1581.2
89,1671.2
90,1581.2
91,1664.4
92,1581.2
93,1530.0
94,1435.6
95,1507.6
96,1225.0
97,1315.0
98,1226.6
99,1318.9
100,1231.3
101,1323.6
102,1235.9
103,1328.3
104,1163.3
105,1315.8
106,1613.1
107,1700.8
108,1232.8
109,1315.8
110,1615.5
111,1712.5
112,1317.2
113,1347.0
114,1259.4
115,1356.4
116,1268.8
117,1363.4
118,1275.8
119,1370.5
120,1280.5
121,1372.8
122,1282.8
123,1372.8
124,1282.8
125,1372.8
126,1282.8
127,1372.8
128,1210.2
129,1362.7
130,1657.7
131,1745.3
132,1270.3
133,1355.6
134,1650.6
135,1740.6
136,1343.0
137,1372.8
138,1282.8
139,1375.2
140,1285.2
141,1375.2
142,1285.2
143,1384.5
144,1287.5
145,1377.5
146,1285.2
147,1375.2
148,1282.8
149,1375.2
150,1282.8
151,1370.5
152,1203.1
153,1353.3
154,1643.6
155,1735.9
156,1258.6
157,1348.6
158,1655.3
159,1745.3
160,1347.7
161,1379.8
162,1294.5
163,1391.6
164,1303.9
165,1396.3
166,1308.6
167,1398.6
168,1310.9
169,1400.9
170,1310.9
171,1403.3
172,1310.9
173,1400.9
174,1310.9
175,1398.6
176,1226.6
177,1372.0
178,1662.3
179,1747.7
180,1270.3
181,1358.0
182,1653.0
183,1745.3
184,1347.7
185,1379.8
186,1292.2
187,1382.2
188,1292.2
189,1384.5
190,1289.8
191,1377.5
192,1285.2
193,1372.8
194,1280.5
195,1368.1
196,1273.4
197,1363.4
198,1268.8
199,1368.1
200,1203.1
201,1348.6
202,1638.9
203,1717.2
204,1242.2
205,1329.8
206,1627.2
207,1719.5
208,1321.9
209,1349.4
210,1261.7
211,1354.1
212,1268.8
213,1361.1
214,1273.4
215,1368.1
216,1280.5
217,1370.5
218,1285.2
219,1377.5
220,1289.8
221,1379.8
222,1292.2
223,1382.2
224,1214.8
225,1300.2
226,1517.8
227,1605.5
228,1203.1
229,1290.8
230,1508.4
231,1600.8
232,1280.5
233,1372.8
234,1285.2
235,1377.5
236,1287.5
237,1379.8
238,1292.2
239,1382.2
240,1289.8
241,1379.8
242,1287.5
243,1377.5
244,1287.5
245,1375.2
246,1287.5
247,1377.5
248,1200.8
249,1286.1
250,1501.4
251,1582.0
252,1177.3
253,1255.6
254,1475.6
255,1568.0
256,1245.3
257,1335.3
258,1245.3
259,1335.3
260,1247.7
261,1340.0
262,1247.7
263,1335.3
264,1247.7
265,1335.3
266,1243.0
267,1337.7
268,1247.7
269,1335.3
270,1247.7
271,1337.7
272,1175.0
273,1325.2
274,1620.2
275,1710.2
276,1232.8
277,1320.5
278,1615.5
279,1705.5
280,1305.5
281,1330.6
282,1240.6
283,1323.6
284,1238.3
285,1328.3
286,1240.6
287,1330.6
288,1240.6
289,1333.0
290,1245.3
291,1335.3
292,1247.7
293,1344.7
294,1261.7
295,1354.1
296,1186.7
297,1341.6
298,1636.6
299,1726.6
300,1251.6
301,1341.6
302,1641.3
303,1735.9
304,1340.6
305,1370.5
306,1282.8
307,1375.2
308,1289.8
309,1379.8
310,1292.2
311,1384.5
312,1294.5
313,1384.5
314,1294.5
315,1384.5
316,1294.5
317,1384.5
318,1294.5
319,1379.8
320,1214.8
321,1355.6
322,1641.3
323,1731.3
324,1244.5
325,1334.5
326,1627.2
327,1719.5
328,1319.5
329,1347.0
330,1259.4
331,1349.4
332,1257.0
333,1347.0
334,1257.0
335,1349.4
336,1261.7
337,1351.7
338,1266.4
339,1354.1
340,1261.7
341,1354.1
342,1264.1
343,1354.1
344,1189.1
345,1341.6
346,1631.9
347,1714.8
348,1235.2
349,1322.8
350,1617.8
351,1710.2
352,1314.8
353,1342.3
354,1257.0
355,1349.4
356,1259.4
357,1349.4
358,1264.1
359,1354.1
360,1264.1
361,1354.1
362,1264.1
363,1351.7
364,1264.1
365,1354.1
366,1264.1
367,1349.4
368,1182.0
369,1322.8
370,1610.8
371,1693.8
372,1218.8
373,1306.4
374,1610.8
375,1700.8
376,1312.5
377,1347.0
378,1261.7
379,1356.4
380,1271.1
381,1365.8
382,1280.5
383,1372.8
384,1285.2
385,1375.2
386,1287.5
387,1377.5
388,1289.8
389,1379.8
390,1289.8
391,1377.5
392,1210.2
393,1293.1
394,1508.4
395,1596.1
396,1191.4
397,1279.1
398,1494.4
399,1584.4
400,1264.1
401,1351.7
402,1264.1
403,1354.1
404,1266.4
405,1354.1
406,1264.1
407,1354.1
408,1264.1
409,1358.8
410,1271.1
411,1361.1
412,1261.7
413,1349.4
414,1261.7
415,1351.7
416,1182.0
417,1272.0
418,1487.3
419,1572.7
420,1172.7
421,1258.0
422,1478.0
423,1565.6
424,1240.6
425,1325.9
426,1238.3
427,1325.9
428,1240.6
429,1325.9
430,1238.3
431,1330.6
432,1243.0
433,1333.0
434,1243.0
435,1333.0
436,1243.0
437,1335.3
438,1245.3
439,1333.0
440,1165.6
441,1313.4
442,1606.1
443,1691.4
444,1221.1
445,1306.4
446,1603.8
447,1696.1
448,1296.1
449,1325.9
450,1235.9
451,1325.9
452,1238.3
453,1325.9
454,1238.3
455,1328.3
456,1238.3
457,1328.3
458,1240.6
459,1335.3
460,1247.7
