hour,load_kw
0,365.0
1,395.0
2,365.0
3,395.0
4,365.0
5,395.0
6,365.0
7,395.0
8,1079.5
9,1133.5
10,1745.0
11,1772.7
12,1095.3
13,1124.1
14,1738.0
15,1768.0
16,1169.1
17,1172.8
18,1142.8
19,1174.0
20,1144.0
21,1175.2
22,1146.3
23,1177.5
24,365.0
25,395.0
26,365.0
27,395.0
28,365.0
29,395.0
30,365.0
31,395.0
32,1070.2
33,1123.0
34,1737.8
35,1768.8
36,1094.7
37,1125.7
38,1739.7
39,1768.8
40,1166.8
41,1170.5
42,1141.6
43,1172.8
44,1144.0
45,1176.3
46,1146.3
47,1179.8
48,365.0
49,395.0
50,365.0
51,395.0
52,365.0
53,395.0
54,365.0
55,395.0
56,290.0
57,320.0
58,300.0
59,330.0
60,290.0
61,320.0
62,300.0
63,330.0
64,365.0
65,395.0
66,365.0
67,395.0
68,365.0
69,395.0
70,365.0
71,395.0
72,365.0
73,395.0
74,390.6
75,395.0
76,365.0
77,423.0
78,397.1
79,427.7
80,326.8
81,356.8
82,342.1
83,373.9
84,355.2
85,389.6
86,369.6
87,405.0
88,441.7
89,471.7
90,441.7
91,467.3
92,440.0
93,444.7
94,414.0
95,438.0
96,375.3
97,403.6
98,370.2
99,398.4
100,366.7
101,395.0
102,365.0
103,395.0
104,1066.6
105,1124.1
106,1740.3
107,1769.1
108,1097.7
109,1124.1
110,1741.5
111,1775.0
112,1177.3
113,1181.0
114,1152.2
115,1185.7
116,1156.9
117,1189.2
118,1160.4
119,1192.7
120,365.0
121,395.0
122,365.0
123,395.0
124,365.0
125,395.0
126,365.0
127,395.0
128,1090.1
129,1147.6
130,1762.6
131,1791.4
132,1116.4
133,1144.1
134,1759.1
135,1789.1
136,1190.2
137,1193.9
138,1163.9
139,1195.1
140,1165.1
141,1195.1
142,1165.1
143,1199.8
144,365.0
145,395.0
146,365.0
147,395.0
148,365.0
149,395.0
150,365.0
151,395.0
152,1086.6
153,1142.9
154,1755.5
155,1786.7
156,1110.5
157,1140.5
158,1761.4
159,1791.4
160,1192.6
161,1197.4
162,1169.8
163,1203.3
164,1174.5
165,1205.6
166,1176.8
167,1206.8
168,365.0
169,395.0
170,365.0
171,395.0
172,365.0
173,395.0
174,365.0
175,395.0
176,1098.3
177,1152.3
178,1764.9
179,1792.6
180,1116.4
181,1145.2
182,1760.2
183,1791.4
184,1192.6
185,1197.4
186,1168.6
187,1198.6
188,1168.6
189,1199.8
190,1167.4
191,1196.3
192,365.0
193,395.0
194,365.0
195,395.0
196,365.0
197,395.0
198,365.0
199,395.0
200,1086.6
201,1140.5
202,1753.2
203,1777.3
204,1102.3
205,1131.2
206,1747.3
207,1778.5
208,1179.7
209,1182.2
210,1153.4
211,1184.5
212,1156.9
213,1188.0
214,1159.2
215,1191.6
216,365.0
217,395.0
218,365.0
219,395.0
220,365.0
221,395.0
222,365.0
223,395.0
224,290.0
225,320.0
226,300.0
227,330.0
228,290.0
229,320.0
230,300.0
231,330.0
232,365.0
233,395.0
234,365.0
235,395.0
236,365.0
237,395.0
238,365.0
239,395.0
240,365.0
241,395.0
242,365.0
243,395.0
244,365.0
245,395.0
246,365.0
247,395.0
248,290.0
249,320.0
250,300.0
251,330.0
252,290.0
253,320.0
254,300.0
255,330.0
256,365.0
257,395.0
258,365.0
259,395.0
260,365.0
261,395.0
262,365.0
263,395.0
264,365.0
265,395.0
266,365.0
267,395.0
268,365.0
269,395.0
270,365.0
271,395.0
272,1072.5
273,1128.8
274,1743.8
275,1773.8
276,1097.7
277,1126.5
278,1741.5
279,1771.5
280,1171.5
281,1172.8
282,1142.8
283,1169.3
284,1141.6
285,1171.6
286,1142.8
287,1172.8
288,365.0
289,395.0
290,365.0
291,395.0
292,365.0
293,395.0
294,365.0
295,395.0
296,1078.4
297,1137.0
298,1752.0
299,1782.0
300,1107.0
301,1137.0
302,1754.4
303,1786.7
304,1189.1
305,1192.7
306,1163.9
307,1195.1
308,1167.4
309,1197.4
310,1168.6
311,1199.8
312,365.0
313,395.0
314,365.0
315,395.0
316,365.0
317,395.0
318,365.0
319,395.0
320,1092.4
321,1144.1
322,1754.4
323,1784.4
324,1103.5
325,1133.5
326,1747.3
327,1778.5
328,1178.5
329,1181.0
330,1152.2
331,1182.2
332,1151.0
333,1181.0
334,1151.0
335,1182.2
336,365.0
337,395.0
338,365.0
339,395.0
340,365.0
341,395.0
342,365.0
343,395.0
344,1079.5
345,1137.0
346,1749.7
347,1776.2
348,1098.8
349,1127.7
350,1742.7
351,1773.8
352,1176.2
353,1178.7
354,1151.0
355,1182.2
356,1152.2
357,1182.2
358,1154.5
359,1184.5
360,365.0
361,395.0
362,365.0
363,395.0
364,365.0
365,395.0
366,365.0
367,395.0
368,1076.0
369,1127.7
370,1739.1
371,1767.8
372,1092.8
373,1123.8
374,1739.1
375,1769.1
376,1175.0
377,1181.0
378,1153.4
379,1185.7
380,1158.0
381,1190.4
382,1162.7
383,1193.9
384,365.0
385,395.0
386,365.0
387,395.0
388,365.0
389,395.0
390,365.0
391,395.0
392,290.0
393,320.0
394,300.0
395,330.0
396,290.0
397,320.0
398,300.0
399,330.0
400,365.0
401,395.0
402,365.0
403,395.0
404,365.0
405,395.0
406,365.0
407,395.0
408,365.0
409,395.0
410,365.0
411,395.0
412,365.0
413,395.0
414,365.0
415,395.0
416,290.0
417,320.0
418,300.0
419,330.0
420,290.0
421,320.0
422,300.0
423,330.0
424,365.0
425,395.0
426,365.0
427,395.0
428,365.0
429,395.0
430,365.0
431,395.0
432,365.0
433,395.0
434,365.0
435,395.0
436,365.0
437,395.0
438,365.0
439,395.0
440,1067.8
441,1123.0
442,1736.8
443,1768.8
444,1091.8
445,1123.8
446,1737.8
447,1766.8
448,1166.8
449,1170.5
450,1140.5
451,1170.5
452,1141.6
453,1170.5
454,1141.6
455,1171.6
456,365.0
457,395.0
458,365.0
459,395.0
460,365.0
461,395.0
462,365.0
463,395.0
464,1070.2
465,1125.3
466,1738.0
467,1767.8
468,1091.8
469,1121.8
470,1737.8
471,1766.8
472,1168.0
473,1171.6
474,1141.6
475,1172.8
476,1145.2
477,1177.5
478,1147.5
479,1178.7
480,365.0
481,395.0
482,365.0
483,395.0
484,365.0
485,395.0
486,365.0
487,395.0
488,1081.9
489,1137.0
490,1750.9
491,1778.5
492,1100.0
493,1130.0
494,1743.8
495,1773.8
496,1175.0
497,1176.3
498,1148.7
499,1177.5
500,1147.5
501,1179.8
502,1149.8
503,1178.7
504,365.0
505,395.0
506,365.0
507,395.0
508,365.0
509,395.0
510,365.0
511,395.0
512,1072.5
513,1131.2
514,1743.8
515,1772.7
516,1094.1
517,1124.1
518,1738.0
519,1768.0
520,1169.1
521,1172.8
522,1144.0
523,1175.2
524,1147.5
525,1178.7
526,1149.8
527,1181.0
528,365.0
529,395.0
530,365.0
531,395.0
532,365.0
533,395.0
534,365.0
535,395.0
536,1076.0
537,1131.2
538,1743.8
539,1771.5
540,1094.1
541,1123.0
542,1738.0
543,1769.1
544,1170.3
545,1174.0
546,1142.8
547,1174.0
548,1144.0
549,1174.0
550,1145.2
551,1175.2
552,365.0
553,395.0
554,365.0
555,395.0
556,365.0
557,395.0
558,365.0
559,395.0
560,290.0
561,320.0
562,300.0
563,330.0
564,290.0
565,320.0
566,300.0
567,330.0
568,365.0
569,395.0
570,365.0
571,395.0
572,365.0
573,395.0
574,365.0
575,395.0
576,365.0
577,395.0
578,365.0
579,395.0
580,365.0
581,395.0
582,365.0
583,395.0
584,290.0
585,320.0
586,300.0
587,331.7
588,293.4
589,323.4
590,303.4
591,331.7
592,365.0
593,395.0
594,365.0
595,395.0
596,365.0
597,395.0
598,365.0
599,395.0
600,365.0
601,395.0
602,365.0
603,395.0
604,365.0
605,395.0
606,365.0
607,395.0
608,1081.9
609,1139.4
610,1754.4
611,1784.4
612,1111.7
613,1141.7
614,1759.1
615,1787.9
616,1189.1
617,1186.9
618,1156.9
619,1186.9
620,1155.7
621,1186.9
622,1156.9
623,1189.2
624,365.0
625,395.0
626,365.0
627,395.0
628,365.0
629,395.0
630,365.0
631,395.0
632,1086.6
633,1140.5
634,1754.4
635,1782.0
636,1107.0
637,1134.7
638,1749.7
639,1780.9
640,1180.9
641,1184.5
642,1155.7
643,1186.9
644,1159.2
645,1191.6
646,1162.7
647,1193.9
648,365.0
649,395.0
650,365.0
651,395.0
652,365.0
653,395.0
654,365.0
655,395.0
656,1087.7
657,1141.7
658,1754.4
659,1780.9
660,1104.7
661,1132.3
662,1745.0
663,1776.2
664,1176.2
665,1181.0
666,1152.2
667,1183.4
668,1153.4
669,1186.9
670,1156.9
671,1189.2
672,365.0
673,395.0
674,365.0
675,395.0
676,365.0
677,395.0
678,365.0
679,395.0
680,1090.1
681,1141.7
682,1752.0
683,1779.7
684,1104.7
685,1133.5
686,1748.5
687,1778.5
688,1177.3
689,1178.7
690,1148.7
691,1178.7
692,1148.7
693,1178.7
694,1148.7
695,1178.7
696,365.0
