hour,load_kw
0,33.5
1,36.5
2,33.5
3,36.5
4,33.5
5,36.5
6,33.5
7,36.5
8,84.4
9,92.7
10,98.3
11,100.6
12,87.5
13,90.2
14,96.4
15,99.4
16,39.8
17,36.5
18,33.5
19,36.5
20,33.5
21,36.5
22,33.5
23,36.5
24,33.5
25,36.5
26,33.5
27,36.5
28,33.5
29,36.5
30,33.5
31,36.5
32,81.9
33,89.9
34,95.8
35,98.4
36,85.6
37,88.3
38,95.1
39,98.4
40,39.8
41,36.5
42,33.5
43,36.5
44,33.5
45,36.5
46,33.5
47,36.5
48,33.5
49,36.5
50,33.5
51,36.5
52,33.5
53,36.5
54,33.5
55,36.5
56,23.5
57,26.5
58,23.5
59,26.5
60,23.5
61,26.5
62,23.5
63,26.5
64,33.5
65,36.5
66,33.5
67,36.5
68,33.5
69,36.5
70,33.5
71,36.5
72,33.5
73,36.5
74,36.1
75,36.5
76,33.5
77,39.1
78,36.2
79,39.3
80,26.3
81,29.3
82,26.5
83,29.5
84,28.3
85,31.4
86,28.4
87,31.6
88,38.6
89,41.6
90,38.6
91,41.5
92,38.6
93,39.6
94,36.5
95,39.3
96,33.5
97,36.5
98,33.5
99,36.5
100,33.5
101,36.5
102,33.5
103,36.5
104,80.9
105,90.2
106,97.0
107,99.7
108,88.1
109,90.2
110,97.3
111,101.3
112,39.8
113,36.5
114,33.5
115,36.5
116,33.5
117,36.5
118,33.5
119,36.5
120,33.5
121,36.5
122,33.5
123,36.5
124,33.5
125,36.5
126,33.5
127,36.5
128,87.2
129,96.4
130,102.9
131,105.6
132,93.1
133,95.5
134,102.0
135,105.0
136,39.8
137,36.5
138,33.5
139,36.5
140,33.5
141,36.5
142,33.5
143,36.5
144,33.5
145,36.5
146,33.5
147,36.5
148,33.5
149,36.5
150,33.5
151,36.5
152,86.3
153,95.2
154,101.1
155,104.4
156,91.6
157,94.6
158,102.6
159,105.6
160,39.8
161,36.5
162,33.5
163,36.5
164,33.5
165,36.5
166,33.5
167,36.5
168,33.5
169,36.5
170,33.5
171,36.5
172,33.5
173,36.5
174,33.5
175,36.5
176,89.4
177,97.7
178,103.6
179,105.9
180,93.1
181,95.8
182,102.3
183,105.6
184,39.8
185,36.5
186,33.5
187,36.5
188,33.5
189,36.5
190,33.5
191,36.5
192,33.5
193,36.5
194,33.5
195,36.5
196,33.5
197,36.5
198,33.5
199,36.5
200,86.3
201,94.6
202,100.4
203,101.9
204,89.4
205,92.1
206,98.9
207,102.2
208,39.8
209,36.5
210,33.5
211,36.5
212,33.5
213,36.5
214,33.5
215,36.5
216,33.5
217,36.5
218,33.5
219,36.5
220,33.5
221,36.5
222,33.5
223,36.5
224,23.5
225,26.5
226,23.5
227,26.5
228,23.5
229,26.5
230,23.5
231,26.5
232,33.5
233,36.5
234,33.5
235,36.5
236,33.5
237,36.5
238,33.5
239,36.5
240,33.5
241,36.5
242,33.5
243,36.5
244,33.5
245,36.5
246,33.5
247,36.5
248,23.5
249,26.5
250,23.5
251,26.5
252,23.5
253,26.5
254,23.5
255,26.5
256,33.5
257,36.5
258,33.5
259,36.5
260,33.5
261,36.5
262,33.5
263,36.5
264,33.5
265,36.5
266,33.5
267,36.5
268,33.5
269,36.5
270,33.5
271,36.5
272,82.5
273,91.4
274,97.9
275,100.9
276,88.1
277,90.8
278,97.3
279,100.3
280,39.8
281,36.5
282,33.5
283,36.5
284,33.5
285,36.5
286,33.5
287,36.5
288,33.5
289,36.5
290,33.5
291,36.5
292,33.5
293,36.5
294,33.5
295,36.5
296,84.1
297,93.6
298,100.1
299,103.1
300,90.6
301,93.6
302,100.8
303,104.4
304,39.8
305,36.5
306,33.5
307,36.5
308,33.5
309,36.5
310,33.5
311,36.5
312,33.5
313,36.5
314,33.5
315,36.5
316,33.5
317,36.5
318,33.5
319,36.5
320,87.8
321,95.5
322,100.8
323,103.8
324,89.7
325,92.7
326,98.9
327,102.2
