hour,load_kw
0,47.69
1,45.34
2,44.64
3,42.04
4,68.04
5,77.07
6,168.3
7,161.47
8,239.66
9,238.47
10,256.31
11,268.29
12,284.08
13,290.24
14,291.71
15,285.48
16,250.93
17,197.3
18,145.64
19,135.23
20,107.11
21,117.65
22,91.79
23,82.19
24,76.57
25,72.59
26,68.19
27,63.88
28,183.2
29,190.1
30,440.45
31,565.08
32,598.13
33,634.42
34,653.57
35,667.08
36,640.07
37,682.34
38,682.43
39,680.32
40,686.64
41,686.39
42,382.58
43,371.9
44,214.43
45,175.38
46,81.42
47,87.67
48,74.91
49,75.17
50,72.5
51,68.05
52,193.26
53,212.85
54,480.1
55,621.15
56,650.68
57,668.2
58,667.38
59,668.99
60,631.51
61,662.38
62,662.79
63,663.96
64,680.27
65,693.13
66,404.17
67,402.32
68,253.0
69,213.72
70,112.35
71,109.9
72,94.08
73,94.31
74,94.58
75,93.45
76,211.76
77,221.15
78,477.79
79,603.73
80,638.88
81,675.6
82,686.87
83,696.26
84,673.32
85,713.25
86,718.17
87,718.66
88,726.31
89,726.46
90,407.32
91,384.23
92,223.87
93,178.03
94,80.46
95,85.11
96,66.76
97,65.72
98,63.4
99,62.07
100,182.0
101,186.78
102,442.09
103,573.07
104,612.67
105,651.81
106,666.43
107,677.29
108,654.04
109,694.22
110,699.37
111,702.03
112,709.58
113,708.24
114,390.27
115,370.43
116,209.43
117,170.56
118,66.7
119,62.78
120,47.6
121,46.63
122,43.89
123,41.48
124,164.29
125,169.71
126,425.03
127,551.24
128,591.91
129,643.94
130,671.12
131,686.08
132,664.6
133,709.88
134,720.78
135,727.66
136,740.43
137,743.89
138,414.4
139,386.72
140,225.43
141,181.79
142,75.96
143,75.32
144,57.68
145,53.01
146,52.56
147,49.68
148,74.38
149,74.07
150,156.85
151,285.38
152,302.81
153,433.7
154,455.72
155,460.79
156,433.21
157,413.32
158,400.68
159,305.98
160,317.47
161,284.3
162,233.36
163,231.8
164,106.96
165,104.24
166,81.37
167,82.74
168,50.85
169,51.8
170,58.34
171,58.11
172,84.23
173,86.84
174,178.17
175,170.68
176,243.74
177,236.77
178,232.56
179,231.36
180,228.63
181,222.84
182,229.72
183,234.97
184,220.82
185,178.63
186,130.34
187,118.7
188,82.32
189,75.97
190,43.93
191,41.27
192,42.24
193,42.54
194,40.48
195,38.48
196,157.68
197,166.06
198,419.62
199,546.76
200,581.88
201,617.52
202,630.03
203,636.74
204,604.44
205,638.11
206,639.39
207,640.36
208,652.79
209,658.69
210,358.81
211,350.76
212,196.87
213,159.31
214,56.69
215,54.34
216,39.69
217,38.16
218,36.44
219,34.62
220,157.95
221,165.49
222,420.04
223,546.19
224,581.42
225,617.88
226,635.06
227,650.27
228,626.61
229,665.63
230,666.52
231,664.81
232,677.22
233,680.1
234,370.6
235,354.61
236,196.12
237,161.2
238,64.68
239,66.67
240,55.77
241,55.66
242,50.74
243,48.28
244,170.13
245,178.33
246,433.07
247,563.46
248,604.05
249,634.91
250,638.88
251,642.18
252,612.49
253,655.79
254,668.87
255,679.1
256,696.84
257,715.32
258,416.7
259,391.62
260,219.75
261,177.65
262,78.06
263,74.62
264,58.35
265,55.55
266,52.35
267,48.64
268,165.9
269,174.43
270,433.43
271,567.59
272,620.95
273,683.8
274,708.87
275,717.23
276,680.85
277,715.79
278,718.37
279,719.14
280,735.86
281,739.44
282,408.45
283,381.84
284,220.24
285,179.59
286,69.36
287,68.13
288,59.15
289,54.26
290,50.12
291,44.68
292,167.06
293,179.19
294,430.42
295,554.64
296,595.07
297,646.57
298,688.23
299,713.91
300,674.4
301,697.79
302,687.31
303,678.07
304,685.9
305,696.71
306,388.29
307,371.94
308,212.7
309,176.61
310,76.08
311,78.23
312,67.95
313,69.18
314,69.61
315,69.12
316,138.37
317,163.77
318,246.45
319,373.32
320,380.89
321,483.84
322,490.5
323,499.53
324,472.63
325,468.93
326,471.42
327,388.92
328,399.97
329,373.64
330,313.78
331,298.8
332,170.0
333,155.05
334,115.13
335,109.47
336,80.04
337,78.79
338,78.56
339,73.66
340,98.09
341,99.64
342,180.52
343,177.33
344,260.56
345,244.75
346,248.86
347,256.16
348,262.12
349,265.88
350,271.1
351,275.35
352,254.01
353,213.71
354,163.88
355,149.2
356,111.69
357,107.1
358,78.35
359,81.65
360,71.76
361,68.74
362,69.34
363,68.82
364,94.09
365,92.67
366,174.28
367,165.42
368,254.93
369,278.07
370,283.27
371,285.84
372,290.65
373,263.77
374,251.8
375,251.74
376,236.59
377,200.06
378,145.62
379,124.1
380,90.89
381,91.54
382,61.48
383,61.03
384,69.7
385,79.51
386,81.98
387,90.01
388,216.05
389,221.1
390,465.4
391,581.07
392,606.06
393,637.79
394,658.13
395,673.33
396,645.48
397,683.28
398,682.26
399,676.71
400,683.18
401,690.74
402,387.04
403,373.35
404,215.12
405,173.8
406,67.31
407,65.25
408,51.84
409,48.79
410,47.03
411,44.53
412,165.92
413,173.63
414,429.35
415,555.15
416,587.92
417,621.0
418,632.85
419,642.14
420,613.35
421,649.57
422,653.76
423,655.44
424,661.37
425,669.76
426,364.99
427,354.44
428,198.49
429,160.55
430,59.43
431,58.27
432,44.2
433,43.23
434,42.06
435,41.24
436,162.66
437,169.82
438,425.32
439,552.46
440,586.39
441,621.39
442,636.12
443,650.91
444,632.87
445,686.13
446,699.62
447,706.3
448,715.15
449,723.13
450,401.59
451,380.91
452,217.53
453,173.63
454,71.49
455,77.43
456,62.63
457,55.44
458,53.27
459,52.96
460,180.29
461,194.83
462,459.41
463,598.75
464,640.44
465,681.71
466,678.8
467,665.41
468,624.98
469,659.6
470,663.28
471,666.01
472,678.95
473,692.17
474,374.72
475,352.28
476,194.09
477,157.94
478,54.96
479,51.51
480,36.38
481,33.94
482,33.57
483,33.06
484,62.52
485,66.89
486,152.81
487,279.5
488,286.38
489,404.44
490,426.86
491,441.6
492,427.95
493,417.82
494,408.5
495,309.0
496,313.31
497,288.14
498,232.41
499,224.51
500,103.6
501,107.03
502,81.16
503,85.0
504,61.09
505,54.72
506,46.54
507,45.32
508,72.9
509,75.0
510,163.17
511,158.42
512,233.67
513,228.34
514,233.54
515,232.52
516,235.96
517,227.08
518,221.08
519,220.76
520,201.05
521,163.52
522,108.16
523,98.85
524,73.39
525,72.39
526,37.8
527,36.87
528,39.26
529,38.51
530,18.93
531,0.0
532,123.38
533,124.87
534,383.45
535,511.51
536,543.44
537,623.95
538,628.97
539,629.69
540,591.43
541,623.24
542,625.08
543,626.96
544,639.62
545,653.02
546,352.0
547,344.03
548,192.04
549,160.13
550,59.82
551,59.41
552,47.63
553,46.95
554,46.33
555,43.71
556,166.43
557,174.36
558,427.58
559,552.52
560,586.3
561,618.17
562,627.31
563,631.8
564,598.54
565,638.22
566,643.11
567,643.01
568,652.16
569,664.82
570,355.11
571,338.98
572,185.19
573,148.1
574,46.71
575,47.73
576,36.47
577,36.8
578,36.45
579,35.53
580,154.67
581,161.18
582,416.56
