hour,load_kw
0,80.34
1,79.65
2,32.43
3,31.46
4,43.87
5,67.18
6,226.24
7,356.41
8,394.67
9,284.83
10,188.58
11,175.01
12,174.48
13,133.24
14,129.49
15,122.76
16,189.22
17,256.39
18,422.76
19,458.11
20,508.36
21,446.66
22,332.28
23,159.71
24,48.94
25,27.19
26,4.74
27,3.88
28,15.99
29,81.58
30,295.97
31,393.25
32,282.8
33,235.48
34,151.26
35,163.53
36,156.75
37,131.03
38,121.83
39,113.43
40,183.77
41,268.73
42,419.11
43,465.31
44,527.27
45,481.34
46,333.1
47,158.15
48,47.74
49,26.94
50,5.57
51,5.7
52,19.76
53,86.49
54,302.79
55,452.19
56,309.93
57,244.35
58,126.39
59,120.16
60,115.89
61,97.71
62,97.3
63,96.72
64,174.08
65,264.79
66,416.64
67,460.94
68,522.94
69,473.76
70,325.45
71,151.44
72,45.75
73,23.88
74,2.63
75,2.49
76,14.76
77,80.04
78,291.87
79,392.55
80,288.98
81,248.12
82,135.11
83,134.47
84,131.11
85,107.8
86,102.55
87,97.95
88,171.03
89,256.71
90,407.27
91,447.06
92,507.37
93,455.55
94,305.52
95,132.53
96,46.7
97,24.2
98,2.02
99,1.58
100,13.62
101,78.64
102,294.59
103,391.65
104,277.49
105,224.79
106,118.87
107,130.01
108,151.43
109,128.41
110,118.7
111,111.12
112,170.45
113,252.79
114,403.36
115,447.19
116,510.54
117,462.95
118,309.53
119,134.46
120,47.73
121,25.52
122,3.31
123,2.54
124,15.91
125,80.94
126,297.55
127,396.77
128,283.37
129,233.15
130,137.02
131,154.65
132,149.56
133,122.81
134,115.76
135,107.9
136,176.57
137,262.29
138,410.07
139,451.62
140,515.71
141,462.43
142,310.72
143,135.26
144,54.6
145,52.47
146,3.92
147,3.43
148,15.48
149,37.87
150,218.65
151,278.47
152,399.14
153,314.71
154,174.18
155,137.51
156,129.03
157,106.14
158,104.42
159,104.75
160,182.18
161,257.66
162,437.57
163,452.23
164,480.33
165,466.69
166,356.88
167,169.62
168,76.79
169,74.02
170,27.27
171,27.36
172,40.19
173,63.46
174,221.68
175,351.64
176,385.08
177,267.09
178,161.94
179,141.75
180,136.56
181,94.65
182,93.98
183,94.3
184,157.85
185,234.03
186,398.65
187,432.96
188,481.4
189,421.88
190,310.9
191,145.12
192,44.06
193,22.08
194,0.38
195,0.6
196,13.23
197,77.05
198,290.99
199,387.24
200,273.71
201,223.93
202,116.1
203,118.33
204,117.45
205,98.73
206,96.76
207,91.4
208,156.38
209,254.97
210,409.37
211,449.74
212,512.62
213,464.58
214,307.32
215,130.42
216,44.21
217,22.53
218,0.65
219,1.37
220,15.07
221,79.54
222,292.07
223,391.0
224,276.31
225,226.66
226,119.69
227,122.95
228,131.73
229,116.59
230,109.37
231,103.54
232,157.29
233,253.28
234,405.65
235,446.83
236,510.35
237,463.03
238,309.09
239,133.91
240,47.71
241,26.29
242,4.23
243,3.74
244,15.97
245,80.72
246,299.08
247,397.09
248,277.18
249,222.32
250,122.09
251,134.81
252,133.7
253,107.45
254,98.3
255,93.24
256,161.24
257,261.3
258,412.16
259,455.23
260,518.56
261,471.04
262,322.57
263,148.86
264,45.01
265,22.95
266,1.49
267,1.1
268,13.18
269,78.24
270,290.18
271,393.39
272,303.65
273,257.17
274,138.38
275,135.21
276,127.27
277,102.35
278,98.51
279,96.49
280,163.34
281,259.25
282,407.05
283,447.69
284,510.02
285,456.46
286,303.62
287,135.66
288,49.36
289,26.54
290,3.7
291,2.44
292,15.97
293,82.8
294,298.21
295,395.14
296,278.66
297,259.9
298,159.4
299,140.75
300,127.47
301,109.29
302,107.87
303,104.1
304,170.67
305,268.05
306,420.72
307,465.32
308,529.78
309,494.95
310,336.05
311,160.11
312,73.87
313,72.28
314,22.99
315,21.68
316,26.17
317,46.07
318,228.69
319,298.38
320,386.01
321,306.63
322,182.53
323,161.01
324,158.91
325,138.45
326,137.28
327,135.33
328,195.76
329,272.74
330,449.48
