hour,load_kw
0,72.44
1,67.27
2,77.65
3,66.06
4,83.38
5,85.68
6,123.52
7,103.02
8,101.86
9,70.97
10,55.45
11,45.91
12,59.94
13,50.17
14,61.76
15,47.75
16,101.62
17,126.52
18,136.33
19,111.81
20,121.92
21,97.27
22,93.18
23,68.76
24,99.33
25,89.2
26,98.55
27,88.52
28,104.95
29,129.93
30,200.22
31,214.9
32,595.39
33,574.23
34,545.53
35,544.99
36,516.76
37,544.77
38,544.44
39,544.41
40,589.27
41,515.07
42,374.85
43,361.05
44,248.88
45,235.09
46,90.66
47,56.81
48,84.71
49,121.32
50,106.7
51,119.72
52,112.36
53,160.03
54,212.48
55,257.56
56,624.18
57,603.69
58,579.54
59,583.51
60,556.69
61,585.58
62,587.16
63,585.71
64,628.36
65,554.05
66,411.06
67,394.33
68,281.21
69,267.06
70,90.66
71,56.33
72,49.92
73,61.37
74,104.1
75,121.2
76,113.15
77,161.45
78,207.34
79,212.13
80,592.96
81,572.14
82,544.5
83,544.37
84,527.3
85,582.82
86,576.48
87,576.39
88,599.86
89,514.98
90,374.77
91,361.13
92,249.05
93,235.42
94,91.23
95,91.25
96,117.75
97,115.47
98,122.51
99,115.04
100,129.02
101,156.45
102,205.06
103,213.11
104,593.63
105,572.61
106,544.95
107,544.79
108,516.74
109,545.02
110,544.65
111,544.39
112,589.43
113,515.38
114,375.25
115,361.64
116,249.64
117,236.04
118,112.98
119,116.18
120,122.64
121,114.55
122,122.38
123,114.16
124,128.98
125,155.72
126,204.6
127,214.16
128,594.46
129,572.6
130,544.72
131,544.56
132,516.38
133,555.9
134,583.0
135,576.83
136,621.59
137,536.49
138,374.68
139,360.99
140,248.81
141,235.19
142,91.28
143,73.27
144,76.38
145,90.39
146,87.23
147,96.23
148,94.88
149,116.33
150,206.63
151,128.1
152,312.34
153,291.41
154,263.81
155,298.19
156,296.65
157,285.05
158,74.44
159,90.38
160,151.21
161,133.12
162,83.08
163,70.26
164,70.05
165,65.88
166,116.67
167,91.57
168,99.54
169,85.29
170,101.03
171,85.6
172,108.37
173,105.96
174,149.07
175,123.77
176,127.14
177,88.27
178,71.72
179,68.02
180,75.24
181,67.04
182,73.74
183,65.62
184,110.31
185,144.9
186,150.35
187,128.89
188,134.12
189,113.28
190,104.89
191,84.41
192,110.96
193,104.87
194,110.22
195,103.99
196,115.96
197,144.8
198,202.69
199,215.04
200,595.44
201,574.55
202,546.9
203,546.8
204,518.28
205,545.96
206,545.84
207,545.81
208,585.38
209,517.41
210,377.21
211,363.48
212,251.35
213,237.61
214,136.75
215,127.46
216,112.57
217,119.51
218,112.08
219,118.43
220,117.74
221,158.91
222,203.81
223,214.55
224,595.18
225,574.34
226,546.03
227,545.21
228,516.85
229,544.8
230,544.75
231,544.73
232,583.95
233,515.68
234,375.52
235,361.91
236,249.99
237,236.21
238,104.85
239,124.75
240,114.08
241,123.42
242,114.13
243,123.61
244,121.16
245,165.13
246,206.04
247,212.55
248,593.26
249,572.45
250,544.83
251,544.68
252,516.42
253,578.69
254,577.31
255,576.55
256,615.96
257,549.04
258,410.0
259,393.25
260,280.78
261,266.93
262,90.66
263,56.57
264,50.19
265,82.53
266,121.1
267,105.87
268,131.97
269,157.96
270,207.58
271,212.0
272,603.95
273,611.24
274,576.56
275,576.82
276,548.94
277,577.09
278,577.25
279,577.21
280,616.13
281,542.01
282,374.65
283,361.0
284,248.87
285,235.27
286,91.28
287,56.88
288,98.83
289,118.56
290,110.36
291,123.28
292,122.08
293,165.33
294,206.15
295,212.97
296,593.26
297,572.11
298,589.55
299,577.8
300,556.54
301,591.02
302,599.28
303,607.08
304,649.43
305,581.76
306,441.08
307,427.06
308,317.32
309,308.1
310,90.66
311,55.86
312,20.92
313,20.92
314,20.92
315,20.92
316,27.8
317,64.23
318,224.0
319,188.59
320,360.04
321,342.24
322,317.72
323,317.73
324,320.25
325,317.6
326,122.05
327,117.96
328,152.64
329,136.64
330,82.85
331,69.55
332,70.02
333,56.52
334,73.91
335,99.59
336,78.15
337,92.12
338,81.14
339,97.21
340,95.23
341,117.56
342,136.35
343,135.52
344,115.67
345,103.78
346,62.23
347,71.67
348,62.24
349,70.84
350,60.13
351,74.24
352,105.71
353,157.63
354,147.96
355,142.23
356,132.21
357,126.59
358,103.53
359,98.05
360,82.28
361,90.34
362,81.66
363,89.96
364,88.25
365,110.01
366,129.65
367,128.32
368,112.7
369,100.43
370,59.8
371,74.95
372,60.09
373,74.69
374,59.24
375,83.41
376,111.65
377,160.81
378,149.71
379,140.66
380,132.98
381,125.07
382,102.09
383,94.53
384,108.54
385,116.0
386,107.4
387,111.87
388,110.22
389,150.86
390,203.83
391,214.34
392,595.33
393,574.09
394,545.44
395,545.12
396,516.89
397,544.8
398,544.89
399,545.1
400,584.68
401,516.83
402,377.11
403,363.5
404,251.38
405,237.69
406,140.8
407,127.28
408,110.38
409,118.98
410,108.8
411,117.1
412,114.24
413,157.15
414,202.7
415,214.83
416,595.4
417,574.55
418,546.91
419,546.79
420,518.73
421,546.57
422,546.16
423,546.13
424,579.96
425,517.39
426,377.21
427,363.51
428,251.4
429,237.67
430,141.39
431,128.12
432,111.93
433,120.68
434,111.18
435,120.14
436,117.37
437,161.05
438,203.07
439,214.72
440,595.33
441,574.48
442,546.79
443,546.21
444,517.08
445,544.92
446,544.61
447,544.47
448,577.83
449,515.3
450,375.15
451,361.52
452,249.42
453,235.77
454,104.84
455,124.42
456,113.49
457,122.89
458,114.25
459,123.05
460,121.55
461,165.33
462,207.13
463,212.05
464,592.91
465,572.07
466,544.54
467,544.56
468,516.43
469,544.41
470,544.38
471,544.36
472,577.66
473,515.03
474,374.85
475,361.22
476,249.11
477,235.38
478,91.23
479,98.33
480,95.42
481,87.4
482,94.78
483,87.94
484,102.33
485,109.01
486,207.41
487,128.0
488,312.56
489,291.62
490,263.89
491,284.64
492,299.97
493,295.63
494,106.21
495,106.23
496,139.56
497,133.03
498,83.08
499,70.26
500,90.85
501,112.82
502,114.06
503,91.85
504,96.49
505,88.34
506,95.33
507,87.88
508,101.41
509,107.49
510,141.11
511,124.29
512,118.99
513,91.69
514,70.17
515,63.26
516,69.4
517,62.58
518,67.45
519,60.63
520,99.0
521,141.61
522,146.12
523,126.05
524,130.47
525,110.73
526,101.16
527,81.73
528,107.17
529,101.97
530,105.98
531,100.82
532,111.6
533,141.61
534,200.04
535,210.04
536,595.99
537,574.97
538,547.29
539,547.2
540,519.17
