hour,load_kw
0,70.86
1,57.15
2,54.96
3,53.76
4,81.81
5,139.15
6,206.66
7,186.9
8,129.97
9,91.04
10,49.22
11,47.07
12,41.11
13,32.51
14,31.0
15,51.09
16,192.67
17,330.38
18,360.56
19,350.03
20,346.0
21,277.86
22,193.15
23,126.46
24,86.59
25,83.83
26,85.93
27,87.7
28,115.71
29,177.28
30,247.11
31,229.74
32,198.67
33,154.4
34,106.9
35,99.56
36,86.08
37,78.58
38,76.2
39,95.19
40,233.36
41,337.29
42,363.36
43,351.02
44,346.37
45,276.0
46,186.67
47,112.06
48,67.34
49,60.53
50,57.87
51,57.53
52,84.28
53,141.84
54,206.04
55,186.01
56,160.31
57,122.28
58,81.87
59,82.79
60,77.06
61,74.58
62,72.59
63,90.49
64,227.36
65,329.71
66,355.46
67,343.64
68,339.02
69,270.43
70,183.36
71,110.18
72,65.5
73,60.19
74,57.73
75,57.76
76,87.64
77,149.52
78,223.43
79,209.71
80,180.51
81,141.19
82,101.17
83,98.14
84,87.76
85,84.28
86,82.88
87,102.84
88,242.98
89,349.09
90,375.93
91,367.14
92,364.73
93,298.7
94,212.74
95,141.77
96,100.21
97,95.25
98,94.39
99,94.71
100,123.58
101,182.84
102,250.27
103,232.82
104,201.25
105,160.29
106,118.63
107,114.46
108,101.17
109,94.53
110,90.22
111,106.88
112,250.21
113,360.36
114,389.61
115,381.53
116,380.1
117,312.82
118,228.25
119,157.84
120,113.98
121,108.36
122,107.73
123,109.56
124,136.63
125,195.1
126,262.19
127,244.75
128,209.75
129,160.92
130,113.74
131,108.0
132,95.93
133,88.39
134,82.98
135,99.65
136,239.09
137,343.92
138,372.89
139,363.72
140,359.51
141,293.59
142,209.1
143,137.41
144,94.82
145,89.93
146,85.76
147,85.14
148,113.42
149,172.97
150,242.6
151,216.97
152,149.47
153,105.61
154,65.07
155,64.22
156,59.01
157,54.19
158,53.49
159,68.84
160,203.77
161,336.05
162,362.69
163,349.52
164,343.89
165,273.83
166,185.12
167,111.0
168,65.41
169,57.62
170,53.63
171,51.99
172,78.59
173,136.23
174,202.56
175,182.1
176,127.23
177,92.77
178,57.81
179,63.24
180,63.11
181,57.41
182,55.57
183,71.94
184,201.32
185,357.7
186,390.92
187,385.36
188,387.54
189,322.7
190,239.37
191,169.63
192,126.09
193,118.92
194,117.09
195,117.48
196,146.24
197,205.26
198,272.7
199,254.04
200,219.95
201,177.12
202,132.86
203,128.15
204,118.01
205,113.1
206,109.86
207,128.18
208,255.68
209,377.97
210,404.99
211,395.77
212,394.33
213,326.79
214,242.09
215,172.15
216,129.88
217,125.15
218,122.77
219,123.82
220,150.67
221,207.49
222,274.79
223,255.68
224,221.03
225,174.83
226,128.45
227,120.54
228,107.93
229,102.54
230,99.46
231,116.67
232,243.47
233,365.52
234,392.71
235,383.47
236,381.88
237,312.88
238,225.45
239,152.24
240,105.22
241,97.72
242,94.81
243,92.22
244,118.18
245,177.34
246,245.13
247,225.2
248,195.55
249,157.49
250,117.36
251,113.95
252,102.24
253,93.55
254,87.13
255,100.99
256,220.77
257,333.57
258,358.96
259,349.28
260,344.73
261,274.8
262,187.2
263,113.93
264,71.62
265,69.01
266,70.08
267,73.86
268,104.45
269,163.44
270,229.33
271,210.04
272,175.87
273,130.04
274,86.93
275,84.98
276,78.8
277,76.81
278,75.5
279,94.44
280,220.5
281,340.48
282,368.77
283,361.7
284,359.64
285,293.94
286,212.8
287,137.69
288,90.95
289,87.83
290,88.19
291,94.33
292,120.38
293,174.8
294,248.17
295,232.64
296,197.7
297,148.16
298,97.51
299,87.18
300,76.03
301,70.43
302,66.67
303,83.44
304,206.45
305,323.12
306,348.45
307,336.19
308,328.52
309,256.29
310,165.0
311,88.41
312,40.36
313,31.33
314,27.16
315,25.94
316,57.38
317,120.58
318,191.08
319,170.82
320,113.96
321,75.99
322,36.23
323,36.55
324,33.75
325,28.7
326,27.7
327,46.45
328,172.63
329,322.06
330,352.32
331,342.03
332,338.33
333,271.35
334,186.19
335,113.85
336,68.9
337,63.42
338,61.77
339,64.75
340,93.28
341,150.88
342,220.08
343,197.46
344,136.98
345,101.02
346,62.31
347,60.09
348,55.34
349,47.68
350,43.95
351,61.02
352,186.51
353,335.44
354,365.62
355,359.34
356,359.3
357,292.3
358,206.34
359,132.21
360,86.22
361,80.19
362,76.28
363,72.7
364,99.9
365,155.78
366,220.47
367,198.08
368,131.04
369,86.85
370,46.33
371,45.12
372,41.64
373,39.38
374,39.75
375,56.93
376,180.22
377,327.79
378,357.27
379,346.89
380,341.38
381,272.63
382,186.28
383,113.17
384,66.37
385,58.69
386,57.17
387,61.6
388,95.17
389,158.44
390,230.81
391,220.68
392,197.58
393,156.05
394,109.46
395,106.85
396,96.89
397,93.74
398,94.19
399,117.15
400,247.82
401,370.63
402,399.11
403,392.04
404,391.3
405,327.13
406,244.73
407,174.84
408,132.91
409,131.46
410,131.59
411,134.51
412,164.85
413,225.19
414,294.29
415,277.04
416,243.25
417,197.06
418,149.24
419,140.31
420,127.17
421,121.19
422,115.23
423,131.49
424,245.57
425,383.75
426,415.06
427,407.21
428,407.06
429,341.59
430,255.82
431,186.33
432,145.55
433,141.15
434,140.54
435,141.04
436,168.74
437,229.07
438,297.7
439,278.58
440,242.85
441,195.35
442,144.91
