hour,load_kw
0,73.27
1,82.77
2,63.8
3,94.33
4,111.23
5,80.7
6,168.92
7,158.26
8,234.72
9,166.68
10,286.38
11,364.43
12,405.02
13,400.85
14,391.45
15,380.83
16,399.97
17,326.63
18,320.57
19,270.22
20,248.56
21,212.63
22,34.59
23,159.85
24,97.96
25,69.04
26,73.22
27,83.05
28,85.15
29,88.24
30,209.74
31,201.2
32,414.54
33,518.12
34,493.71
35,571.15
36,520.58
37,512.33
38,502.85
39,494.4
40,515.04
41,535.85
42,501.79
43,461.98
44,388.61
45,213.33
46,23.85
47,175.54
48,81.55
49,82.34
50,90.81
51,71.2
52,144.24
53,148.24
54,254.11
55,227.54
56,419.87
57,532.1
58,515.16
59,593.01
60,546.23
61,539.45
62,529.47
63,520.79
64,541.01
65,560.68
66,522.24
67,466.28
68,390.34
69,214.2
70,19.36
71,154.9
72,100.36
73,85.64
74,58.1
75,85.41
76,101.14
77,75.18
78,209.38
79,201.61
80,414.71
81,517.83
82,493.9
83,571.21
84,519.97
85,512.21
86,502.71
87,494.11
88,514.62
89,535.16
90,501.24
91,460.72
92,387.44
93,212.45
94,46.14
95,176.5
96,97.78
97,58.71
98,83.64
99,82.44
100,74.86
101,98.64
102,209.79
103,201.16
104,414.51
105,518.17
106,493.62
107,571.05
108,520.25
109,511.76
110,502.24
111,493.65
112,514.19
113,534.65
114,500.89
115,460.15
116,386.81
117,212.1
118,56.5
119,177.53
120,97.47
121,60.15
122,81.67
123,82.38
124,116.27
125,137.75
126,251.26
127,224.12
128,414.8
129,518.38
130,493.69
131,571.14
132,520.53
133,512.14
134,502.58
135,494.06
136,514.64
137,535.19
138,501.28
139,444.38
140,372.13
141,200.7
142,40.13
143,175.34
144,93.43
145,54.7
146,77.12
147,78.21
148,71.19
149,92.5
150,163.88
151,155.53
152,324.53
153,400.32
154,494.94
155,571.94
156,522.25
157,517.59
158,511.47
159,504.91
160,527.26
161,549.21
162,468.77
163,335.07
164,308.6
165,179.08
166,17.73
167,180.94
168,108.21
169,71.12
170,100.43
171,99.37
172,92.1
173,117.38
174,179.13
175,172.11
176,248.32
177,180.09
178,294.07
179,367.25
180,402.5
181,396.7
182,386.99
183,378.19
184,398.51
185,325.68
186,319.92
187,268.7
188,247.26
189,212.0
190,53.94
191,172.04
192,90.88
193,63.38
194,82.78
195,76.68
196,79.78
197,97.86
198,209.73
199,201.05
200,414.45
201,518.17
202,493.48
203,571.01
204,520.3
205,511.75
206,502.25
207,493.72
208,514.27
209,534.75
210,500.93
211,460.23
212,386.81
213,212.06
214,59.53
215,177.41
216,93.1
217,63.33
218,81.09
219,78.29
220,119.55
221,137.25
222,251.08
223,223.81
224,414.64
225,518.17
226,493.57
227,571.07
228,520.51
229,512.0
230,502.42
231,493.93
232,514.54
233,535.02
234,501.13
235,444.1
236,371.79
237,200.45
238,54.23
239,177.3
240,99.3
241,58.82
242,82.17
243,84.53
244,75.48
245,97.71
246,210.21
