hour,load_kw
0,32.84
1,28.0
2,26.29
3,26.92
4,28.6
5,36.42
6,55.05
7,67.76
8,65.34
9,57.59
10,54.71
11,50.73
12,47.08
13,44.44
14,42.94
15,45.89
16,55.43
17,73.74
18,85.76
19,85.29
20,79.21
21,72.0
22,58.89
23,45.63
24,31.57
25,26.42
26,24.68
27,24.55
28,25.77
29,32.96
30,50.04
31,62.64
32,60.15
33,52.33
34,50.07
35,46.54
36,43.75
37,41.88
38,40.51
39,42.85
40,51.82
41,69.7
42,81.35
43,80.5
44,74.52
45,67.63
46,55.4
47,43.02
48,30.6
49,25.44
50,23.72
51,23.54
52,24.89
53,32.28
54,49.49
55,62.08
56,59.33
57,51.09
58,48.51
59,45.14
60,41.88
61,39.68
62,38.68
63,41.08
64,50.31
65,68.43
66,80.24
67,79.48
68,73.44
69,66.74
70,54.47
71,42.06
72,29.57
73,24.37
74,22.62
75,22.52
76,23.78
77,31.14
78,48.35
79,60.89
80,58.39
81,50.61
82,48.25
83,44.68
84,41.7
85,39.82
86,38.9
87,41.2
88,50.31
89,68.37
90,80.17
91,79.39
92,73.45
93,66.79
94,54.58
95,42.23
96,29.77
97,24.64
98,22.9
99,22.83
100,24.15
101,31.59
102,48.82
103,61.34
104,58.73
105,51.12
106,48.85
107,45.74
108,42.93
109,40.95
110,39.83
111,42.09
112,51.03
113,68.87
114,80.54
115,79.57
116,73.46
117,66.6
118,54.3
119,41.85
120,29.33
121,24.11
122,22.38
123,22.17
124,23.48
125,30.97
126,48.76
127,60.87
128,58.24
129,50.58
130,48.26
131,44.64
132,41.23
133,38.98
134,37.82
135,40.13
136,49.39
137,67.66
138,79.54
139,78.92
140,73.02
141,66.46
142,54.27
143,41.97
144,30.12
145,24.83
146,23.09
147,23.05
148,24.49
149,32.55
150,51.03
151,64.28
152,62.15
153,54.57
154,52.23
155,48.69
156,44.73
157,42.26
158,40.54
159,42.99
160,52.32
161,70.6
162,82.89
163,82.35
164,76.39
165,69.29
166,56.41
167,43.1
168,29.83
169,24.38
170,22.52
171,22.34
172,23.78
173,31.74
174,50.2
175,63.38
176,61.23
177,53.43
178,50.97
179,47.79
180,44.43
181,41.72
182,39.99
183,42.37
184,51.78
185,70.0
186,82.37
187,81.93
188,75.97
189,68.92
190,55.99
191,42.69
192,28.9
193,23.65
194,21.88
195,21.75
196,23.12
197,30.59
198,47.86
199,60.46
200,57.74
201,50.2
202,47.51
203,44.66
204,41.61
205,39.37
206,38.41
207,41.06
208,50.01
209,67.99
210,79.83
211,78.98
212,73.02
213,66.31
214,54.12
215,41.75
216,29.28
217,24.18
218,22.4
219,22.39
220,23.81
221,31.32
222,48.58
223,60.51
224,58.12
225,50.01
226,47.02
227,43.54
228,40.51
229,38.34
230,36.89
231,39.24
232,48.53
233,66.54
234,78.58
235,78.01
236,72.22
237,65.56
238,53.33
239,40.96
240,28.45
241,23.29
242,21.59
243,21.45
244,22.75
245,30.25
246,47.54
247,59.97
248,57.58
249,49.92
250,47.45
251,44.74
252,42.17
253,40.37
254,39.35
255,41.61
256,50.65
257,67.56
258,79.97
259,79.14
260,72.97
261,66.13
262,53.8
263,41.33
264,28.73
265,23.66
266,22.03
267,21.89
268,23.02
269,30.55
270,47.88
271,60.39
272,57.96
273,50.46
274,47.53
275,45.47
276,43.02
277,41.32
278,40.16
279,42.25
280,51.29
281,69.13
282,81.66
283,80.08
284,73.82
285,66.86
286,54.53
287,42.02
288,29.38
289,24.18
290,22.39
291,22.23
292,23.45
293,30.9
294,48.25
295,60.83
296,58.33
297,50.76
298,48.37
299,45.53
300,42.97
301,41.14
302,40.15
303,42.24
304,51.2
305,69.08
306,80.75
307,80.07
308,74.17
309,67.5
310,55.3
311,43.26
312,31.29
313,25.92
314,24.25
315,24.2
316,25.91
317,34.2
318,53.54
319,66.51
320,63.93
321,55.86
322,52.93
323,48.94
324,45.36
325,42.87
326,41.47
327,43.81
328,53.66
329,72.37
330,84.53
331,84.1
332,78.06
333,70.96
334,58.17
335,44.89
336,31.61
337,26.32
338,24.51
339,24.38
340,25.95
341,34.07
342,52.65
343,65.32
344,63.24
345,55.2
346,52.49
347,48.34
348,44.75
349,42.13
350,40.56
351,42.86
352,52.44
353,71.01
354,83.34
355,82.96
356,77.0
357,70.03
358,57.23
359,44.12
360,30.37
361,25.44
362,24.04
363,24.27
364,25.89
365,33.61
366,51.1
367,63.96
368,61.1
369,53.15
370,50.61
371,46.94
372,43.34
373,40.82
374,39.4
375,41.7
376,50.96
377,69.38
378,81.12
379,80.4
380,74.46
381,67.73
382,55.42
383,43.01
384,30.47
385,25.51
386,23.77
387,23.6
388,25.04
389,32.54
390,49.96
391,61.9
392,59.54
393,51.31
394,48.05
395,44.46
396,41.25
397,38.84
398,37.33
399,39.83
400,49.25
401,67.55
402,79.51
403,78.9
404,73.05
405,66.41
406,54.17
407,41.74
408,29.13
409,23.92
410,22.32
411,22.25
412,23.5
413,30.91
414,48.19
415,60.63
416,58.11
417,50.45
418,48.01
419,45.06
420,42.32
421,40.32
422,39.04
423,41.24
424,50.26
425,68.18
426,79.97
427,79.31
428,73.34
429,66.53
430,54.16
431,41.72
432,29.01
433,23.74
434,21.96
435,21.91
436,23.3
437,30.97
438,48.98
439,60.89
440,58.81
441,51.33
442,49.11
443,45.96
444,43.14
445,41.04
446,39.82
447,42.0
448,50.98
449,69.02
450,80.63
451,79.66
452,73.7
453,66.81
454,54.41
455,41.91
456,29.25
457,23.99
458,22.01
459,21.86
460,23.24
461,30.73
462,48.42
463,60.47
464,57.93
465,50.23
466,47.8
467,44.87
468,42.15
469,40.08
470,38.88
471,41.09
472,50.04
473,66.95
474,79.32
475,78.59
476,72.48
477,65.65
478,53.23
479,40.81
480,28.96
481,23.76
482,21.89
483,21.85
484,24.12
485,33.1
486,52.81
487,65.74
488,64.05
489,55.94
490,53.53
491,49.6
492,46.15
493,43.7
494,42.12
495,44.48
496,54.57
497,73.73
498,85.97
499,85.49
500,79.6
501,72.55
502,59.79
503,46.63
504,33.42
505,28.05
506,26.3
507,26.1
508,27.65
509,35.71
510,54.98
511,67.19
512,65.17
513,57.53
514,54.66
515,50.83
516,46.9
517,43.91
518,42.16
519,44.36
520,53.72
521,72.17
522,84.37
523,83.88
524,77.67
525,70.51
526,57.53
527,44.11
528,30.07
529,24.75
530,22.97
531,22.64
532,23.82
533,31.31
534,49.24
535,61.39
536,58.54
537,50.73
538,48.09
539,45.03
540,42.23
541,40.11
542,38.87
543,41.33
544,50.71
545,68.8
546,80.63
547,79.81
548,73.69
549,68.72
550,56.34
551,44.43
552,32.28
553,26.88
554,25.42
555,26.04
556,28.16
557,36.78
558,54.56
559,66.29
560,63.77
561,55.55
562,53.41
563,49.96
564,46.61
565,44.44
566,43.13
567,45.61
568,55.03
569,74.3
570,86.22
571,85.18
572,79.07
573,72.18
574,59.84
575,47.55
576,35.06
577,29.62
578,28.01
579,27.86
580,29.14
581,36.65
582,53.99
583,65.98
584,63.48
585,54.91
586,52.41
587,48.19
588,44.8
589,42.25
590,40.76
