date,cumulative_baseline_co2_kg,cumulative_solar_co2_kg
2024-01-01 00:00:00,711.6718612169474,705.1618612169474
2024-01-01 01:00:00,1420.151623257292,1407.131623257292
2024-01-01 02:00:00,2124.840767525421,2105.310767525421
2024-01-01 03:00:00,2829.3969076611916,2803.356907661191
2024-01-01 04:00:00,3537.1783980066543,3504.6283980066537
2024-01-01 05:00:00,4258.759067084306,4219.699067084305
2024-01-01 06:00:00,4990.414799188109,4944.8447991881085
2024-01-01 07:00:00,5733.37588254238,5643.96838254238
2024-01-01 08:00:00,6444.914739626969,5761.78213254238
2024-01-01 09:00:00,7151.99795827755,6048.86713254238
2024-01-01 10:00:00,7834.076400044743,6384.199632542381
2024-01-01 11:00:00,8508.473853168236,6722.235882542381
2024-01-01 12:00:00,9218.183903432897,7097.2658825423805
2024-01-01 13:00:00,9926.497410307793,7487.93338254238
2024-01-01 14:00:00,10632.450093833328,7894.4933825423805
2024-01-01 15:00:00,11359.217924072958,8285.05588254238
2024-01-01 16:00:00,12098.554644820462,8518.57588254238
2024-01-01 17:00:00,12843.344534994661,8550.88588254238
2024-01-01 18:00:00,13590.628252650582,8552.025882542379
2024-01-01 19:00:00,14327.437894883275,8552.95588254238
2024-01-01 20:00:00,15051.545642475736,8553.88588254238
2024-01-01 21:00:00,16513.460563293578,8554.81588254238
2024-01-01 22:00:00,17967.794248566992,8555.74588254238
2024-01-01 23:00:00,19416.009743751914,8556.67588254238
2024-01-02 00:00:00,20858.10704884835,8557.60588254238
2024-01-02 01:00:00,22298.80781055502,8558.535882542381
2024-01-02 02:00:00,23734.45441523207,8559.465882542381
2024-01-02 03:00:00,25158.662664526295,8560.395882542382
2024-01-02 04:00:00,26582.87091382052,8561.325882542382
2024-01-02 05:00:00,28029.68986561568,8562.255882542382
2024-01-02 06:00:00,29515.87804058894,8563.185882542382
2024-01-02 07:00:00,31000.669672172437,8569.339632542382
2024-01-02 08:00:00,32436.316276849488,8672.670882542381
2024-01-02 09:00:00,33778.926490941805,8919.86338254238
2024-01-02 10:00:00,35037.47809338359,9219.233382542381
2024-01-02 11:00:00,36269.49537141986,9557.430882542381
2024-01-02 12:00:00,37458.48581263817,9889.815882542382
2024-01-02 13:00:00,38655.32349766564,10227.038382542381
2024-01-02 14:00:00,39965.547205528674,10555.78963254238
2024-01-02 15:00:00,41392.28253333771,10841.74588254238
2024-01-02 16:00:00,42859.51761944989,11004.42838254238
2024-01-02 17:00:00,44336.794517555136,11028.705882542381
2024-01-02 18:00:00,45815.20195078543,11029.84588254238
2024-01-02 19:00:00,47279.9099583828,11030.77588254238
2024-01-02 20:00:00,48735.640187045974,11031.705882542381
2024-01-02 21:00:00,50203.67329795231,11032.635882542381
2024-01-02 22:00:00,51668.38130554968,11033.565882542382
2024-01-02 23:00:00,53122.71499082309,11034.495882542382
2024-01-03 00:00:00,54569.533942618255,11035.425882542382
2024-01-03 01:00:00,56012.69528077356,11036.355882542382
2024-01-03 02:00:00,57449.73842884037,11037.285882542383
2024-01-03 03:00:00,58886.78157690718,11038.215882542383
2024-01-03 04:00:00,60328.546371672724,11039.145882542383
2024-01-03 05:00:00,61787.93421397576,11040.075882542384
2024-01-03 06:00:00,63263.81456869124,11041.005882542384
2024-01-03 07:00:00,64748.340192010015,11044.493382542383
2024-01-03 08:00:00,66166.09774088486,11119.028382542383
2024-01-03 09:00:00,67457.03584955592,11324.040882542384
2024-01-03 10:00:00,68675.35370195928,11576.303382542384
2024-01-03 11:00:00,69847.053605971,11840.805882542385
2024-01-03 12:00:00,71010.10824137942,12126.237132542385
2024-01-03 13:00:00,72222.04189542957,12410.265882542384
2024-01-03 14:00:00,73547.09556405059,12694.305882542385
2024-01-03 15:00:00,74985.26924724245,12954.593382542385
2024-01-03 16:00:00,76446.05363293525,13116.567132542385
2024-01-03 17:00:00,77940.62106824708,13142.757132542385
2024-01-03 18:00:00,79434.39047876478,13143.897132542384
2024-01-03 19:00:00,80900.22902148719,13144.827132542385
2024-01-03 20:00:00,82353.76468196645,13145.757132542385
2024-01-03 21:00:00,83808.43087757076,13146.687132542385
2024-01-03 22:00:00,85265.29164135898,13147.617132542386
2024-01-03 23:00:00,86724.67948366202,13148.547132542386
2024-01-04 00:00:00,88182.93679084002,13149.477132542386
2024-01-04 01:00:00,89635.07590792951,13150.407132542387
2024-01-04 02:00:00,91077.17321302595,13151.337132542387
2024-01-04 03:00:00,92517.87397473262,13152.267132542387
2024-01-04 04:00:00,93960.7693046232,13153.197132542387
2024-01-04 05:00:00,95430.46496718402,13154.127132542388
2024-01-04 06:00:00,96966.66269592405,13155.057132542388
2024-01-04 07:00:00,98576.87722432156,13161.840882542388
2024-01-04 08:00:00,100212.49554199954,13299.075882542389
2024-01-04 09:00:00,101758.73508273263,13642.24588254239
2024-01-04 10:00:00,103205.8200427925,14035.50463254239
2024-01-04 11:00:00,104607.68359785051,14402.70838254239
2024-01-04 12:00:00,105993.05464049608,14756.783382542391
2024-01-04 13:00:00,107399.90585051752,15121.81963254239
2024-01-04 14:00:00,108912.09633336686,15500.14588254239
2024-01-04 15:00:00,110540.19991756658,15862.87963254239
2024-01-04 16:00:00,112179.47584888441,16080.84463254239
2024-01-04 17:00:00,113811.17054465781,16114.16713254239
