month,baseline_co2,solar_co2,diff_co2_kg
1,928773.1431732797,112045.6999623321,816727.4432109476
2,664115.6351735898,101712.15489316957,562403.4802804203
3,529765.4012425785,122543.07174755087,407222.32949502766
4,602565.17983794,113340.20655753538,489224.97328040464
5,658619.571914208,131338.25744345243,527281.3144707556
6,680111.1443944465,144312.30650380082,535798.8378906457
7,734154.4474873885,164490.80753302237,569663.6399543661
8,743859.2270090549,185913.71391655007,557945.5130925048
9,670247.5246877111,132987.7122390064,537259.8124487047
10,609154.7698225399,166572.63757939535,442582.13224314456
11,565492.1732519097,92256.23181531501,473235.94143659464
12,661780.0826093755,170056.56851170442,491723.514097671
