date,cumulative_baseline_co2_kg,cumulative_solar_co2_kg
2024-01-01 00:00:00,711.6718612169474,705.1618612169474
2024-01-01 01:00:00,1420.151623257292,1407.131623257292
2024-01-01 02:00:00,2124.840767525421,2105.310767525421
2024-01-01 03:00:00,2829.3969076611916,2803.356907661191
2024-01-01 04:00:00,3537.1783980066543,3504.6283980066537
2024-01-01 05:00:00,4258.759067084306,4219.699067084305
2024-01-01 06:00:00,4990.414799188109,4944.8447991881085
2024-01-01 07:00:00,5733.37588254238,5643.96838254238
2024-01-01 08:00:00,6444.914739626969,5761.78213254238
2024-01-01 09:00:00,7151.99795827755,6048.86713254238
2024-01-01 10:00:00,7834.076400044743,6384.199632542381
2024-01-01 11:00:00,8508.473853168236,6722.235882542381
2024-01-01 12:00:00,9218.183903432897,7097.2658825423805
2024-01-01 13:00:00,9926.497410307793,7487.93338254238
2024-01-01 14:00:00,10632.450093833328,7894.4933825423805
2024-01-01 15:00:00,11359.217924072958,8285.05588254238
2024-01-01 16:00:00,12098.554644820462,8518.57588254238
2024-01-01 17:00:00,12843.344534994661,8550.88588254238
2024-01-01 18:00:00,13590.628252650582,8552.025882542379
2024-01-01 19:00:00,14327.437894883275,8552.95588254238
2024-01-01 20:00:00,15051.545642475736,8553.88588254238
2024-01-01 21:00:00,15782.503102884657,8554.81588254238
2024-01-01 22:00:00,16509.669945521364,8555.74588254238
2024-01-01 23:00:00,17233.777693113825,8556.67588254238
2024-01-02 00:00:00,17954.826345662044,8557.60588254238
2024-01-02 01:00:00,18675.17672651538,8558.535882542381
2024-01-02 02:00:00,19393.000028853905,8559.465882542381
2024-01-02 03:00:00,20105.104153501015,8560.395882542382
2024-01-02 04:00:00,20817.20827814813,8561.325882542382
2024-01-02 05:00:00,21540.61775404571,8562.255882542382
2024-01-02 06:00:00,22283.71184153234,8891.418902954234
2024-01-02 07:00:00,23026.107657324086,9590.738468745982
2024-01-02 08:00:00,23743.93095966261,9694.069718745981
2024-01-02 09:00:00,24415.23606670877,9941.26221874598
2024-01-02 10:00:00,25044.51186792966,10240.632218745981
2024-01-02 11:00:00,25660.520506947796,10578.829718745981
2024-01-02 12:00:00,26255.015727556955,10911.214718745981
2024-01-02 13:00:00,26853.434570070687,11248.437218745981
2024-01-02 14:00:00,27508.546424002205,11577.18846874598
2024-01-02 15:00:00,28221.914087906724,11863.14471874598
2024-01-02 16:00:00,28955.531630962814,12025.82721874598
2024-01-02 17:00:00,29694.170080015436,12050.10471874598
2024-01-02 18:00:00,30433.37379663058,12051.24471874598
2024-01-02 19:00:00,31165.727800429268,12052.17471874598
2024-01-02 20:00:00,31893.592914760855,12053.10471874598
2024-01-02 21:00:00,32627.60947021402,12054.034718745981
2024-01-02 22:00:00,33359.96347401271,12054.964718745981
2024-01-02 23:00:00,34087.13031664941,12055.894718745982
2024-01-03 00:00:00,34810.53979254699,12056.824718745982
2024-01-03 01:00:00,35532.12046162464,12057.754718745982
2024-01-03 02:00:00,36250.64203565805,12058.684718745983
2024-01-03 03:00:00,36969.16360969146,12059.614718745983
2024-01-03 04:00:00,37690.04600707423,12060.544718745983
2024-01-03 05:00:00,38419.73992822575,12061.474718745983
2024-01-03 06:00:00,39157.68010558349,12476.352108395784
2024-01-03 07:00:00,39899.94291724288,13194.202420055173
2024-01-03 08:00:00,40608.8216916803,13381.336194492593
2024-01-03 09:00:00,41254.29074601583,13586.348694492593
2024-01-03 10:00:00,41863.44967221751,13838.611194492594
2024-01-03 11:00:00,42449.29962422337,14103.113694492595
2024-01-03 12:00:00,43030.82694192758,14388.544944492594
2024-01-03 13:00:00,43636.79376895266,14672.573694492594
2024-01-03 14:00:00,44299.320603263164,14956.613694492595
2024-01-03 15:00:00,45018.4074448591,15216.901194492595
2024-01-03 16:00:00,45748.799637705495,15378.874944492594
2024-01-03 17:00:00,46496.083355361414,15405.064944492595
2024-01-03 18:00:00,47242.96806062026,15406.204944492594
2024-01-03 19:00:00,47975.88733198147,15407.134944492595
2024-01-03 20:00:00,48702.6551622211,15408.064944492595
2024-01-03 21:00:00,49429.98826002325,15408.994944492595
2024-01-03 22:00:00,50158.418641917364,15409.924944492595
2024-01-03 23:00:00,50888.112563068884,15410.854944492596
2024-01-04 00:00:00,51617.24121665788,15411.784944492596
2024-01-04 01:00:00,52343.310775202626,15412.714944492596
2024-01-04 02:00:00,53064.359427750845,15413.644944492597
2024-01-04 03:00:00,53784.70980860418,15414.574944492597
2024-01-04 04:00:00,54506.15747354947,15415.504944492597
2024-01-04 05:00:00,55241.00530482988,15416.434944492597
2024-01-04 06:00:00,56009.1041691999,15874.836072462436
2024-01-04 07:00:00,56814.211433398654,16632.45708666119
2024-01-04 08:00:00,57632.02059223764,16769.69208666119
2024-01-04 09:00:00,58405.14036260419,17112.86208666119
2024-01-04 10:00:00,59128.68284263412,17506.12083666119
2024-01-04 11:00:00,59829.61462016313,17873.32458666119
2024-01-04 12:00:00,60522.30014148591,18227.39958666119
2024-01-04 13:00:00,61225.72574649663,18592.435836661192
2024-01-04 14:00:00,61981.8209879213,18970.76208666119
2024-01-04 15:00:00,62795.87278002116,19333.49583666119
2024-01-04 16:00:00,63615.510745680076,19551.46083666119
2024-01-04 17:00:00,64431.35809356678,19584.78333666119
