month,baseline_co2,solar_co2,diff_co2_kg
1,552651.8878119593,143248.61721443853,409403.27059752075
2,526344.2689500545,80546.23948572781,445798.02946432674
3,524003.82848397613,122543.07174755087,401460.7567364253
4,574552.5810033324,113340.20655753538,461212.374445797
5,652319.7646829841,131338.25744345243,520981.50723953167
6,675027.5934515743,144312.30650380082,530715.2869477735
7,737298.4656701436,164490.80753302237,572807.6581371212
8,851836.8363084712,185913.71391655007,665923.1223919211
9,671841.2467036962,132987.7122390064,538853.5344646898
10,628384.1415175599,166572.63757939535,461811.50393816456
11,562155.731340665,92256.23181531501,469899.49952535
12,575185.9799326564,177080.9012941535,398105.07863850286
