interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,gen_system_wide,cop_hsl_system_wide,stppf_system_wide,pvgrpp_system_wide,hsl_system_wide
2024-04-01 00:00:00-05:00,2024-04-01 05:00:00+00:00,2024-04-01T01:00:00-05:00,2024-04-01 06:00:00+00:00,2024-03-25T01:55:49-05:00,2024-03-25 06:55:49+00:00,,0.0,0.0,0.0,
2024-04-01 01:00:00-05:00,2024-04-01 06:00:00+00:00,2024-04-01T02:00:00-05:00,2024-04-01 07:00:00+00:00,2024-03-25T02:55:40-05:00,2024-03-25 07:55:40+00:00,,0.0,0.0,0.0,
2024-04-01 02:00:00-05:00,2024-04-01 07:00:00+00:00,2024-04-01T03:00:00-05:00,2024-04-01 08:00:00+00:00,2024-03-25T03:55:33-05:00,2024-03-25 08:55:33+00:00,,0.0,0.0,0.0,
2024-04-01 03:00:00-05:00,2024-04-01 08:00:00+00:00,2024-04-01T04:00:00-05:00,2024-04-01 09:00:00+00:00,2024-03-25T04:55:37-05:00,2024-03-25 09:55:37+00:00,,0.0,0.0,0.0,
2024-04-01 04:00:00-05:00,2024-04-01 09:00:00+00:00,2024-04-01T05:00:00-05:00,2024-04-01 10:00:00+00:00,2024-03-25T05:55:37-05:00,2024-03-25 10:55:37+00:00,,0.0,0.0,0.0,
2024-04-01 05:00:00-05:00,2024-04-01 10:00:00+00:00,2024-04-01T06:00:00-05:00,2024-04-01 11:00:00+00:00,2024-03-25T06:55:40-05:00,2024-03-25 11:55:40+00:00,,0.0,0.0,0.0,
2024-04-01 06:00:00-05:00,2024-04-01 11:00:00+00:00,2024-04-01T07:00:00-05:00,2024-04-01 12:00:00+00:00,2024-03-25T07:55:36-05:00,2024-03-25 12:55:36+00:00,,0.0,0.0,0.0,
2024-04-01 07:00:00-05:00,2024-04-01 12:00:00+00:00,2024-04-01T08:00:00-05:00,2024-04-01 13:00:00+00:00,2024-03-25T08:55:35-05:00,2024-03-25 13:55:35+00:00,,199.5,235.4,183.4,
2024-04-01 08:00:00-05:00,2024-04-01 13:00:00+00:00,2024-04-01T09:00:00-05:00,2024-04-01 14:00:00+00:00,2024-03-25T09:55:28-05:00,2024-03-25 14:55:28+00:00,,2226.9,2688.3,2045.8,
2024-04-01 09:00:00-05:00,2024-04-01 14:00:00+00:00,2024-04-01T10:00:00-05:00,2024-04-01 15:00:00+00:00,2024-03-25T10:55:37-05:00,2024-03-25 15:55:37+00:00,,5486.6,6543.5,4847.5,
2024-04-01 10:00:00-05:00,2024-04-01 15:00:00+00:00,2024-04-01T11:00:00-05:00,2024-04-01 16:00:00+00:00,2024-03-25T11:55:29-05:00,2024-03-25 16:55:29+00:00,,7431.4,8968.0,6326.0,
2024-04-01 11:00:00-05:00,2024-04-01 16:00:00+00:00,2024-04-01T12:00:00-05:00,2024-04-01 17:00:00+00:00,2024-03-25T12:55:44-05:00,2024-03-25 17:55:44+00:00,,9198.1,11000.4,6901.7,
2024-04-01 12:00:00-05:00,2024-04-01 17:00:00+00:00,2024-04-01T13:00:00-05:00,2024-04-01 18:00:00+00:00,2024-03-25T13:55:34-05:00,2024-03-25 18:55:34+00:00,,10797.1,12887.0,8409.7,
2024-04-01 13:00:00-05:00,2024-04-01 18:00:00+00:00,2024-04-01T14:00:00-05:00,2024-04-01 19:00:00+00:00,2024-03-25T14:55:32-05:00,2024-03-25 19:55:32+00:00,,11480.8,13919.4,9731.3,
2024-04-01 14:00:00-05:00,2024-04-01 19:00:00+00:00,2024-04-01T15:00:00-05:00,2024-04-01 20:00:00+00:00,2024-03-25T15:55:42-05:00,2024-03-25 20:55:42+00:00,,11567.0,14103.1,9941.5,
2024-04-01 15:00:00-05:00,2024-04-01 20:00:00+00:00,2024-04-01T16:00:00-05:00,2024-04-01 21:00:00+00:00,2024-03-25T16:55:31-05:00,2024-03-25 21:55:31+00:00,,10852.9,13114.2,9063.5,
2024-04-01 16:00:00-05:00,2024-04-01 21:00:00+00:00,2024-04-01T17:00:00-05:00,2024-04-01 22:00:00+00:00,2024-03-25T17:55:31-05:00,2024-03-25 22:55:31+00:00,,9294.5,11292.8,7299.5,
2024-04-01 17:00:00-05:00,2024-04-01 22:00:00+00:00,2024-04-01T18:00:00-05:00,2024-04-01 23:00:00+00:00,2024-03-25T18:55:31-05:00,2024-03-25 23:55:31+00:00,,7578.8,9249.5,5336.2,
2024-04-01 18:00:00-05:00,2024-04-01 23:00:00+00:00,2024-04-01T19:00:00-05:00,2024-04-02 00:00:00+00:00,2024-03-25T19:55:43-05:00,2024-03-26 00:55:43+00:00,,4023.8,5085.8,2188.4,
2024-04-01 19:00:00-05:00,2024-04-02 00:00:00+00:00,2024-04-01T20:00:00-05:00,2024-04-02 01:00:00+00:00,2024-03-25T20:55:41-05:00,2024-03-26 01:55:41+00:00,,961.6,1357.9,523.4,
