interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,gen_system_wide,cop_hsl_system_wide,stppf_system_wide,pvgrpp_system_wide,hsl_system_wide
2024-08-01 00:00:00-05:00,2024-08-01 05:00:00+00:00,2024-08-01T01:00:00-05:00,2024-08-01 06:00:00+00:00,2024-07-25T01:55:08-05:00,2024-07-25 06:55:08+00:00,,0.0,0.0,0.0,
2024-08-01 01:00:00-05:00,2024-08-01 06:00:00+00:00,2024-08-01T02:00:00-05:00,2024-08-01 07:00:00+00:00,2024-07-25T02:55:08-05:00,2024-07-25 07:55:08+00:00,,0.0,0.0,0.0,
2024-08-01 02:00:00-05:00,2024-08-01 07:00:00+00:00,2024-08-01T03:00:00-05:00,2024-08-01 08:00:00+00:00,2024-07-25T03:55:10-05:00,2024-07-25 08:55:10+00:00,,0.0,0.0,0.0,
2024-08-01 03:00:00-05:00,2024-08-01 08:00:00+00:00,2024-08-01T04:00:00-05:00,2024-08-01 09:00:00+00:00,2024-07-25T04:55:15-05:00,2024-07-25 09:55:15+00:00,,0.0,0.0,0.0,
2024-08-01 04:00:00-05:00,2024-08-01 09:00:00+00:00,2024-08-01T05:00:00-05:00,2024-08-01 10:00:00+00:00,2024-07-25T05:55:11-05:00,2024-07-25 10:55:11+00:00,,0.0,0.0,0.0,
2024-08-01 05:00:00-05:00,2024-08-01 10:00:00+00:00,2024-08-01T06:00:00-05:00,2024-08-01 11:00:00+00:00,2024-07-25T06:55:12-05:00,2024-07-25 11:55:12+00:00,,0.0,0.0,0.0,
2024-08-01 06:00:00-05:00,2024-08-01 11:00:00+00:00,2024-08-01T07:00:00-05:00,2024-08-01 12:00:00+00:00,2024-07-25T07:55:09-05:00,2024-07-25 12:55:09+00:00,,21.3,24.6,19.7,
2024-08-01 07:00:00-05:00,2024-08-01 12:00:00+00:00,2024-08-01T08:00:00-05:00,2024-08-01 13:00:00+00:00,2024-07-25T08:55:13-05:00,2024-07-25 13:55:13+00:00,,2274.2,2810.8,2265.5,
2024-08-01 08:00:00-05:00,2024-08-01 13:00:00+00:00,2024-08-01T09:00:00-05:00,2024-08-01 14:00:00+00:00,2024-07-25T09:55:13-05:00,2024-07-25 14:55:13+00:00,,9333.9,12222.1,10346.7,
2024-08-01 09:00:00-05:00,2024-08-01 14:00:00+00:00,2024-08-01T10:00:00-05:00,2024-08-01 15:00:00+00:00,2024-07-25T10:55:11-05:00,2024-07-25 15:55:11+00:00,,13425.7,17957.1,15559.8,
2024-08-01 10:00:00-05:00,2024-08-01 15:00:00+00:00,2024-08-01T11:00:00-05:00,2024-08-01 16:00:00+00:00,2024-07-25T11:55:11-05:00,2024-07-25 16:55:11+00:00,,14748.7,19778.9,17176.2,
2024-08-01 11:00:00-05:00,2024-08-01 16:00:00+00:00,2024-08-01T12:00:00-05:00,2024-08-01 17:00:00+00:00,2024-07-25T12:55:10-05:00,2024-07-25 17:55:10+00:00,,15084.3,20161.7,16423.8,
2024-08-01 12:00:00-05:00,2024-08-01 17:00:00+00:00,2024-08-01T13:00:00-05:00,2024-08-01 18:00:00+00:00,2024-07-25T13:55:11-05:00,2024-07-25 18:55:11+00:00,,14931.9,19981.5,15935.6,
2024-08-01 13:00:00-05:00,2024-08-01 18:00:00+00:00,2024-08-01T14:00:00-05:00,2024-08-01 19:00:00+00:00,2024-07-25T14:55:14-05:00,2024-07-25 19:55:14+00:00,,15660.7,20890.7,17717.8,
2024-08-01 14:00:00-05:00,2024-08-01 19:00:00+00:00,2024-08-01T15:00:00-05:00,2024-08-01 20:00:00+00:00,2024-07-25T15:55:11-05:00,2024-07-25 20:55:11+00:00,,15684.6,20936.7,17908.2,
