interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,gen_system_wide,cop_hsl_system_wide,stppf_system_wide,pvgrpp_system_wide,hsl_system_wide
2024-12-01 00:00:00-06:00,2024-12-01 06:00:00+00:00,2024-12-01T01:00:00-06:00,2024-12-01 07:00:00+00:00,2024-11-24T01:55:07-06:00,2024-11-24 07:55:07+00:00,,0.0,0.0,0.0,
2024-12-01 01:00:00-06:00,2024-12-01 07:00:00+00:00,2024-12-01T02:00:00-06:00,2024-12-01 08:00:00+00:00,2024-11-24T02:55:07-06:00,2024-11-24 08:55:07+00:00,,0.0,0.0,0.0,
2024-12-01 02:00:00-06:00,2024-12-01 08:00:00+00:00,2024-12-01T03:00:00-06:00,2024-12-01 09:00:00+00:00,2024-11-24T03:55:07-06:00,2024-11-24 09:55:07+00:00,,0.0,0.0,0.0,
2024-12-01 03:00:00-06:00,2024-12-01 09:00:00+00:00,2024-12-01T04:00:00-06:00,2024-12-01 10:00:00+00:00,2024-11-24T04:55:07-06:00,2024-11-24 10:55:07+00:00,,0.0,0.0,0.0,
2024-12-01 04:00:00-06:00,2024-12-01 10:00:00+00:00,2024-12-01T05:00:00-06:00,2024-12-01 11:00:00+00:00,2024-11-24T05:55:07-06:00,2024-11-24 11:55:07+00:00,,0.0,0.0,0.0,
2024-12-01 05:00:00-06:00,2024-12-01 11:00:00+00:00,2024-12-01T06:00:00-06:00,2024-12-01 12:00:00+00:00,2024-11-24T06:55:08-06:00,2024-11-24 12:55:08+00:00,,0.0,0.0,0.0,
2024-12-01 06:00:00-06:00,2024-12-01 12:00:00+00:00,2024-12-01T07:00:00-06:00,2024-12-01 13:00:00+00:00,2024-11-24T07:55:08-06:00,2024-11-24 13:55:08+00:00,,0.0,0.0,0.0,
2024-12-01 07:00:00-06:00,2024-12-01 13:00:00+00:00,2024-12-01T08:00:00-06:00,2024-12-01 14:00:00+00:00,2024-11-24T08:55:07-06:00,2024-11-24 14:55:07+00:00,,543.7,654.4,437.5,
2024-12-01 08:00:00-06:00,2024-12-01 14:00:00+00:00,2024-12-01T09:00:00-06:00,2024-12-01 15:00:00+00:00,2024-11-24T09:55:07-06:00,2024-11-24 15:55:07+00:00,,4408.0,5276.7,3368.8,
2024-12-01 09:00:00-06:00,2024-12-01 15:00:00+00:00,2024-12-01T10:00:00-06:00,2024-12-01 16:00:00+00:00,2024-11-24T10:55:07-06:00,2024-11-24 16:55:07+00:00,,8154.1,9929.5,5517.1,
2024-12-01 10:00:00-06:00,2024-12-01 16:00:00+00:00,2024-12-01T11:00:00-06:00,2024-12-01 17:00:00+00:00,2024-11-24T11:55:07-06:00,2024-11-24 17:55:07+00:00,,9223.4,11343.2,5199.4,
2024-12-01 11:00:00-06:00,2024-12-01 17:00:00+00:00,2024-12-01T12:00:00-06:00,2024-12-01 18:00:00+00:00,2024-11-24T12:55:08-06:00,2024-11-24 18:55:08+00:00,,9609.2,11650.6,5559.8,
2024-12-01 12:00:00-06:00,2024-12-01 18:00:00+00:00,2024-12-01T13:00:00-06:00,2024-12-01 19:00:00+00:00,2024-11-24T13:55:07-06:00,2024-11-24 19:55:07+00:00,,9625.4,11739.9,6566.5,
2024-12-01 13:00:00-06:00,2024-12-01 19:00:00+00:00,2024-12-01T14:00:00-06:00,2024-12-01 20:00:00+00:00,2024-11-24T14:55:08-06:00,2024-11-24 20:55:08+00:00,,9346.5,11390.0,6290.4,
2024-12-01 14:00:00-06:00,2024-12-01 20:00:00+00:00,2024-12-01T15:00:00-06:00,2024-12-01 21:00:00+00:00,2024-11-24T15:55:09-06:00,2024-11-24 21:55:09+00:00,,8854.7,10805.3,5599.2,
2024-12-01 15:00:00-06:00,2024-12-01 21:00:00+00:00,2024-12-01T16:00:00-06:00,2024-12-01 22:00:00+00:00,2024-11-24T16:55:08-06:00,2024-11-24 22:55:08+00:00,,7395.9,9084.2,3927.6,
2024-12-01 16:00:00-06:00,2024-12-01 22:00:00+00:00,2024-12-01T17:00:00-06:00,2024-12-01 23:00:00+00:00,2024-11-24T17:55:07-06:00,2024-11-24 23:55:07+00:00,,3419.6,4216.4,923.3,
2024-12-01 17:00:00-06:00,2024-12-01 23:00:00+00:00,2024-12-01T18:00:00-06:00,2024-12-02 00:00:00+00:00,2024-11-24T18:55:08-06:00,2024-11-25 00:55:08+00:00,,286.3,356.7,4.4,
2024-12-01 18:00:00-06:00,2024-12-02 00:00:00+00:00,2024-12-01T19:00:00-06:00,2024-12-02 01:00:00+00:00,2024-11-24T19:55:07-06:00,2024-11-25 01:55:07+00:00,,0.0,0.0,0.0,
2024-12-01 19:00:00-06:00,2024-12-02 01:00:00+00:00,2024-12-01T20:00:00-06:00,2024-12-02 02:00:00+00:00,2024-11-24T20:55:08-06:00,2024-11-25 02:55:08+00:00,,0.0,0.0,0.0,
2024-12-01 20:00:00-06:00,2024-12-02 02:00:00+00:00,2024-12-01T21:00:00-06:00,2024-12-02 03:00:00+00:00,2024-11-24T21:55:08-06:00,2024-11-25 03:55:08+00:00,,0.0,0.0,0.0,
2024-12-01 21:00:00-06:00,2024-12-02 03:00:00+00:00,2024-12-01T22:00:00-06:00,2024-12-02 04:00:00+00:00,2024-11-24T22:55:08-06:00,2024-11-25 04:55:08+00:00,,0.0,0.0,0.0,
2024-12-01 22:00:00-06:00,2024-12-02 04:00:00+00:00,2024-12-01T23:00:00-06:00,2024-12-02 05:00:00+00:00,2024-11-24T23:55:08-06:00,2024-11-25 05:55:08+00:00,,0.0,0.0,0.0,
2024-12-01 23:00:00-06:00,2024-12-02 05:00:00+00:00,2024-12-02T00:00:00-06:00,2024-12-02 06:00:00+00:00,2024-11-25T00:55:08-06:00,2024-11-25 06:55:08+00:00,,0.0,0.0,0.0,
2024-12-02 00:00:00-06:00,2024-12-02 06:00:00+00:00,2024-12-02T01:00:00-06:00,2024-12-02 07:00:00+00:00,2024-11-25T01:55:07-06:00,2024-11-25 07:55:07+00:00,,0.0,0.0,0.0,
2024-12-02 01:00:00-06:00,2024-12-02 07:00:00+00:00,2024-12-02T02:00:00-06:00,2024-12-02 08:00:00+00:00,2024-11-25T02:55:07-06:00,2024-11-25 08:55:07+00:00,,0.0,0.0,0.0,
2024-12-02 02:00:00-06:00,2024-12-02 08:00:00+00:00,2024-12-02T03:00:00-06:00,2024-12-02 09:00:00+00:00,2024-11-25T03:55:07-06:00,2024-11-25 09:55:07+00:00,,0.0,0.0,0.0,
2024-12-02 03:00:00-06:00,2024-12-02 09:00:00+00:00,2024-12-02T04:00:00-06:00,2024-12-02 10:00:00+00:00,2024-11-25T04:55:08-06:00,2024-11-25 10:55:08+00:00,,0.0,0.0,0.0,
2024-12-02 04:00:00-06:00,2024-12-02 10:00:00+00:00,2024-12-02T05:00:00-06:00,2024-12-02 11:00:00+00:00,2024-11-25T05:55:07-06:00,2024-11-25 11:55:07+00:00,,0.0,0.0,0.0,
2024-12-02 05:00:00-06:00,2024-12-02 11:00:00+00:00,2024-12-02T06:00:00-06:00,2024-12-02 12:00:00+00:00,2024-11-25T06:55:08-06:00,2024-11-25 12:55:08+00:00,,0.0,0.0,0.0,
