interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,gen_system_wide,cop_hsl_system_wide,stppf_system_wide,pvgrpp_system_wide,hsl_system_wide
2024-02-01 00:00:00-06:00,2024-02-01 06:00:00+00:00,2024-02-01T01:00:00-06:00,2024-02-01 07:00:00+00:00,2024-01-25T01:55:33-06:00,2024-01-25 07:55:33+00:00,,0.0,0.0,0.0,
2024-02-01 01:00:00-06:00,2024-02-01 07:00:00+00:00,2024-02-01T02:00:00-06:00,2024-02-01 08:00:00+00:00,2024-01-25T02:55:33-06:00,2024-01-25 08:55:33+00:00,,0.0,0.0,0.0,
2024-02-01 02:00:00-06:00,2024-02-01 08:00:00+00:00,2024-02-01T03:00:00-06:00,2024-02-01 09:00:00+00:00,2024-01-25T03:55:34-06:00,2024-01-25 09:55:34+00:00,,0.0,0.0,0.0,
2024-02-01 03:00:00-06:00,2024-02-01 09:00:00+00:00,2024-02-01T04:00:00-06:00,2024-02-01 10:00:00+00:00,2024-01-25T04:55:30-06:00,2024-01-25 10:55:30+00:00,,0.0,0.0,0.0,
2024-02-01 04:00:00-06:00,2024-02-01 10:00:00+00:00,2024-02-01T05:00:00-06:00,2024-02-01 11:00:00+00:00,2024-01-25T05:55:37-06:00,2024-01-25 11:55:37+00:00,,0.0,0.0,0.0,
2024-02-01 05:00:00-06:00,2024-02-01 11:00:00+00:00,2024-02-01T06:00:00-06:00,2024-02-01 12:00:00+00:00,2024-01-25T06:55:32-06:00,2024-01-25 12:55:32+00:00,,0.0,0.0,0.0,
2024-02-01 06:00:00-06:00,2024-02-01 12:00:00+00:00,2024-02-01T07:00:00-06:00,2024-02-01 13:00:00+00:00,2024-01-25T07:55:33-06:00,2024-01-25 13:55:33+00:00,,0.0,0.0,0.0,
2024-02-01 07:00:00-06:00,2024-02-01 13:00:00+00:00,2024-02-01T08:00:00-06:00,2024-02-01 14:00:00+00:00,2024-01-25T08:55:28-06:00,2024-01-25 14:55:28+00:00,,195.8,232.8,156.4,
2024-02-01 08:00:00-06:00,2024-02-01 14:00:00+00:00,2024-02-01T09:00:00-06:00,2024-02-01 15:00:00+00:00,2024-01-25T09:55:33-06:00,2024-01-25 15:55:33+00:00,,3333.2,4055.1,2646.0,
2024-02-01 09:00:00-06:00,2024-02-01 15:00:00+00:00,2024-02-01T10:00:00-06:00,2024-02-01 16:00:00+00:00,2024-01-25T10:55:26-06:00,2024-01-25 16:55:26+00:00,,7692.0,9475.0,5690.8,
2024-02-01 10:00:00-06:00,2024-02-01 16:00:00+00:00,2024-02-01T11:00:00-06:00,2024-02-01 17:00:00+00:00,2024-01-25T11:55:32-06:00,2024-01-25 17:55:32+00:00,,9117.2,11036.7,5913.2,
2024-02-01 11:00:00-06:00,2024-02-01 17:00:00+00:00,2024-02-01T12:00:00-06:00,2024-02-01 18:00:00+00:00,2024-01-25T12:55:37-06:00,2024-01-25 18:55:37+00:00,,9136.6,11173.6,6223.0,
