interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,gen_system_wide,cop_hsl_system_wide,stppf_system_wide,pvgrpp_system_wide,hsl_system_wide
2024-07-01 00:00:00-05:00,2024-07-01 05:00:00+00:00,2024-07-01T01:00:00-05:00,2024-07-01 06:00:00+00:00,2024-06-24T01:55:11-05:00,2024-06-24 06:55:11+00:00,,0.0,0.0,0.0,
2024-07-01 01:00:00-05:00,2024-07-01 06:00:00+00:00,2024-07-01T02:00:00-05:00,2024-07-01 07:00:00+00:00,2024-06-24T02:55:11-05:00,2024-06-24 07:55:11+00:00,,0.0,0.0,0.0,
2024-07-01 02:00:00-05:00,2024-07-01 07:00:00+00:00,2024-07-01T03:00:00-05:00,2024-07-01 08:00:00+00:00,2024-06-24T03:55:10-05:00,2024-06-24 08:55:10+00:00,,0.0,0.0,0.0,
2024-07-01 03:00:00-05:00,2024-07-01 08:00:00+00:00,2024-07-01T04:00:00-05:00,2024-07-01 09:00:00+00:00,2024-06-24T04:55:09-05:00,2024-06-24 09:55:09+00:00,,0.0,0.0,0.0,
2024-07-01 04:00:00-05:00,2024-07-01 09:00:00+00:00,2024-07-01T05:00:00-05:00,2024-07-01 10:00:00+00:00,2024-06-24T05:55:12-05:00,2024-06-24 10:55:12+00:00,,0.0,0.0,0.0,
2024-07-01 05:00:00-05:00,2024-07-01 10:00:00+00:00,2024-07-01T06:00:00-05:00,2024-07-01 11:00:00+00:00,2024-06-24T06:55:09-05:00,2024-06-24 11:55:09+00:00,,0.0,0.0,0.0,
2024-07-01 06:00:00-05:00,2024-07-01 11:00:00+00:00,2024-07-01T07:00:00-05:00,2024-07-01 12:00:00+00:00,2024-06-24T07:55:08-05:00,2024-06-24 12:55:08+00:00,,115.3,150.4,119.9,
2024-07-01 07:00:00-05:00,2024-07-01 12:00:00+00:00,2024-07-01T08:00:00-05:00,2024-07-01 13:00:00+00:00,2024-06-24T08:55:09-05:00,2024-06-24 13:55:09+00:00,,3156.2,3980.6,3270.7,
2024-07-01 08:00:00-05:00,2024-07-01 13:00:00+00:00,2024-07-01T09:00:00-05:00,2024-07-01 14:00:00+00:00,2024-06-24T09:55:12-05:00,2024-06-24 14:55:12+00:00,,9709.4,12374.1,10666.5,
2024-07-01 09:00:00-05:00,2024-07-01 14:00:00+00:00,2024-07-01T10:00:00-05:00,2024-07-01 15:00:00+00:00,2024-06-24T10:55:16-05:00,2024-06-24 15:55:16+00:00,,12905.5,16661.9,14715.9,
