interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,gen_system_wide,cop_hsl_system_wide,stppf_system_wide,pvgrpp_system_wide,hsl_system_wide
2024-06-01 00:00:00-05:00,2024-06-01 05:00:00+00:00,2024-06-01T01:00:00-05:00,2024-06-01 06:00:00+00:00,2024-05-25T01:55:10-05:00,2024-05-25 06:55:10+00:00,,0.0,0.0,0.0,
2024-06-01 01:00:00-05:00,2024-06-01 06:00:00+00:00,2024-06-01T02:00:00-05:00,2024-06-01 07:00:00+00:00,2024-05-25T02:55:10-05:00,2024-05-25 07:55:10+00:00,,0.0,0.0,0.0,
2024-06-01 02:00:00-05:00,2024-06-01 07:00:00+00:00,2024-06-01T03:00:00-05:00,2024-06-01 08:00:00+00:00,2024-05-25T03:55:11-05:00,2024-05-25 08:55:11+00:00,,0.0,0.0,0.0,
2024-06-01 03:00:00-05:00,2024-06-01 08:00:00+00:00,2024-06-01T04:00:00-05:00,2024-06-01 09:00:00+00:00,2024-05-25T04:55:10-05:00,2024-05-25 09:55:10+00:00,,0.0,0.0,0.0,
2024-06-01 04:00:00-05:00,2024-06-01 09:00:00+00:00,2024-06-01T05:00:00-05:00,2024-06-01 10:00:00+00:00,2024-05-25T05:55:10-05:00,2024-05-25 10:55:10+00:00,,0.0,0.0,0.0,
2024-06-01 05:00:00-05:00,2024-06-01 10:00:00+00:00,2024-06-01T06:00:00-05:00,2024-06-01 11:00:00+00:00,2024-05-25T06:55:10-05:00,2024-05-25 11:55:10+00:00,,0.0,0.0,0.0,
2024-06-01 06:00:00-05:00,2024-06-01 11:00:00+00:00,2024-06-01T07:00:00-05:00,2024-06-01 12:00:00+00:00,2024-05-25T07:55:12-05:00,2024-05-25 12:55:12+00:00,,91.5,117.8,86.8,
2024-06-01 07:00:00-05:00,2024-06-01 12:00:00+00:00,2024-06-01T08:00:00-05:00,2024-06-01 13:00:00+00:00,2024-05-25T08:55:11-05:00,2024-05-25 13:55:11+00:00,,2037.7,2497.3,1766.7,
2024-06-01 08:00:00-05:00,2024-06-01 13:00:00+00:00,2024-06-01T09:00:00-05:00,2024-06-01 14:00:00+00:00,2024-05-25T09:55:14-05:00,2024-05-25 14:55:14+00:00,,5861.5,7421.6,5248.0,
2024-06-01 09:00:00-05:00,2024-06-01 14:00:00+00:00,2024-06-01T10:00:00-05:00,2024-06-01 15:00:00+00:00,2024-05-25T10:55:11-05:00,2024-05-25 15:55:11+00:00,,8321.6,10459.0,7522.9,
2024-06-01 10:00:00-05:00,2024-06-01 15:00:00+00:00,2024-06-01T11:00:00-05:00,2024-06-01 16:00:00+00:00,2024-05-25T11:55:11-05:00,2024-05-25 16:55:11+00:00,,9610.5,12341.4,8922.0,
2024-06-01 11:00:00-05:00,2024-06-01 16:00:00+00:00,2024-06-01T12:00:00-05:00,2024-06-01 17:00:00+00:00,2024-05-25T12:55:15-05:00,2024-05-25 17:55:15+00:00,,10692.6,13728.8,9126.9,
2024-06-01 12:00:00-05:00,2024-06-01 17:00:00+00:00,2024-06-01T13:00:00-05:00,2024-06-01 18:00:00+00:00,2024-05-25T13:55:14-05:00,2024-05-25 18:55:14+00:00,,10966.1,14059.7,9184.7,
2024-06-01 13:00:00-05:00,2024-06-01 18:00:00+00:00,2024-06-01T14:00:00-05:00,2024-06-01 19:00:00+00:00,2024-05-25T14:55:10-05:00,2024-05-25 19:55:10+00:00,,11856.8,15209.0,10821.1,
2024-06-01 14:00:00-05:00,2024-06-01 19:00:00+00:00,2024-06-01T15:00:00-05:00,2024-06-01 20:00:00+00:00,2024-05-25T15:55:10-05:00,2024-05-25 20:55:10+00:00,,11649.9,14989.7,10749.2,
2024-06-01 15:00:00-05:00,2024-06-01 20:00:00+00:00,2024-06-01T16:00:00-05:00,2024-06-01 21:00:00+00:00,2024-05-25T16:55:08-05:00,2024-05-25 21:55:08+00:00,,11249.9,14437.2,10135.7,
2024-06-01 16:00:00-05:00,2024-06-01 21:00:00+00:00,2024-06-01T17:00:00-05:00,2024-06-01 22:00:00+00:00,2024-05-25T17:55:13-05:00,2024-05-25 22:55:13+00:00,,10306.8,13322.9,8789.1,
2024-06-01 17:00:00-05:00,2024-06-01 22:00:00+00:00,2024-06-01T18:00:00-05:00,2024-06-01 23:00:00+00:00,2024-05-25T18:55:12-05:00,2024-05-25 23:55:12+00:00,,9327.1,12214.4,7518.3,
2024-06-01 18:00:00-05:00,2024-06-01 23:00:00+00:00,2024-06-01T19:00:00-05:00,2024-06-02 00:00:00+00:00,2024-05-25T19:55:11-05:00,2024-05-26 00:55:11+00:00,,6607.5,9015.4,4975.7,
2024-06-01 19:00:00-05:00,2024-06-02 00:00:00+00:00,2024-06-01T20:00:00-05:00,2024-06-02 01:00:00+00:00,2024-05-25T20:55:10-05:00,2024-05-26 01:55:10+00:00,,2799.3,4098.0,1831.7,
2024-06-01 20:00:00-05:00,2024-06-02 01:00:00+00:00,2024-06-01T21:00:00-05:00,2024-06-02 02:00:00+00:00,2024-05-25T21:55:11-05:00,2024-05-26 02:55:11+00:00,,277.2,391.0,229.4,
2024-06-01 21:00:00-05:00,2024-06-02 02:00:00+00:00,2024-06-01T22:00:00-05:00,2024-06-02 03:00:00+00:00,2024-05-25T22:55:11-05:00,2024-05-26 03:55:11+00:00,,0.0,0.0,0.0,
2024-06-01 22:00:00-05:00,2024-06-02 03:00:00+00:00,2024-06-01T23:00:00-05:00,2024-06-02 04:00:00+00:00,2024-05-25T23:55:12-05:00,2024-05-26 04:55:12+00:00,,0.0,0.0,0.0,
2024-06-01 23:00:00-05:00,2024-06-02 04:00:00+00:00,2024-06-02T00:00:00-05:00,2024-06-02 05:00:00+00:00,2024-05-26T00:55:12-05:00,2024-05-26 05:55:12+00:00,,0.0,0.0,0.0,
2024-06-02 00:00:00-05:00,2024-06-02 05:00:00+00:00,2024-06-02T01:00:00-05:00,2024-06-02 06:00:00+00:00,2024-05-26T01:55:08-05:00,2024-05-26 06:55:08+00:00,,0.0,0.0,0.0,
2024-06-02 01:00:00-05:00,2024-06-02 06:00:00+00:00,2024-06-02T02:00:00-05:00,2024-06-02 07:00:00+00:00,2024-05-26T02:55:14-05:00,2024-05-26 07:55:14+00:00,,0.0,0.0,0.0,
2024-06-02 02:00:00-05:00,2024-06-02 07:00:00+00:00,2024-06-02T03:00:00-05:00,2024-06-02 08:00:00+00:00,2024-05-26T03:55:12-05:00,2024-05-26 08:55:12+00:00,,0.0,0.0,0.0,
