interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,gen_system_wide,cop_hsl_system_wide,stppf_system_wide,pvgrpp_system_wide,hsl_system_wide
2024-03-01 00:00:00-06:00,2024-03-01 06:00:00+00:00,2024-03-01T01:00:00-06:00,2024-03-01 07:00:00+00:00,2024-02-23T01:55:35-06:00,2024-02-23 07:55:35+00:00,,0.0,0.0,0.0,
2024-03-01 01:00:00-06:00,2024-03-01 07:00:00+00:00,2024-03-01T02:00:00-06:00,2024-03-01 08:00:00+00:00,2024-02-23T02:55:33-06:00,2024-02-23 08:55:33+00:00,,0.0,0.0,0.0,
2024-03-01 02:00:00-06:00,2024-03-01 08:00:00+00:00,2024-03-01T03:00:00-06:00,2024-03-01 09:00:00+00:00,2024-02-23T03:55:29-06:00,2024-02-23 09:55:29+00:00,,0.0,0.0,0.0,
2024-03-01 03:00:00-06:00,2024-03-01 09:00:00+00:00,2024-03-01T04:00:00-06:00,2024-03-01 10:00:00+00:00,2024-02-23T04:55:35-06:00,2024-02-23 10:55:35+00:00,,0.0,0.0,0.0,
2024-03-01 04:00:00-06:00,2024-03-01 10:00:00+00:00,2024-03-01T05:00:00-06:00,2024-03-01 11:00:00+00:00,2024-02-23T05:55:33-06:00,2024-02-23 11:55:33+00:00,,0.0,0.0,0.0,
2024-03-01 05:00:00-06:00,2024-03-01 11:00:00+00:00,2024-03-01T06:00:00-06:00,2024-03-01 12:00:00+00:00,2024-02-23T06:55:36-06:00,2024-02-23 12:55:36+00:00,,0.0,0.0,0.0,
2024-03-01 06:00:00-06:00,2024-03-01 12:00:00+00:00,2024-03-01T07:00:00-06:00,2024-03-01 13:00:00+00:00,2024-02-23T07:55:33-06:00,2024-02-23 13:55:33+00:00,,3.4,3.6,2.9,
2024-03-01 07:00:00-06:00,2024-03-01 13:00:00+00:00,2024-03-01T08:00:00-06:00,2024-03-01 14:00:00+00:00,2024-02-23T08:55:30-06:00,2024-02-23 14:55:30+00:00,,1238.1,1579.1,1104.7,
2024-03-01 08:00:00-06:00,2024-03-01 14:00:00+00:00,2024-03-01T09:00:00-06:00,2024-03-01 15:00:00+00:00,2024-02-23T09:55:34-06:00,2024-02-23 15:55:34+00:00,,7393.5,9421.5,6589.3,
2024-03-01 09:00:00-06:00,2024-03-01 15:00:00+00:00,2024-03-01T10:00:00-06:00,2024-03-01 16:00:00+00:00,2024-02-23T10:55:32-06:00,2024-02-23 16:55:32+00:00,,11695.1,14918.1,10852.5,
2024-03-01 10:00:00-06:00,2024-03-01 16:00:00+00:00,2024-03-01T11:00:00-06:00,2024-03-01 17:00:00+00:00,2024-02-23T11:55:35-06:00,2024-02-23 17:55:35+00:00,,12552.0,15985.2,10786.0,
2024-03-01 11:00:00-06:00,2024-03-01 17:00:00+00:00,2024-03-01T12:00:00-06:00,2024-03-01 18:00:00+00:00,2024-02-23T12:55:41-06:00,2024-02-23 18:55:41+00:00,,12555.2,16083.1,11097.3,
2024-03-01 12:00:00-06:00,2024-03-01 18:00:00+00:00,2024-03-01T13:00:00-06:00,2024-03-01 19:00:00+00:00,2024-02-23T13:55:29-06:00,2024-02-23 19:55:29+00:00,,13447.0,17257.0,13058.0,
2024-03-01 13:00:00-06:00,2024-03-01 19:00:00+00:00,2024-03-01T14:00:00-06:00,2024-03-01 20:00:00+00:00,2024-02-23T14:55:35-06:00,2024-02-23 20:55:35+00:00,,12805.4,16511.8,12538.1,
2024-03-01 14:00:00-06:00,2024-03-01 20:00:00+00:00,2024-03-01T15:00:00-06:00,2024-03-01 21:00:00+00:00,2024-02-23T15:55:33-06:00,2024-02-23 21:55:33+00:00,,12624.6,16381.0,12280.0,
2024-03-01 15:00:00-06:00,2024-03-01 21:00:00+00:00,2024-03-01T16:00:00-06:00,2024-03-01 22:00:00+00:00,2024-02-23T16:55:32-06:00,2024-02-23 22:55:32+00:00,,12256.5,16059.8,11691.4,
2024-03-01 16:00:00-06:00,2024-03-01 22:00:00+00:00,2024-03-01T17:00:00-06:00,2024-03-01 23:00:00+00:00,2024-02-23T17:55:34-06:00,2024-02-23 23:55:34+00:00,,10958.9,14341.4,9801.6,
2024-03-01 17:00:00-06:00,2024-03-01 23:00:00+00:00,2024-03-01T18:00:00-06:00,2024-03-02 00:00:00+00:00,2024-02-23T18:55:35-06:00,2024-02-24 00:55:35+00:00,,5419.7,7062.7,3771.4,
2024-03-01 18:00:00-06:00,2024-03-02 00:00:00+00:00,2024-03-01T19:00:00-06:00,2024-03-02 01:00:00+00:00,2024-02-23T19:55:29-06:00,2024-02-24 01:55:29+00:00,,448.8,593.3,156.7,
2024-03-01 19:00:00-06:00,2024-03-02 01:00:00+00:00,2024-03-01T20:00:00-06:00,2024-03-02 02:00:00+00:00,2024-02-23T20:55:30-06:00,2024-02-24 02:55:30+00:00,,0.0,0.0,0.0,
2024-03-01 20:00:00-06:00,2024-03-02 02:00:00+00:00,2024-03-01T21:00:00-06:00,2024-03-02 03:00:00+00:00,2024-02-23T21:55:31-06:00,2024-02-24 03:55:31+00:00,,0.0,0.0,0.0,
2024-03-01 21:00:00-06:00,2024-03-02 03:00:00+00:00,2024-03-01T22:00:00-06:00,2024-03-02 04:00:00+00:00,2024-02-23T22:55:34-06:00,2024-02-24 04:55:34+00:00,,0.0,0.0,0.0,
2024-03-01 22:00:00-06:00,2024-03-02 04:00:00+00:00,2024-03-01T23:00:00-06:00,2024-03-02 05:00:00+00:00,2024-02-23T23:55:36-06:00,2024-02-24 05:55:36+00:00,,0.0,0.0,0.0,
2024-03-01 23:00:00-06:00,2024-03-02 05:00:00+00:00,2024-03-02T00:00:00-06:00,2024-03-02 06:00:00+00:00,2024-02-24T00:55:35-06:00,2024-02-24 06:55:35+00:00,,0.0,0.0,0.0,
2024-03-02 00:00:00-06:00,2024-03-02 06:00:00+00:00,2024-03-02T01:00:00-06:00,2024-03-02 07:00:00+00:00,2024-02-24T01:55:33-06:00,2024-02-24 07:55:33+00:00,,0.0,0.0,0.0,
2024-03-02 01:00:00-06:00,2024-03-02 07:00:00+00:00,2024-03-02T02:00:00-06:00,2024-03-02 08:00:00+00:00,2024-02-24T02:55:32-06:00,2024-02-24 08:55:32+00:00,,0.0,0.0,0.0,
2024-03-02 02:00:00-06:00,2024-03-02 08:00:00+00:00,2024-03-02T03:00:00-06:00,2024-03-02 09:00:00+00:00,2024-02-24T03:55:42-06:00,2024-02-24 09:55:42+00:00,,0.0,0.0,0.0,
2024-03-02 03:00:00-06:00,2024-03-02 09:00:00+00:00,2024-03-02T04:00:00-06:00,2024-03-02 10:00:00+00:00,2024-02-24T04:55:30-06:00,2024-02-24 10:55:30+00:00,,0.0,0.0,0.0,
