interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,gen_system_wide,cop_hsl_system_wide,stppf_system_wide,pvgrpp_system_wide,hsl_system_wide
2024-05-01 00:00:00-05:00,2024-05-01 05:00:00+00:00,2024-05-01T01:00:00-05:00,2024-05-01 06:00:00+00:00,2024-04-24T01:55:43-05:00,2024-04-24 06:55:43+00:00,,0.0,0.0,0.0,
2024-05-01 01:00:00-05:00,2024-05-01 06:00:00+00:00,2024-05-01T02:00:00-05:00,2024-05-01 07:00:00+00:00,2024-04-24T02:55:36-05:00,2024-04-24 07:55:36+00:00,,0.0,0.0,0.0,
2024-05-01 02:00:00-05:00,2024-05-01 07:00:00+00:00,2024-05-01T03:00:00-05:00,2024-05-01 08:00:00+00:00,2024-04-24T03:55:41-05:00,2024-04-24 08:55:41+00:00,,0.0,0.0,0.0,
2024-05-01 03:00:00-05:00,2024-05-01 08:00:00+00:00,2024-05-01T04:00:00-05:00,2024-05-01 09:00:00+00:00,2024-04-24T04:55:41-05:00,2024-04-24 09:55:41+00:00,,0.0,0.0,0.0,
2024-05-01 04:00:00-05:00,2024-05-01 09:00:00+00:00,2024-05-01T05:00:00-05:00,2024-05-01 10:00:00+00:00,2024-04-24T05:55:49-05:00,2024-04-24 10:55:49+00:00,,0.0,0.0,0.0,
2024-05-01 05:00:00-05:00,2024-05-01 10:00:00+00:00,2024-05-01T06:00:00-05:00,2024-05-01 11:00:00+00:00,2024-04-24T06:55:42-05:00,2024-04-24 11:55:42+00:00,,0.0,0.0,0.0,
2024-05-01 06:00:00-05:00,2024-05-01 11:00:00+00:00,2024-05-01T07:00:00-05:00,2024-05-01 12:00:00+00:00,2024-04-24T07:55:42-05:00,2024-04-24 12:55:42+00:00,,20.5,25.2,19.5,
2024-05-01 07:00:00-05:00,2024-05-01 12:00:00+00:00,2024-05-01T08:00:00-05:00,2024-05-01 13:00:00+00:00,2024-04-24T08:55:45-05:00,2024-04-24 13:55:45+00:00,,1148.1,1442.5,1064.5,
2024-05-01 08:00:00-05:00,2024-05-01 13:00:00+00:00,2024-05-01T09:00:00-05:00,2024-05-01 14:00:00+00:00,2024-04-24T09:55:35-05:00,2024-04-24 14:55:35+00:00,,4458.4,5606.6,4073.2,
2024-05-01 09:00:00-05:00,2024-05-01 14:00:00+00:00,2024-05-01T10:00:00-05:00,2024-05-01 15:00:00+00:00,2024-04-24T10:55:52-05:00,2024-04-24 15:55:52+00:00,,6843.8,8668.5,6301.9,
