interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,gen_system_wide,cop_hsl_system_wide,stppf_system_wide,pvgrpp_system_wide,hsl_system_wide
2024-11-01 00:00:00-05:00,2024-11-01 05:00:00+00:00,2024-11-01T01:00:00-05:00,2024-11-01 06:00:00+00:00,2024-10-25T01:55:08-05:00,2024-10-25 06:55:08+00:00,,0.0,0.0,0.0,
2024-11-01 01:00:00-05:00,2024-11-01 06:00:00+00:00,2024-11-01T02:00:00-05:00,2024-11-01 07:00:00+00:00,2024-10-25T02:55:09-05:00,2024-10-25 07:55:09+00:00,,0.0,0.0,0.0,
2024-11-01 02:00:00-05:00,2024-11-01 07:00:00+00:00,2024-11-01T03:00:00-05:00,2024-11-01 08:00:00+00:00,2024-10-25T03:55:08-05:00,2024-10-25 08:55:08+00:00,,0.0,0.0,0.0,
2024-11-01 03:00:00-05:00,2024-11-01 08:00:00+00:00,2024-11-01T04:00:00-05:00,2024-11-01 09:00:00+00:00,2024-10-25T04:55:07-05:00,2024-10-25 09:55:07+00:00,,0.0,0.0,0.0,
2024-11-01 04:00:00-05:00,2024-11-01 09:00:00+00:00,2024-11-01T05:00:00-05:00,2024-11-01 10:00:00+00:00,2024-10-25T05:55:07-05:00,2024-10-25 10:55:07+00:00,,0.0,0.0,0.0,
2024-11-01 05:00:00-05:00,2024-11-01 10:00:00+00:00,2024-11-01T06:00:00-05:00,2024-11-01 11:00:00+00:00,2024-10-25T06:55:07-05:00,2024-10-25 11:55:07+00:00,,0.0,0.0,0.0,
2024-11-01 06:00:00-05:00,2024-11-01 11:00:00+00:00,2024-11-01T07:00:00-05:00,2024-11-01 12:00:00+00:00,2024-10-25T07:55:08-05:00,2024-10-25 12:55:08+00:00,,0.0,0.0,0.0,
2024-11-01 07:00:00-05:00,2024-11-01 12:00:00+00:00,2024-11-01T08:00:00-05:00,2024-11-01 13:00:00+00:00,2024-10-25T08:55:09-05:00,2024-10-25 13:55:09+00:00,,30.9,35.2,27.0,
2024-11-01 08:00:00-05:00,2024-11-01 13:00:00+00:00,2024-11-01T09:00:00-05:00,2024-11-01 14:00:00+00:00,2024-10-25T09:55:08-05:00,2024-10-25 14:55:08+00:00,,1750.3,2050.4,1475.1,
2024-11-01 09:00:00-05:00,2024-11-01 14:00:00+00:00,2024-11-01T10:00:00-05:00,2024-11-01 15:00:00+00:00,2024-10-25T10:55:08-05:00,2024-10-25 15:55:08+00:00,,5691.3,6796.4,4716.8,
2024-11-01 10:00:00-05:00,2024-11-01 15:00:00+00:00,2024-11-01T11:00:00-05:00,2024-11-01 16:00:00+00:00,2024-10-25T11:55:08-05:00,2024-10-25 16:55:08+00:00,,8313.8,9986.4,6507.3,
2024-11-01 11:00:00-05:00,2024-11-01 16:00:00+00:00,2024-11-01T12:00:00-05:00,2024-11-01 17:00:00+00:00,2024-10-25T12:55:08-05:00,2024-10-25 17:55:08+00:00,,9475.8,11477.5,6423.4,
2024-11-01 12:00:00-05:00,2024-11-01 17:00:00+00:00,2024-11-01T13:00:00-05:00,2024-11-01 18:00:00+00:00,2024-10-25T13:55:08-05:00,2024-10-25 18:55:08+00:00,,9148.5,11094.1,5965.7,
