interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,gen_system_wide,cop_hsl_system_wide,stppf_system_wide,pvgrpp_system_wide,hsl_system_wide
2024-10-01 00:00:00-05:00,2024-10-01 05:00:00+00:00,2024-10-01T01:00:00-05:00,2024-10-01 06:00:00+00:00,2024-09-24T01:55:08-05:00,2024-09-24 06:55:08+00:00,,0.0,0.0,0.0,
2024-10-01 01:00:00-05:00,2024-10-01 06:00:00+00:00,2024-10-01T02:00:00-05:00,2024-10-01 07:00:00+00:00,2024-09-24T02:55:09-05:00,2024-09-24 07:55:09+00:00,,0.0,0.0,0.0,
2024-10-01 02:00:00-05:00,2024-10-01 07:00:00+00:00,2024-10-01T03:00:00-05:00,2024-10-01 08:00:00+00:00,2024-09-24T03:55:07-05:00,2024-09-24 08:55:07+00:00,,0.0,0.0,0.0,
2024-10-01 03:00:00-05:00,2024-10-01 08:00:00+00:00,2024-10-01T04:00:00-05:00,2024-10-01 09:00:00+00:00,2024-09-24T04:55:08-05:00,2024-09-24 09:55:08+00:00,,0.0,0.0,0.0,
2024-10-01 04:00:00-05:00,2024-10-01 09:00:00+00:00,2024-10-01T05:00:00-05:00,2024-10-01 10:00:00+00:00,2024-09-24T05:55:07-05:00,2024-09-24 10:55:07+00:00,,0.0,0.0,0.0,
2024-10-01 05:00:00-05:00,2024-10-01 10:00:00+00:00,2024-10-01T06:00:00-05:00,2024-10-01 11:00:00+00:00,2024-09-24T06:55:07-05:00,2024-09-24 11:55:07+00:00,,0.0,0.0,0.0,
2024-10-01 06:00:00-05:00,2024-10-01 11:00:00+00:00,2024-10-01T07:00:00-05:00,2024-10-01 12:00:00+00:00,2024-09-24T07:55:07-05:00,2024-09-24 12:55:07+00:00,,0.0,0.0,0.0,
2024-10-01 07:00:00-05:00,2024-10-01 12:00:00+00:00,2024-10-01T08:00:00-05:00,2024-10-01 13:00:00+00:00,2024-09-24T08:55:08-05:00,2024-09-24 13:55:08+00:00,,393.7,483.8,384.7,
2024-10-01 08:00:00-05:00,2024-10-01 13:00:00+00:00,2024-10-01T09:00:00-05:00,2024-10-01 14:00:00+00:00,2024-09-24T09:55:07-05:00,2024-09-24 14:55:07+00:00,,5939.4,7628.7,6358.2,
2024-10-01 09:00:00-05:00,2024-10-01 14:00:00+00:00,2024-10-01T10:00:00-05:00,2024-10-01 15:00:00+00:00,2024-09-24T10:55:07-05:00,2024-09-24 15:55:07+00:00,,12992.4,17009.5,14590.5,
2024-10-01 10:00:00-05:00,2024-10-01 15:00:00+00:00,2024-10-01T11:00:00-05:00,2024-10-01 16:00:00+00:00,2024-09-24T11:55:07-05:00,2024-09-24 16:55:07+00:00,,14900.7,19588.2,16830.9,
2024-10-01 11:00:00-05:00,2024-10-01 16:00:00+00:00,2024-10-01T12:00:00-05:00,2024-10-01 17:00:00+00:00,2024-09-24T12:55:07-05:00,2024-09-24 17:55:07+00:00,,15386.9,20154.5,16291.1,
2024-10-01 12:00:00-05:00,2024-10-01 17:00:00+00:00,2024-10-01T13:00:00-05:00,2024-10-01 18:00:00+00:00,2024-09-24T13:55:07-05:00,2024-09-24 18:55:07+00:00,,15571.8,20474.8,17271.9,
2024-10-01 13:00:00-05:00,2024-10-01 18:00:00+00:00,2024-10-01T14:00:00-05:00,2024-10-01 19:00:00+00:00,2024-09-24T14:55:07-05:00,2024-09-24 19:55:07+00:00,,16086.5,21106.2,17889.0,
2024-10-01 14:00:00-05:00,2024-10-01 19:00:00+00:00,2024-10-01T15:00:00-05:00,2024-10-01 20:00:00+00:00,2024-09-24T15:55:06-05:00,2024-09-24 20:55:06+00:00,,16281.4,21287.7,18032.6,
2024-10-01 15:00:00-05:00,2024-10-01 20:00:00+00:00,2024-10-01T16:00:00-05:00,2024-10-01 21:00:00+00:00,2024-09-24T16:55:07-05:00,2024-09-24 21:55:07+00:00,,16464.0,21488.8,18128.4,
