interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,gen_system_wide,cop_hsl_system_wide,stppf_system_wide,pvgrpp_system_wide,hsl_system_wide
2024-09-01 00:00:00-05:00,2024-09-01 05:00:00+00:00,2024-09-01T01:00:00-05:00,2024-09-01 06:00:00+00:00,2024-08-25T01:55:07-05:00,2024-08-25 06:55:07+00:00,,0.0,0.0,0.0,
2024-09-01 01:00:00-05:00,2024-09-01 06:00:00+00:00,2024-09-01T02:00:00-05:00,2024-09-01 07:00:00+00:00,2024-08-25T02:55:08-05:00,2024-08-25 07:55:08+00:00,,0.0,0.0,0.0,
2024-09-01 02:00:00-05:00,2024-09-01 07:00:00+00:00,2024-09-01T03:00:00-05:00,2024-09-01 08:00:00+00:00,2024-08-25T03:55:06-05:00,2024-08-25 08:55:06+00:00,,0.0,0.0,0.0,
2024-09-01 03:00:00-05:00,2024-09-01 08:00:00+00:00,2024-09-01T04:00:00-05:00,2024-09-01 09:00:00+00:00,2024-08-25T04:55:07-05:00,2024-08-25 09:55:07+00:00,,0.0,0.0,0.0,
2024-09-01 04:00:00-05:00,2024-09-01 09:00:00+00:00,2024-09-01T05:00:00-05:00,2024-09-01 10:00:00+00:00,2024-08-25T05:55:07-05:00,2024-08-25 10:55:07+00:00,,0.0,0.0,0.0,
2024-09-01 05:00:00-05:00,2024-09-01 10:00:00+00:00,2024-09-01T06:00:00-05:00,2024-09-01 11:00:00+00:00,2024-08-25T06:55:06-05:00,2024-08-25 11:55:06+00:00,,0.0,0.0,0.0,
2024-09-01 06:00:00-05:00,2024-09-01 11:00:00+00:00,2024-09-01T07:00:00-05:00,2024-09-01 12:00:00+00:00,2024-08-25T07:55:06-05:00,2024-08-25 12:55:06+00:00,,0.0,0.0,0.0,
2024-09-01 07:00:00-05:00,2024-09-01 12:00:00+00:00,2024-09-01T08:00:00-05:00,2024-09-01 13:00:00+00:00,2024-08-25T08:55:07-05:00,2024-08-25 13:55:07+00:00,,701.3,874.1,657.3,
2024-09-01 08:00:00-05:00,2024-09-01 13:00:00+00:00,2024-09-01T09:00:00-05:00,2024-09-01 14:00:00+00:00,2024-08-25T09:55:07-05:00,2024-08-25 14:55:07+00:00,,4847.0,6280.7,4539.9,
2024-09-01 09:00:00-05:00,2024-09-01 14:00:00+00:00,2024-09-01T10:00:00-05:00,2024-09-01 15:00:00+00:00,2024-08-25T10:55:07-05:00,2024-08-25 15:55:07+00:00,,8993.5,11705.5,8364.6,
2024-09-01 10:00:00-05:00,2024-09-01 15:00:00+00:00,2024-09-01T11:00:00-05:00,2024-09-01 16:00:00+00:00,2024-08-25T11:55:08-05:00,2024-08-25 16:55:08+00:00,,11129.5,14404.8,10181.8,
2024-09-01 11:00:00-05:00,2024-09-01 16:00:00+00:00,2024-09-01T12:00:00-05:00,2024-09-01 17:00:00+00:00,2024-08-25T12:55:07-05:00,2024-08-25 17:55:07+00:00,,12185.1,15865.5,10288.6,
2024-09-01 12:00:00-05:00,2024-09-01 17:00:00+00:00,2024-09-01T13:00:00-05:00,2024-09-01 18:00:00+00:00,2024-08-25T13:55:07-05:00,2024-08-25 18:55:07+00:00,,12791.0,16611.0,11038.1,
2024-09-01 13:00:00-05:00,2024-09-01 18:00:00+00:00,2024-09-01T14:00:00-05:00,2024-09-01 19:00:00+00:00,2024-08-25T14:55:07-05:00,2024-08-25 19:55:07+00:00,,11093.1,14557.5,9539.6,
2024-09-01 14:00:00-05:00,2024-09-01 19:00:00+00:00,2024-09-01T15:00:00-05:00,2024-09-01 20:00:00+00:00,2024-08-25T15:55:07-05:00,2024-08-25 20:55:07+00:00,,10934.8,14416.6,9420.8,
2024-09-01 15:00:00-05:00,2024-09-01 20:00:00+00:00,2024-09-01T16:00:00-05:00,2024-09-01 21:00:00+00:00,2024-08-25T16:55:07-05:00,2024-08-25 21:55:07+00:00,,10075.5,13226.1,8382.4,
2024-09-01 16:00:00-05:00,2024-09-01 21:00:00+00:00,2024-09-01T17:00:00-05:00,2024-09-01 22:00:00+00:00,2024-08-25T17:55:08-05:00,2024-08-25 22:55:08+00:00,,8409.5,10959.1,6368.6,
2024-09-01 17:00:00-05:00,2024-09-01 22:00:00+00:00,2024-09-01T18:00:00-05:00,2024-09-01 23:00:00+00:00,2024-08-25T18:55:07-05:00,2024-08-25 23:55:07+00:00,,6632.0,8588.2,4305.5,
2024-09-01 18:00:00-05:00,2024-09-01 23:00:00+00:00,2024-09-01T19:00:00-05:00,2024-09-02 00:00:00+00:00,2024-08-25T19:55:07-05:00,2024-08-26 00:55:07+00:00,,3340.7,4536.7,1504.2,
2024-09-01 19:00:00-05:00,2024-09-02 00:00:00+00:00,2024-09-01T20:00:00-05:00,2024-09-02 01:00:00+00:00,2024-08-25T20:55:09-05:00,2024-08-26 01:55:09+00:00,,938.5,1394.9,408.0,
2024-09-01 20:00:00-05:00,2024-09-02 01:00:00+00:00,2024-09-01T21:00:00-05:00,2024-09-02 02:00:00+00:00,2024-08-25T21:55:07-05:00,2024-08-26 02:55:07+00:00,,7.1,8.5,3.1,
2024-09-01 21:00:00-05:00,2024-09-02 02:00:00+00:00,2024-09-01T22:00:00-05:00,2024-09-02 03:00:00+00:00,2024-08-25T22:55:08-05:00,2024-08-26 03:55:08+00:00,,0.0,0.0,0.0,
2024-09-01 22:00:00-05:00,2024-09-02 03:00:00+00:00,2024-09-01T23:00:00-05:00,2024-09-02 04:00:00+00:00,2024-08-25T23:55:07-05:00,2024-08-26 04:55:07+00:00,,0.0,0.0,0.0,
2024-09-01 23:00:00-05:00,2024-09-02 04:00:00+00:00,2024-09-02T00:00:00-05:00,2024-09-02 05:00:00+00:00,2024-08-26T00:55:07-05:00,2024-08-26 05:55:07+00:00,,0.0,0.0,0.0,
2024-09-02 00:00:00-05:00,2024-09-02 05:00:00+00:00,2024-09-02T01:00:00-05:00,2024-09-02 06:00:00+00:00,2024-08-26T01:55:07-05:00,2024-08-26 06:55:07+00:00,,0.0,0.0,0.0,
2024-09-02 01:00:00-05:00,2024-09-02 06:00:00+00:00,2024-09-02T02:00:00-05:00,2024-09-02 07:00:00+00:00,2024-08-26T02:55:08-05:00,2024-08-26 07:55:08+00:00,,0.0,0.0,0.0,
2024-09-02 02:00:00-05:00,2024-09-02 07:00:00+00:00,2024-09-02T03:00:00-05:00,2024-09-02 08:00:00+00:00,2024-08-26T03:55:09-05:00,2024-08-26 08:55:09+00:00,,0.0,0.0,0.0,
2024-09-02 03:00:00-05:00,2024-09-02 08:00:00+00:00,2024-09-02T04:00:00-05:00,2024-09-02 09:00:00+00:00,2024-08-26T04:55:08-05:00,2024-08-26 09:55:08+00:00,,0.0,0.0,0.0,
2024-09-02 04:00:00-05:00,2024-09-02 09:00:00+00:00,2024-09-02T05:00:00-05:00,2024-09-02 10:00:00+00:00,2024-08-26T05:55:07-05:00,2024-08-26 10:55:07+00:00,,0.0,0.0,0.0,
2024-09-02 05:00:00-05:00,2024-09-02 10:00:00+00:00,2024-09-02T06:00:00-05:00,2024-09-02 11:00:00+00:00,2024-08-26T06:55:09-05:00,2024-08-26 11:55:09+00:00,,0.0,0.0,0.0,
2024-09-02 06:00:00-05:00,2024-09-02 11:00:00+00:00,2024-09-02T07:00:00-05:00,2024-09-02 12:00:00+00:00,2024-08-26T07:55:07-05:00,2024-08-26 12:55:07+00:00,,0.0,0.0,0.0,
2024-09-02 07:00:00-05:00,2024-09-02 12:00:00+00:00,2024-09-02T08:00:00-05:00,2024-09-02 13:00:00+00:00,2024-08-26T08:55:07-05:00,2024-08-26 13:55:07+00:00,,556.9,675.8,483.9,
2024-09-02 08:00:00-05:00,2024-09-02 13:00:00+00:00,2024-09-02T09:00:00-05:00,2024-09-02 14:00:00+00:00,2024-08-26T09:55:06-05:00,2024-08-26 14:55:06+00:00,,3952.6,4983.5,3394.0,
2024-09-02 09:00:00-05:00,2024-09-02 14:00:00+00:00,2024-09-02T10:00:00-05:00,2024-09-02 15:00:00+00:00,2024-08-26T10:55:06-05:00,2024-08-26 15:55:06+00:00,,7540.1,9621.2,6436.0,
2024-09-02 10:00:00-05:00,2024-09-02 15:00:00+00:00,2024-09-02T11:00:00-05:00,2024-09-02 16:00:00+00:00,2024-08-26T11:55:06-05:00,2024-08-26 16:55:06+00:00,,9879.7,12644.0,8185.5,
2024-09-02 11:00:00-05:00,2024-09-02 16:00:00+00:00,2024-09-02T12:00:00-05:00,2024-09-02 17:00:00+00:00,2024-08-26T12:55:06-05:00,2024-08-26 17:55:06+00:00,,10988.7,14051.3,8093.3,
2024-09-02 12:00:00-05:00,2024-09-02 17:00:00+00:00,2024-09-02T13:00:00-05:00,2024-09-02 18:00:00+00:00,2024-08-26T13:55:06-05:00,2024-08-26 18:55:06+00:00,,10880.3,13736.5,7770.7,
2024-09-02 13:00:00-05:00,2024-09-02 18:00:00+00:00,2024-09-02T14:00:00-05:00,2024-09-02 19:00:00+00:00,2024-08-26T14:55:06-05:00,2024-08-26 19:55:06+00:00,,10784.8,13666.0,8538.7,
2024-09-02 14:00:00-05:00,2024-09-02 19:00:00+00:00,2024-09-02T15:00:00-05:00,2024-09-02 20:00:00+00:00,2024-08-26T15:55:06-05:00,2024-08-26 20:55:06+00:00,,10391.8,13171.1,8201.3,
2024-09-02 15:00:00-05:00,2024-09-02 20:00:00+00:00,2024-09-02T16:00:00-05:00,2024-09-02 21:00:00+00:00,2024-08-26T16:55:09-05:00,2024-08-26 21:55:09+00:00,,9369.0,11896.7,7235.4,
2024-09-02 16:00:00-05:00,2024-09-02 21:00:00+00:00,2024-09-02T17:00:00-05:00,2024-09-02 22:00:00+00:00,2024-08-26T17:55:07-05:00,2024-08-26 22:55:07+00:00,,7897.2,10062.1,5644.4,
2024-09-02 17:00:00-05:00,2024-09-02 22:00:00+00:00,2024-09-02T18:00:00-05:00,2024-09-02 23:00:00+00:00,2024-08-26T18:55:06-05:00,2024-08-26 23:55:06+00:00,,5948.3,7517.4,3505.4,
2024-09-02 18:00:00-05:00,2024-09-02 23:00:00+00:00,2024-09-02T19:00:00-05:00,2024-09-03 00:00:00+00:00,2024-08-26T19:55:07-05:00,2024-08-27 00:55:07+00:00,,3118.1,4213.0,1264.5,
2024-09-02 19:00:00-05:00,2024-09-03 00:00:00+00:00,2024-09-02T20:00:00-05:00,2024-09-03 01:00:00+00:00,2024-08-26T20:55:07-05:00,2024-08-27 01:55:07+00:00,,838.5,1239.9,263.8,
2024-09-02 20:00:00-05:00,2024-09-03 01:00:00+00:00,2024-09-02T21:00:00-05:00,2024-09-03 02:00:00+00:00,2024-08-26T21:55:07-05:00,2024-08-27 02:55:07+00:00,,4.5,5.1,1.0,
2024-09-02 21:00:00-05:00,2024-09-03 02:00:00+00:00,2024-09-02T22:00:00-05:00,2024-09-03 03:00:00+00:00,2024-08-26T22:55:06-05:00,2024-08-27 03:55:06+00:00,,0.0,0.0,0.0,
2024-09-02 22:00:00-05:00,2024-09-03 03:00:00+00:00,2024-09-02T23:00:00-05:00,2024-09-03 04:00:00+00:00,2024-08-26T23:55:07-05:00,2024-08-27 04:55:07+00:00,,0.0,0.0,0.0,
