interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,gen_system_wide,cop_hsl_system_wide,stppf_system_wide,pvgrpp_system_wide,hsl_system_wide
2024-01-01 00:00:00-06:00,2024-01-01 06:00:00+00:00,2024-01-01 01:00:00-06:00,2024-01-01 07:00:00+00:00,2023-12-25T01:55:37-06:00,2023-12-25 07:55:37+00:00,,2.4000000000000004,0.0,0.0,
2024-01-01 01:00:00-06:00,2024-01-01 07:00:00+00:00,2024-01-01 02:00:00-06:00,2024-01-01 08:00:00+00:00,2023-12-25T02:55:58-06:00,2023-12-25 08:55:58+00:00,,110.1975806451613,0.0,0.0,
2024-01-01 02:00:00-06:00,2024-01-01 08:00:00+00:00,2024-01-01 03:00:00-06:00,2024-01-01 09:00:00+00:00,2023-12-25T03:55:40-06:00,2023-12-25 09:55:40+00:00,,2.4195121951219516,0.0,0.0,
2024-01-01 03:00:00-06:00,2024-01-01 09:00:00+00:00,2024-01-01 04:00:00-06:00,2024-01-01 10:00:00+00:00,2023-12-25T04:55:40-06:00,2023-12-25 10:55:40+00:00,,2.4000000000000004,0.0,0.0,
2024-01-01 04:00:00-06:00,2024-01-01 10:00:00+00:00,2024-01-01 05:00:00-06:00,2024-01-01 11:00:00+00:00,2023-12-25T05:55:38-06:00,2023-12-25 11:55:38+00:00,,2.4000000000000004,0.0,0.0,
2024-01-01 05:00:00-06:00,2024-01-01 11:00:00+00:00,2024-01-01 06:00:00-06:00,2024-01-01 12:00:00+00:00,2023-12-25T06:55:34-06:00,2023-12-25 12:55:34+00:00,,2.4000000000000004,0.0,0.0,
2024-01-01 06:00:00-06:00,2024-01-01 12:00:00+00:00,2024-01-01 07:00:00-06:00,2024-01-01 13:00:00+00:00,2023-12-25T07:55:37-06:00,2023-12-25 13:55:37+00:00,,24.635483870967743,28.442741935483873,21.3491935483871,
2024-01-01 07:00:00-06:00,2024-01-01 13:00:00+00:00,2024-01-01 08:00:00-06:00,2024-01-01 14:00:00+00:00,2023-12-25T08:55:39-06:00,2023-12-25 14:55:39+00:00,,1094.5580645161292,1351.226612903226,992.8153225806452,
2024-01-01 08:00:00-06:00,2024-01-01 14:00:00+00:00,2024-01-01 09:00:00-06:00,2024-01-01 15:00:00+00:00,2023-12-25T09:55:43-06:00,2023-12-25 15:55:43+00:00,,5581.3153225806445,6968.542741935485,5163.854032258065,
2024-01-01 09:00:00-06:00,2024-01-01 15:00:00+00:00,2024-01-01 10:00:00-06:00,2024-01-01 16:00:00+00:00,2023-12-25T10:55:35-06:00,2023-12-25 16:55:35+00:00,,9673.254838709678,12138.416129032259,8984.383064516129,
2024-01-01 10:00:00-06:00,2024-01-01 16:00:00+00:00,2024-01-01 11:00:00-06:00,2024-01-01 17:00:00+00:00,2023-12-25T11:55:38-06:00,2023-12-25 17:55:38+00:00,,11040.08306451613,13861.362096774194,9883.190322580645,
2024-01-01 11:00:00-06:00,2024-01-01 17:00:00+00:00,2024-01-01 12:00:00-06:00,2024-01-01 18:00:00+00:00,2023-12-25T12:55:43-06:00,2023-12-25 18:55:43+00:00,,11635.867479674796,14601.40243902439,9892.971544715447,
2024-01-01 12:00:00-06:00,2024-01-01 18:00:00+00:00,2024-01-01 13:00:00-06:00,2024-01-01 19:00:00+00:00,2023-12-25T13:55:38-06:00,2023-12-25 19:55:38+00:00,,12022.464227642276,15088.80406504065,10604.513821138211,
