interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,gen_system_wide,cop_hsl_system_wide,stppf_system_wide,pvgrpp_system_wide,hsl_system_wide
2024-01-01 00:00:00-06:00,2024-01-01 06:00:00+00:00,2024-01-01 01:00:00-06:00,2024-01-01 07:00:00+00:00,2023-12-25T01:55:37-06:00,2023-12-25 07:55:37+00:00,,24.8,0.0,0.0,
2024-01-01 01:00:00-06:00,2024-01-01 07:00:00+00:00,2024-01-01 02:00:00-06:00,2024-01-01 08:00:00+00:00,2023-12-25T02:55:58-06:00,2023-12-25 08:55:58+00:00,,24.8,0.0,0.0,
2024-01-01 02:00:00-06:00,2024-01-01 08:00:00+00:00,2024-01-01 03:00:00-06:00,2024-01-01 09:00:00+00:00,2023-12-25T03:55:40-06:00,2023-12-25 09:55:40+00:00,,24.8,0.0,0.0,
2024-01-01 03:00:00-06:00,2024-01-01 09:00:00+00:00,2024-01-01 04:00:00-06:00,2024-01-01 10:00:00+00:00,2023-12-25T04:55:40-06:00,2023-12-25 10:55:40+00:00,,24.8,0.0,0.0,
2024-01-01 04:00:00-06:00,2024-01-01 10:00:00+00:00,2024-01-01 05:00:00-06:00,2024-01-01 11:00:00+00:00,2023-12-25T05:55:38-06:00,2023-12-25 11:55:38+00:00,,24.8,0.0,0.0,
2024-01-01 05:00:00-06:00,2024-01-01 11:00:00+00:00,2024-01-01 06:00:00-06:00,2024-01-01 12:00:00+00:00,2023-12-25T06:55:34-06:00,2023-12-25 12:55:34+00:00,,24.8,0.0,0.0,
2024-01-01 06:00:00-06:00,2024-01-01 12:00:00+00:00,2024-01-01 07:00:00-06:00,2024-01-01 13:00:00+00:00,2023-12-25T07:55:37-06:00,2023-12-25 13:55:37+00:00,,24.8,0.0,0.0,
2024-01-01 07:00:00-06:00,2024-01-01 13:00:00+00:00,2024-01-01 08:00:00-06:00,2024-01-01 14:00:00+00:00,2023-12-25T08:55:39-06:00,2023-12-25 14:55:39+00:00,,167.0,163.9,111.7,
2024-01-01 08:00:00-06:00,2024-01-01 14:00:00+00:00,2024-01-01 09:00:00-06:00,2024-01-01 15:00:00+00:00,2023-12-25T09:55:43-06:00,2023-12-25 15:55:43+00:00,,3141.7,3811.7,2649.6,
2024-01-01 09:00:00-06:00,2024-01-01 15:00:00+00:00,2024-01-01 10:00:00-06:00,2024-01-01 16:00:00+00:00,2023-12-25T10:55:35-06:00,2023-12-25 16:55:35+00:00,,7655.6,9614.9,6203.6,
2024-01-01 10:00:00-06:00,2024-01-01 16:00:00+00:00,2024-01-01 11:00:00-06:00,2024-01-01 17:00:00+00:00,2023-12-25T11:55:38-06:00,2023-12-25 17:55:38+00:00,,8942.2,11163.3,6465.8,
2024-01-01 11:00:00-06:00,2024-01-01 17:00:00+00:00,2024-01-01 12:00:00-06:00,2024-01-01 18:00:00+00:00,2023-12-25T12:55:43-06:00,2023-12-25 18:55:43+00:00,,9014.3,11340.5,6787.4,
2024-01-01 12:00:00-06:00,2024-01-01 18:00:00+00:00,2024-01-01 13:00:00-06:00,2024-01-01 19:00:00+00:00,2023-12-25T13:55:38-06:00,2023-12-25 19:55:38+00:00,,10000.8,12610.5,9005.5,
2024-01-01 13:00:00-06:00,2024-01-01 19:00:00+00:00,2024-01-01 14:00:00-06:00,2024-01-01 20:00:00+00:00,2023-12-25T14:55:41-06:00,2023-12-25 20:55:41+00:00,,10417.8,13167.0,9645.5,
2024-01-01 14:00:00-06:00,2024-01-01 20:00:00+00:00,2024-01-01 15:00:00-06:00,2024-01-01 21:00:00+00:00,2023-12-25T15:55:41-06:00,2023-12-25 21:55:41+00:00,,10841.6,13728.3,9733.6,
2024-01-01 15:00:00-06:00,2024-01-01 21:00:00+00:00,2024-01-01 16:00:00-06:00,2024-01-01 22:00:00+00:00,2023-12-25T16:55:38-06:00,2023-12-25 22:55:38+00:00,,10415.0,13235.1,8573.9,
2024-01-01 16:00:00-06:00,2024-01-01 22:00:00+00:00,2024-01-01 17:00:00-06:00,2024-01-01 23:00:00+00:00,2023-12-25T17:55:39-06:00,2023-12-25 23:55:39+00:00,,6227.2,7712.6,3923.6,
2024-01-01 17:00:00-06:00,2024-01-01 23:00:00+00:00,2024-01-01 18:00:00-06:00,2024-01-02 00:00:00+00:00,2023-12-25T18:55:39-06:00,2023-12-26 00:55:39+00:00,,861.6,998.0,97.8,
